
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                Observed  |     Rel. |    Aki    | Acc. |            Ei           Ek            |         Lower level         |         Upper level          |Type|
          |               Wavelength |     Int. |    s^-1   |      |           (eV)         (eV)           |-----------------------------|------------------------------|    |
          |                Vac (nm)  |          |           |      |                                       | Conf.             | Term    | Conf.              | Term    |    |
Xe II     |              104.8272    |        8 |           |      |     0.00000       -     11.827688     | 5p5               | 2P*     | 5p4.(3P<2>).5d     | 2[2]    |    |
          |                          |          |           |      |                                       |                   |         |                    |         |    |
Xe III    |              104.8755    |       11 |           |      |     2.119972      -     13.942010     | 5s2.5p4           | 1D      | 5s2.5p3.(4S*).5d   | 5D*     |    |
Xe I      |              105.0107    |        a | 8.5e+06   |      |     0.000000      -     11.8068162    | 5p6               | 1S      | 5p5.(2P*<3/2>).9d  | 2[1/2]* |    |
Xe II     |              105.1920    |       10 |           |      |     0.00000       -     11.786480     | 5p5               | 2P*     | 5p4.(3P<2>).6s     | 2[2]    |    |
Xe I      |              105.4996    |        a |           |      |     0.000000      -     11.7521001    | 5p6               | 1S      | 5p5.(2P*<3/2>).10s | 2[3/2]* |    |
Xe III    |              105.5326    |       11 |           |      |     2.119972      -     13.868423     | 5s2.5p4           | 1D      | 5s2.5p3.(4S*).5d   | 5D*     |    |
          |                          |          |           |      |                                       |                   |         |                    |         |    |
Xe I      |              105.612829  |        a | 2.45e+08  |      |     0.000000      -     11.7395012    | 5p6               | 1S      | 5p5.(2P*<3/2>).8d  | 2[3/2]* |    |
Xe V      |              105.647     |        3 |           |      |    16.54050       -     28.27644      | 5s.5p3            | 3P*     | 5s2.5p.(2P*).6p    | 3D      |    |
Xe III    |              105.8136    |        9 |           |      |     2.119972      -     13.837307     | 5s2.5p4           | 1D      | 5s2.5p3.(4S*).5d   | 5D*     |    |
Xe V      |              105.934     |        6 |           |      |    14.86806       -     26.57201      | 5s.5p3            | 3D*     | 5s2.5p.(2P*).4f    | 1G      |    |
Xe III    |              106.0529    |        1 |           |      |    12.840820      -     24.531560     | 5s.5p5            | 3P*     | 5s2.5p3.(4S*).5f   | 5F      |    |
          |                          |          |           |      |                                       |                   |         |                    |         |    |
Xe I      |              106.125564  |        a | 1.9e+07   |      |     0.000000      -     11.6827830    | 5p6               | 1S      | 5p5.(2P*<3/2>).8d  | 2[1/2]* |    |
Xe IV     |              106.144     |        6 |           |      |    15.11726       -     26.79807      | 5s.5p4            | 2D      | 5s2.5p2.(1D).6p    | 2D*     |    |
Xe IV     |              106.265     |        6 |           |      |    13.25679       -     24.92424      | 5s.5p4            | 4P      | 5s2.5p2.(3P).6p    | 4S*     |    |
Xe V      |              106.326     |        4 |           |      |    19.40437       -     31.06513      | 5s2.5p.(2P*).5d   | 3F*     | 5s2.5p.(2P*).6p    | 1D      |    |
Xe V      |              106.355     |        7 |           |      |    14.29368       -     25.95122      | 5s.5p3            | 3D*     | 5s2.5p.(2P*).4f    | 3D      |    |
          |                          |          |           |      |                                       |                   |         |                    |         |    |
Xe IV     |              106.411     |        6 |           |      |    13.25679       -     24.90835      | 5s.5p4            | 4P      | 5s2.5p2.(3P).6p    | 4P*     |    |
Xe IV     |              106.5056    |       20 |           |      |     3.47607       -     15.11726      | 5s2.5p3           | 2P*     | 5s.5p4             | 2D      |    |
Xe III    |              106.6393    |       18 |           |      |     1.214346      -     12.840820     | 5s2.5p4           | 3P      | 5s.5p5             | 3P*     |    |
Xe II     |              106.7088    |        6 |           |      |     1.306423      -     12.925360     | 5p5               | 2P*     | 5p4.(3P<1>).5d     | 2[1]    |    |
Xe IV     |              106.7695    |       25 |           |      |     1.64490       -     13.25679      | 5s2.5p3           | 2D*     | 5s.5p4             | 4P      |    |
          |                          |          |           |      |                                       |                   |         |                    |         |    |
Xe I      |              106.8168    |        a | 3.99e+08  |      |     0.000000      -     11.607182     | 5p6               | 1S      | 5p5.(2P*<1/2>).5d  | 2[3/2]* |    |
Xe IV     |              106.881     |        5 |           |      |    13.25679       -     24.85712      | 5s.5p4            | 4P      | 5s2.5p2.(3P).6p    | 2D*     |    |
Xe IV     |              106.921     |        5 |           |      |    15.55688       -     27.15275      | 5s.5p4            | 2D      | 5s2.5p2.(1D).4f    | 2D*     |    |
Xe I      |              107.0411    |        a |           |      |     0.000000      -     11.5828647    | 5p6               | 1S      | 5p5.(2P*<3/2>).9s  | 2[3/2]* |    |
Xe V      |              107.110     |        8 |           |      |    16.70101       -     28.27644      | 5s.5p3            | 3P*     | 5s2.5p.(2P*).6p    | 3D      |    |
          |                          |          |           |      |                                       |                   |         |                    |         |    |
Xe V      |              107.281     |        6 |           |      |    14.39419       -     25.95122      | 5s.5p3            | 3D*     | 5s2.5p.(2P*).4f    | 3D      |    |
Xe II     |              107.4476    |       12 |           |      |     0.00000       -     11.539015     | 5p5               | 2P*     | 5p4.(3P<2>).6s     | 2[2]    |    |
Xe VII    |              107.7120    |       84 |           |      |    17.7619        -     29.2727       | 5s.5p             | 1P*     | 5p2                | 1D      |    |
Xe III    |              107.7844    |        1 |           |      |    13.837307      -     25.340245     | 5s2.5p3.(4S*).5d  | 5D*     | 5s2.5p3.(2P*).4f   | 3D      |    |
Xe I      |              107.8584    |        a |           |      |     0.000000      -     11.4950752    | 5p6               | 1S      | 5p5.(2P*<3/2>).7d  | 2[3/2]* |    |
          |                          |          |           |      |                                       |                   |         |                    |         |    |
Xe VI     |              108.0080    |       50 |           |      |     0.0000        -     11.4792       | 5s2.5p            | 2P*     | 5s.5p2             | 4P      |    |
Xe IV     |              108.139     |        8 |           |      |    13.25679       -     24.72208      | 5s.5p4            | 4P      | 5s2.5p2.(3P).4f    | 2D*     |    |
Xe IV     |              108.325     |        1 |           |      |    12.35674       -     23.80225      | 5s.5p4            | 4P      | 5s2.5p2.(3P).4f    | 4D*     |    |
Xe V      |              108.353     |        3 |           |      |    19.28179       -     30.72457      | 5s.5p3            | 3S*     | 5s2.5p.(2P*).6p    | 3S      |    |
Xe II     |              108.3860    |        5 |           |      |     1.306423      -     12.745460     | 5p5               | 2P*     | 5p4.(3P<1>).6s     | 2[1]    |    |
          |                          |          |           |      |                                       |                   |         |                    |         |    |
Xe IV     |              108.466     |       11 |           |      |    12.35674       -     23.78738      | 5s.5p4            | 4P      | 5s2.5p2.(3P).4f    | 4F*     |    |
Xe I      |              108.5441    |        a | 4.10e+07  |      |     0.000000      -     11.4224513    | 5p6               | 1S      | 5p5.(2P*<3/2>).7d  | 2[1/2]* |    |
Xe V      |              108.601     |        4 |           |      |    14.29368       -     25.71019      | 5s.5p3            | 3D*     | 5s2.5p.(2P*).4f    | 3D      |    |
Xe VIII   |              108.72      |          |           |      |    78.7740        -     90.1865       | 7d                | 2D      | 8f                 | 2F*     |    |
Xe III    |              108.8954    |       20 |           |      |    14.757346      -     26.142996     | 5s2.5p3.(2D*).5d  | 1P*     | 5p6                | 1S      |    |
          |                          |          |           |      |                                       |                   |         |                    |         |    |
Xe IV     |              108.965     |        6 |           |      |    13.54582       -     24.92424      | 5s.5p4            | 4P      | 5s2.5p2.(3P).6p    | 4S*     |    |
Xe IV     |              109.116     |        3 |           |      |    13.54582       -     24.90835      | 5s.5p4            | 4P      | 5s2.5p2.(3P).6p    | 4P*     |    |
Xe VI     |              109.1634    |       62 |           |      |     1.93403       -     13.2917       | 5s2.5p            | 2P*     | 5s.5p2             | 4P      |    |
Xe III    |              109.2168    |       10 |           |      |    12.182993      -     23.535184     | 5s.5p5            | 3P*     | 5s2.5p3.(2D*).4f   | 1D      |    |
Xe V      |              109.2801    |       70 |           |      |     3.52254       -     14.86806      | 5s2.5p2           | 1D      | 5s.5p3             | 3D*     |    |
