
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                Observed  |  Rel. |    Aki    | Acc. |             Ei           Ek             |         Lower level          |          Upper level          |Type|
          |               Wavelength |  Int. |    s^-1   |      |            (eV)         (eV)            |------------------------------|-------------------------------|    |
          |                Vac (nm)  |       |           |      |                                         | Conf.                | Term  | Conf.                 | Term  |    |
O II      |               163.9891   |    10 |           |      |    22.9793019      -     30.5397971     | 2s2.2p2.(3P).3s      | 4P    | 2s2.2p2.(3P).4p       | 4P*   |    |
          |                          |       |           |      |                                         |                      |       |                       |       |    |
O II      |               164.0517   |    12 |           |      |    22.9989592      -     30.5566023     | 2s2.2p2.(3P).3s      | 4P    | 2s2.2p2.(3P).4p       | 4P*   |    |
O V       |               164.368    |  315w |           |      |                                         |                      |       |                       |       |    |
O II      |               164.4924   |     6 |           |      |    22.9989592      -     30.5362928     | 2s2.2p2.(3P).3s      | 4P    | 2s2.2p2.(3P).4p       | 4S*   |    |
O II      |               165.0664   |    10 | 9.02e+06  | C+   |    22.9662468      -     30.477385      | 2s2.2p2.(3P).3s      | 4P    | 2s2.2p2.(3P).4p       | 4D*   |    |
O II      |               165.1176   |    12 | 1.51e+07  | C+   |    22.9793019      -     30.4881128     | 2s2.2p2.(3P).3s      | 4P    | 2s2.2p2.(3P).4p       | 4D*   |    |
          |                          |       |           |      |                                         |                      |       |                       |       |    |
O II      |               165.2045   |    15 | 2.16e+07  | C+   |    22.9989592      -     30.5037436     | 2s2.2p2.(3P).3s      | 4P    | 2s2.2p2.(3P).4p       | 4D*   |    |
O II      |               165.3540   |    10 | 1.15e+07  | C+   |    22.9793019      -     30.477385      | 2s2.2p2.(3P).3s      | 4P    | 2s2.2p2.(3P).4p       | 4D*   |    |
O II      |               165.5505   |    10 | 6.43e+06  | C+   |    22.9989592      -     30.4881128     | 2s2.2p2.(3P).3s      | 4P    | 2s2.2p2.(3P).4p       | 4D*   |    |
O II      |               166.4060   |     6 |           |      |    25.6495851      -     33.100213      | 2s2.2p2.(3P).3p      | 4D*   | 2s2.2p2.(3P).6s       | 4P    |    |
O II      |               166.7565   |   10* |           |      |    25.6650357      -     33.100213      | 2s2.2p2.(3P).3p      | 4D*   | 2s2.2p2.(3P).6s       | 4P    |    |
          |                          |       |           |      |                                         |                      |       |                       |       |    |
O II      |               166.7565   |   10* |           |      |    25.6313467      -     33.06634       | 2s2.2p2.(3P).3p      | 4D*   | 2s2.2p2.(3P).6s       | 4P    |    |
O II      |               166.8794   |     8 |           |      |    25.6495851      -     33.07923       | 2s2.2p2.(3P).3p      | 4D*   | 2s2.2p2.(3P).6s       | 4P    |    |
O II      |               166.9138   |     6 |           |      |    25.6382308      -     33.06634       | 2s2.2p2.(3P).3p      | 4D*   | 2s2.2p2.(3P).6s       | 4P    |    |
O II      |               167.5907   |     9 |           |      |    25.661217       -     33.059217      | 2s2.2p2.(1D).3s      | 2D    | 2s2.2p2.(1D).4p       | 2D*   |    |
O II      |               167.6394   |     8 |           |      |    25.661346       -     33.057201      | 2s2.2p2.(1D).3s      | 2D    | 2s2.2p2.(1D).4p       | 2D*   |    |
          |                          |       |           |      |                                         |                      |       |                       |       |    |
O II      |               167.7378   |    10 |           |      |    25.661217       -     33.052739      | 2s2.2p2.(1D).3s      | 2D    | 2s2.2p2.(1D).4p       | 2F*   |    |
O II      |               167.7647   |    10 |           |      |    25.661346       -     33.051673      | 2s2.2p2.(1D).3s      | 2D    | 2s2.2p2.(1D).4p       | 2F*   |    |
O II      |               168.3762   |     7 |           |      |    28.591927       -     35.95545?      | 2s2.2p2.(1S).3s      | 2S    | 2s2.2p2.(1S).4p       | 2P*   |    |
O II      |               168.4033   |     8 |           |      |    28.591927       -     35.95426?      | 2s2.2p2.(1S).3s      | 2S    | 2s2.2p2.(1S).4p       | 2P*   |    |
O II      |               169.1477   |    8* | 6.21e+05  | D    |    23.4191936      -     30.749348      | 2s2.2p2.(3P).3s      | 2P    | 2s2.2p2.(3P).4p       | 2D*   |    |
          |                          |       |           |      |                                         |                      |       |                       |       |    |
O II      |               169.1477   |    8* | 7.45e+05  | D    |    23.4415071      -     30.771220      | 2s2.2p2.(3P).3s      | 2P    | 2s2.2p2.(3P).4p       | 2D*   |    |
O II      |               169.6614   |     4 | 1.23e+05  | D    |    23.4415071      -     30.749348      | 2s2.2p2.(3P).3s      | 2P    | 2s2.2p2.(3P).4p       | 2D*   |    |
O II      |               170.7113   |    8* |           |      |    25.8373459      -     33.100213      | 2s2.2p2.(3P).3p      | 4P*   | 2s2.2p2.(3P).6s       | 4P    |    |
O V       |               170.7996   |   160 | 2.02e+09  | B    |    92.96837        -    100.22741       | 1s2.2s.4f            | 1F*   | 1s2.2s.5g             | 1G    |    |
O II      |               170.9790   |     9 |           |      |    25.8487455      -     33.100213      | 2s2.2p2.(3P).3p      | 4P*   | 2s2.2p2.(3P).6s       | 4P    |    |
