
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                 Observed  |   Rel. |    Aki    | Acc. |             Ei           Ek             |          Lower level           |           Upper level            |   Type|
          |                Wavelength |   Int. |    s^-1   |      |            (eV)         (eV)            |--------------------------------|----------------------------------|       |
          |                 Vac (nm)  |        |           |      |                                         | Conf.                | Term    | Conf.                 | Term     |       |
Ti V      |               121.5373    |      4 |           |      |     60.94551       -      71.14688      | 3s.3p6.3d            | 3D      | 3s2.3p5.(2P*<3/2>).4d | 2[5/2]*  |       |
Ti V      |               121.7779    |      3 |           |      |     61.07053       -      71.25171      | 3s.3p6.3d            | 3D      | 3s2.3p5.(2P*<3/2>).4d | 2[5/2]*  |       |
Ti V      |               122.2359    |      9 |           |      |     61.60659       -      71.74947      | 3s2.3p5.4p           | 1P      | 3s2.3p5.(2P*<1/2>).4d | 2[5/2]*  |       |
          |                           |        |           |      |                                         |                      |         |                       |          |       |
Ti XVI    |               122.41      |        | 1.6e+03   | D    |     14.3859        -      24.512        | 2s2.2p3              | 2D*     | 2s2.2p3               | 2P*      | M1    |
Ti V      |               122.4469    |        |           |      |     60.61943       -      70.74511      | 3s.3p6.3d            | 3D      | 3s2.3p5.(2P*<3/2>).4d | 2[3/2]*  |       |
Ti V      |               122.6588    |      0 |           |      |     61.75122       -      71.85928      | 3s2.3p5.4p           | 3P      | 3s2.3p5.(2P*<1/2>).4d | 2[3/2]*  |       |
Ti II     |               122.948     |     0: |           |      |      0.12198999    -      10.2062632    | 3d3                  | b 4F    | 3d2.(3F).4f           | 2D*      |       |
Ti V      |               123.0361    |     10 |           |      |     61.75122       -      71.82833      | 3s2.3p5.4p           | 3P      | 3s2.3p5.(2P*<1/2>).4d | 2[5/2]*  |       |
          |                           |        |           |      |                                         |                      |         |                       |          |       |
Ti II     |               123.202     |     0: |           |      |      0.12198999    -      10.1854826    | 3d3                  | b 4F    | 3d2.(3F).4f           | 2F*      |       |
Ti II     |               123.304     |     2: |           |      |      0.15074406    -      10.20594402   | 3d3                  | b 4F    | 3d2.(3P).5p           | 4D*      |       |
Ti II     |               123.322     |     0: |           |      |      0.11257358    -      10.1663325    | 3d3                  | b 4F    | 3d2.(3F).4f           | 2F*      |       |
Ti V      |               123.3387    |        |           |      |     60.53227       -      70.58476      | 3s2.3p5.4p           | 3D      | 3s2.3p5.(2P*<3/2>).4d | 2[1/2]*  |       |
Ti II     |               123.359     |     2: |           |      |      0.13481497    -      10.1854826    | 3d3                  | b 4F    | 3d2.(3F).4f           | 2F*      |       |
          |                           |        |           |      |                                         |                      |         |                       |          |       |
Ti II     |               123.386     |     1: |           |      |      0.13481497    -      10.18333711   | 3d3                  | b 4F    | 3d2.(3F).4f           | 4D*      |       |
Ti II     |               123.437     |     2: |           |      |      0.12198999    -      10.1663325    | 3d3                  | b 4F    | 3d2.(3F).4f           | 2F*      |       |
Ti II     |               123.470     |     4: |           |      |      0.13481497    -      10.1764441    | 3d3                  | b 4F    | 3d2.(3F).4f           | 4G*      |       |
Ti II     |               123.506     |     1: |           |      |      0.15074406    -      10.1894513    | 3d3                  | b 4F    | 3d2.(3F).4f           | 2H*      |       |
Ti II     |               123.518     |    1:* |           |      |      0.11257358    -      10.1503225    | 3d3                  | b 4F    | 3d2.(3F).4f           | 4F*      |       |
          |                           |        |           |      |                                         |                      |         |                       |          |       |
Ti II     |               123.518     |    1:* |           |      |      0.12198999    -      10.15968801   | 3d3                  | b 4F    | 3d2.(3F).4f           | 4F*      |       |
Ti III    |               123.5461    |      2 |           |      |      0.0000        -      10.035180     | 3p6.3d2              | 3F      | 3p6.3d.4p             | 3P*      |       |
Ti II     |               123.561     |     4: |           |      |      0.15074406    -      10.18501715   | 3d3                  | b 4F    | 3d2.(3F).4f           | 4F*      |       |
