
----------------------------------------------------------------------------------------------------------------------------------------------------------------
                  Observed  |  Rel. |     Aki    | Acc. |              Ei           Ek               |        Lower level         |      Upper level      |Type|
                 Wavelength |  Int. |     s^-1   |      |             (eV)         (eV)              |----------------------------|-----------------------|    |
                  Vac (nm)  |       |            |      |                                            | Conf.               | Term | Conf.          | Term |    |
                 232.460    |   40* |            |      |    133.23436+x      -     138.56630+x?     | 1s.2p.3p            | 4P   | 1s.2p.6d       | 4D*  |    |
                            |       |            |      |                                            |                     |      |                |      |    |
                 232.460    |   40* |            |      |    115.87476+x      -     121.20669+x      | 1s.2s.2p            | 4P*  | 1s.2p2         | 4P   |    |
                 232.460    |   40* |            |      |    133.23436+x      -     138.56630+x?     | 1s.2p.3p            | 4P   | 1s.2p.6d       | 4D*  |    |
                 232.460    |   40* |            |      |    115.87476+x      -     121.20669+x      | 1s.2s.2p            | 4P*  | 1s.2p2         | 4P   |    |
                 238.202    |     * | 1.14e+07   | AA   |     12.157217       -     [17.360778]      | 1s2.3d              | 2D   | 1s2.8f         | 2F*  |    |
                 238.202    |     * | 1.22e+07   | AA   |     12.157282       -     [17.360778]      | 1s2.3d              | 2D   | 1s2.8f         | 2F*  |    |
                            |       |            |      |                                            |                     |      |                |      |    |
                 238.202    |     * | 8.11e+05   | AA   |     12.157282       -     [17.360778]      | 1s2.3d              | 2D   | 1s2.8f         | 2F*  |    |
                 238.712    |     * |            |      |     12.157217       -     [17.350110]      | 1s2.3d              | 2D   | 1s2.8p         | 2P*  |    |
                 238.712    |     * |            |      |     12.157282       -     [17.350122]      | 1s2.3d              | 2D   | 1s2.8p         | 2P*  |    |
                 241.3340   |   10* | 1.64e+07   | A    |     11.9638993      -      17.099797       | 1s2.3p              | 2P*  | 1s2.7d         | 2D   |    |
                 241.3455   |  210* | 1.97e+07   | A    |     11.9641384      -      17.099797       | 1s2.3p              | 2P*  | 1s2.7d         | 2D   |    |
                            |       |            |      |                                            |                     |      |                |      |    |
                 241.3455   |  210* | 3.29e+06   | A    |     11.9641384      -      17.099797       | 1s2.3p              | 2P*  | 1s2.7d         | 2D   |    |
