
--------------------------------------------------------------------------------------
Spectrum  |          Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
          |         Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
          |          Vac (nm)  |       |           |      |                     |    |
--------------------------------------------------------------------------------------
          |                    |       |           |      |                     |    |
Pt I      |           323.029  |    30 |           |      |                     |    |
Pt I      |           323.342  |    20 |           |      |                     |    |
Pt I      |           325.036  |    20 |           |      |                     |    |
Pt I      |           325.198  |    40 |           |      |                     |    |
Pt I      |           325.592  |   160 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Pt I      |           326.842  |    25 |           |      |                     |    |
Pt I      |           328.197  |    25 |           |      |                     |    |
Pt I      |           329.022  |   120 |           |      |                     |    |
Pt I      |           330.186  |   500 |           |      |                     |    |
Pt I      |           331.505  |    60 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Pt I      |           332.380  |    35 |           |      |                     |    |
Pt I      |           340.813  |   340 |           |      |                     |    |
Pt I      |           342.793  |    35 |           |      |                     |    |
Pt I      |           348.343  |    60 |           |      |                     |    |
Pt I      |           348.527  |   160 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Pt I      |           362.811  |   120 |           |      |                     |    |
Pt I      |           363.879  |    70 |           |      |                     |    |
Pt I      |           364.317  |    70 |           |      |                     |    |
Pt I      |           366.310  |    50 |           |      |                     |    |
Pt I      |           367.199  |    80 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Pt I      |           367.404  |    80 |           |      |                     |    |
Pt I      |           369.991  |    35 |           |      |                     |    |
Pt I      |           370.653  |    18 |           |      |                     |    |
Pt I      |           381.869  |    80 |           |      |                     |    |
Pt I      |           390.073  |    40 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Pt I      |           392.296  |   110 |           |      |                     |    |
Pt I      |           394.840  |    35 |           |      |                     |    |
Pt I      |           396.636  |   100 |           |      |                     |    |
Pt I      |           399.657  |    20 |           |      |                     |    |
Pt I      |           411.869  |   110 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Pt I      |           416.456  |    80 |           |      |                     |    |
Pt I      |           419.243  |    40 |           |      |                     |    |
Pt I      |           432.706  |    18 |           |      |                     |    |
Pt I      |           439.183  |    18 |           |      |                     |    |
Pt I      |           444.255  |    80 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Pt I      |           444.555  |    14 |           |      |                     |    |
Pt I      |           449.876  |    25 |           |      |                     |    |
Pt I      |           452.090  |    12 |           |      |                     |    |
Pt I      |           455.242  |    35 |           |      |                     |    |
Pt I      |           487.953  |    12 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Pt I      |           504.404  |    14 |           |      |                     |    |
Pt I      |           505.948  |    30 |           |      |                     |    |
Pt I      |           522.766  |    35 |           |      |                     |    |
Pt I      |           530.102  |    40 |           |      |                     |    |
Pt I      |           536.899  |    12 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Pt I      |           539.079  |    12 |           |      |                     |    |
Pt I      |           547.577  |    14 |           |      |                     |    |
Pt I      |           547.850  |    14 |           |      |                     |    |
Pt I      |           576.357  |     6 |           |      |                     |    |
Pt I      |           584.012  |    20 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Pt I      |           584.484  |     8 |           |      |                     |    |
Pt I      |           602.604  |     6 |           |      |                     |    |
Pt I      |           631.837  |     7 |           |      |                     |    |
Pt I      |           632.658  |     8 |           |      |                     |    |
Pt I      |           652.345  |     9 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Pt I      |           671.042  |    10 |           |      |                     |    |
Pt I      |           676.002  |    20 |           |      |                     |    |
Pt I      |           684.260  |    60 |           |      |                     |    |
Pt I      |           711.373  |    20 |           |      |                     |    |
Pt I      |           822.474  |    10 |           |      |                     |    |
