
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                Observed  |      Rel. |    Aki    | Acc. |             Ei           Ek             |           Lower level           |           Upper level           |Type|
          |               Wavelength |      Int. |    s^-1   |      |            (eV)         (eV)            |---------------------------------|---------------------------------|    |
          |                Vac (nm)  |           |           |      |                                         | Conf.                 | Term    | Conf.                 | Term    |    |
Ar III    |             120.3030     |         9 |           |      |     19.4692145     -      29.7750507    | 3s2.3p3.(4S*).3d      | 3D*     | 3s2.3p3.(2P*).4p      | 3D      |    |
Ar IV     |             120.564      |         6 |           |      |     27.64303       -      37.92672      | 3s.3p4                | 2P      | 3s2.3p2.(1D).4p       | 2D*     |    |
Ar IV     |             121.165      |         9 |           |      |      4.34346       -      14.57600      | 3s2.3p3               | 2P*     | 3s.3p4                | 4P      |    |
Ar IV     |             122.130      |        12 |           |      |     27.77485       -      37.92672      | 3s.3p4                | 2P      | 3s2.3p2.(1D).4p       | 2D*     |    |
          |                          |           |           |      |                                         |                       |         |                       |         |    |
Ar III    |             124.5760     |         9 |           |      |     17.963507      -      27.91585830   | 3s2.3p3.(4S*).3d      | 5D*     | 3s2.3p3.(2D*).4p      | 3D      |    |
Ar III    |             125.0630     |        15 |           |      |     20.066833      -      29.9802650    | 3s2.3p3.(2D*).3d      | 1S*     | 3s2.3p3.(2P*).4p      | 1P      |    |
Ar III    |             125.56374    |           |           |      |     17.856499      -      27.7306964    | 3s.3p5                | 1P*     | 3s2.3p3.(2D*).4p      | 1P      |    |
Ar III    |             126.5250     |         3 |           |      |     19.4692145     -      29.26828244   | 3s2.3p3.(4S*).3d      | 3D*     | 3s2.3p3.(2D*).4p      | 1D      |    |
Ar II     |             126.8483     |         1 |           |      |     16.45737710    -      26.23161985   | 3s2.3p4.(3P).3d       | 4D      | 3s2.3p4.(3P<1>).6f    | 2[2]*   |    |
          |                          |           |           |      |                                         |                       |         |                       |         |    |
Ar II     |             128.0225     |         1 |           |      |     16.40650114    -      26.0910921    | 3s2.3p4.(3P).3d       | 4D      | 3s2.3p4.(3P<2>).6f    | 2[4]*   |    |
Ar II     |             128.2620     |         1 |           |      |     16.42557551    -      26.09211560   | 3s2.3p4.(3P).3d       | 4D      | 3s2.3p4.(3P<2>).6f    | 2[4]*   |    |
Ar VI     |             128.395      |           |           |      |     22.58770       -      32.24441      | 3s.3p2                | 2P      | 3p3                   | 2D*     |    |
Ar II     |             128.4793     |         1 |           |      |     16.44411374    -      26.0942971    | 3s2.3p4.(3P).3d       | 4D      | 3s2.3p4.(3P<2>).6f    | 2[3]*   |    |
Ar III    |             129.0310     |         3 |           |      |     20.179330      -      29.7882504    | 3s2.3p3.(2D*).3d      | 3F*     | 3s2.3p3.(2P*).4p      | 3D      |    |
          |                          |           |           |      |                                         |                       |         |                       |         |    |
Ar III    |             129.2070     |         9 |           |      |     20.179330      -      29.7750507    | 3s2.3p3.(2D*).3d      | 3F*     | 3s2.3p3.(2P*).4p      | 3D      |    |
Ar III    |             129.5060     |         3 |           |      |     20.218867      -      29.79245576   | 3s2.3p3.(2D*).3d      | 3F*     | 3s2.3p3.(2P*).4p      | 3D      |    |
Ar III    |             129.5630     |        12 |           |      |     20.218867      -      29.7882504    | 3s2.3p3.(2D*).3d      | 3F*     | 3s2.3p3.(2P*).4p      | 3D      |    |
Ar III    |             130.1820     |        15 |           |      |     20.268565      -      29.79245576   | 3s2.3p3.(2D*).3d      | 3F*     | 3s2.3p3.(2P*).4p      | 3D      |    |
Ar VI     |             130.387      |       10w |           |      |     22.76068       -      32.26973      | 3s.3p2                | 2P      | 3p3                   | 2D*     |    |
          |                          |           |           |      |                                         |                       |         |                       |         |    |
Ar VI     |             130.750      |           |           |      |     22.76068       -      32.24441      | 3s.3p2                | 2P      | 3p3                   | 2D*     |    |
Ar XIII   |             133.0532     |           | 2.42e+02  | C    |      1.22167       -      10.54006      | 2s2.2p2               | 3P      | 2s2.2p2               | 1D      | M1 |
Ar III    |             133.3860     |         6 |           |      |     25.92833749    -      35.2236111    | 3s2.3p3.(4S*).4p      | 3P      | 3s2.3p3.(2P*).4d      | 3D*     |    |
Ar III    |             133.7420     |         6 |           |      |     25.93140316    -      35.2017338    | 3s2.3p3.(4S*).4p      | 3P      | 3s2.3p3.(2P*).4d      | 3D*     |    |
Ar III    |             133.8240     |         9 |           |      |     19.4692145     -      28.7339363    | 3s2.3p3.(4S*).3d      | 3D*     | 3s2.3p3.(2D*).4p      | 3P      |    |
          |                          |           |           |      |                                         |                       |         |                       |         |    |
