
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                 Observed  |   Rel. |    Aki    | Acc. |            Ei           Ek            |           Lower level           |           Upper level            |Type|
          |                Wavelength |   Int. |    s^-1   |      |           (eV)         (eV)           |---------------------------------|----------------------------------|    |
          |                 Vac (nm)  |        |           |      |                                       | Conf.                 | Term    | Conf.                  | Term    |    |
Kr IV     |              132.123      |    10l |           |      |    22.64799       -     32.03199      | 4s2.4p2.(3P).4d       | 4D      | 4s2.4p2.(1D).5p        | 2D*     |    |
Kr II     |              133.0948     |      0 |           |      |    13.514322      -     22.829785     | 4s.4p6                | 2S      | 4s2.4p4.(3P<2>).6f     | 2[1]*   |    |
Kr II     |              133.1402     |      0 |           |      |    13.514322      -     22.826633     | 4s.4p6                | 2S      | 4s2.4p4.(3P<2>).6f     | 2[1]*   |    |
          |                           |        |           |      |                                       |                       |         |                        |         |    |
Kr V      |              133.408      |    9bl |           |      |    27.121147      -     36.4148       | 4s2.4p.4d             | 3D*     | 4s2.4p.5p              | 3S      |    |
Kr V      |              133.777      |     10 |           |      |    26.524294      -     35.7921       | 4s2.4p.4d             | 3P*     | 4s2.4p.5p              | 3P      |    |
Kr IV     |              133.956      |     1d |           |      |    29.91015       -     39.16573      | 4s2.4p2.(3P).5p       | 4D*     | 4s2.4p2.(1D).6s        | 2D      |    |
Kr IV     |              134.118      |     10 |           |      |    29.91015       -     39.15447      | 4s2.4p2.(3P).5p       | 4D*     | 4s2.4p2.(1D).6s        | 2D      |    |
Kr III    |              134.2678     |      1 |           |      |    14.801261      -     24.035000     | 4s.4p5                | 3P*     | 4s2.4p3.(2D*).5p       | 3D      |    |
          |                           |        |           |      |                                       |                       |         |                        |         |    |
Kr IV     |              134.274      |     10 |           |      |    22.64799       -     31.88163      | 4s2.4p2.(3P).4d       | 4D      | 4s2.4p2.(1D).5p        | 2F*     |    |
Kr IV     |              134.968      |      5 |           |      |    29.97970       -     39.16573      | 4s2.4p2.(3P).5p       | 4P*     | 4s2.4p2.(1D).6s        | 2D      |    |
Kr IV     |              135.135      |    11* |           |      |    29.97970       -     39.15447      | 4s2.4p2.(3P).5p       | 4P*     | 4s2.4p2.(1D).6s        | 2D      |    |
Kr IV     |              135.135      |    11* |           |      |    20.26461       -     29.43944      | 4s2.4p2.(3P).4d       | 2P      | 4s2.4p2.(3P).5p        | 4D*     |    |
Kr III    |              135.532      |      6 |           |      |    17.169405      -     26.317349     | 4s2.4p3.(4S*).4d      | 5D*     | 4s2.4p3.(2P*).5p       | 1P      |    |
          |                           |        |           |      |                                       |                       |         |                        |         |    |
Kr IV     |              135.929      |      7 |           |      |    25.46630       -     34.58754      | 4s.4p4                | 2P      | 4s2.4p2.(1S).5p        | 2P*     |    |
Kr III    |              136.3853     |      2 |           |      |    14.801261      -     23.891983     | 4s.4p5                | 3P*     | 4s2.4p3.(2D*).5p       | 3F      |    |
Kr V      |              136.756      |      8 |           |      |    26.889015      -     35.9552       | 4s2.4p.4d             | 1D*     | 4s2.4p.5p              | 3D      |    |
Kr III    |              137.7833     |      2 |           |      |    15.069406      -     24.067843     | 4s.4p5                | 3P*     | 4s2.4p3.(2D*).5p       | 1P      |    |
Kr IV     |              137.917      |      6 |           |      |    21.58635       -     30.57610      | 4s2.4p2.(3P).4d       | 4F      | 4s2.4p2.(3P).5p        | 4S*     |    |
          |                           |        |           |      |                                       |                       |         |                        |         |    |
Kr V      |              138.235      |     11 |           |      |    26.202394      -     35.1715       | 4s2.4p.4d             | 3P*     | 4s2.4p.5p              | 3D      |    |
Kr V      |              138.386      |      9 |           |      |    26.832694      -     35.7921       | 4s2.4p.4d             | 3P*     | 4s2.4p.5p              | 3P      |    |
Kr V      |              138.459      |     20 |           |      |    26.202394      -     35.1568       | 4s2.4p.4d             | 3P*     | 4s2.4p.5p              | 1P      |    |
Kr IV     |              138.511      |    11l |           |      |    23.13119       -     32.08255      | 4s2.4p2.(1D).4d       | 2F      | 4s2.4p2.(1D).5p        | 2D*     |    |
Kr IV     |              138.681      |      9 |           |      |    20.60133       -     29.54164      | 4s.4p4                | 2P      | 4s2.4p2.(3P).5p        | 4D*     |    |
          |                           |        |           |      |                                       |                       |         |                        |         |    |
Kr IV     |              138.900      |      5 |           |      |    30.23960       -     39.16573      | 4s2.4p2.(3P).5p       | 2D*     | 4s2.4p2.(1D).6s        | 2D      |    |
Kr IV     |              138.996      |     12 |           |      |    23.13119       -     32.05110      | 4s2.4p2.(1D).4d       | 2F      | 4s2.4p2.(1D).5p        | 2F*     |    |
Kr V      |              139.263      |     15 |           |      |    26.889015      -     35.7921       | 4s2.4p.4d             | 1D*     | 4s2.4p.5p              | 3P      |    |
Kr V      |              139.361      |   14bl |           |      |    27.199847      -     36.0965       | 4s2.4p.4d             | 3D*     | 4s2.4p.5p              | 3P      |    |
Kr IV     |              140.089      |     12 |           |      |    20.26461       -     29.11495      | 4s2.4p2.(3P).4d       | 2P      | 4s2.4p2.(3P).5p        | 2S*     |    |
          |                           |        |           |      |                                       |                       |         |                        |         |    |
Kr III    |              140.168      |     10 |           |      |    14.801261      -     23.646709     | 4s.4p5                | 3P*     | 4s2.4p3.(2D*).5p       | 3D      |    |
Kr IV     |              140.181      |      7 |           |      |    30.30991       -     39.15447      | 4s2.4p2.(3P).5p       | 4P*     | 4s2.4p2.(1D).6s        | 2D      |    |
Kr V      |              140.220      |     15 |           |      |    27.254611      -     36.0965       | 4s2.4p.4d             | 3D*     | 4s2.4p.5p              | 3P      |    |
Kr III    |              140.288      |   13bl |           |      |    22.271136      -     31.109009     | 4s2.4p3.(4S*).5p      | 3P      | 4s2.4p3.(2P*).5d       | 1D*     |    |
Kr IV     |              141.157      |      8 |           |      |    21.41505       -     30.19848      | 4s2.4p2.(3P).4d       | 4F      | 4s2.4p2.(3P).5p        | 4P*     |    |
          |                           |        |           |      |                                       |                       |         |                        |         |    |
Kr III    |              141.235      |     1d |           |      |    17.169405      -     25.947959     | 4s2.4p3.(4S*).4d      | 5D*     | 4s2.4p3.(2P*).5p       | 3P      |    |
Kr II     |              141.3894     |      0 |           |      |    14.904124      -     23.673112     | 4s2.4p4.(3P).4d       | 4D      | 4s2.4p4.(3P<2>).9f     | 2[4]*   |    |
Kr V      |              141.614      |    15w |           |      |    27.199847      -     35.9552       | 4s2.4p.4d             | 3D*     | 4s2.4p.5p              | 3D      |    |
Kr IV     |              141.689      |     10 |           |      |    23.13119       -     31.88163      | 4s2.4p2.(1D).4d       | 2F      | 4s2.4p2.(1D).5p        | 2F*     |    |
Kr III    |              142.070      |     10 |           |      |    17.590401      -     26.317349     | 4s.4p5                | 1P*     | 4s2.4p3.(2P*).5p       | 1P      |    |
          |                           |        |           |      |                                       |                       |         |                        |         |    |
Kr IV     |              142.171      |      9 |           |      |    21.58635       -     30.30714      | 4s2.4p2.(3P).4d       | 4F      | 4s2.4p2.(3P).5p        | 4D*     |    |
Kr II     |              142.2512     |      1 |           |      |    13.988922      -     22.704841     | 4s2.4p4.(3P).5s       | 4P      | 4s2.4p4.(3P<1>).5f     | 2[3]*   |    |
Kr III    |              142.3553     |      1 |           |      |    17.590401      -     26.299950     | 4s.4p5                | 1P*     | 4s2.4p3.(2P*).5p       | 1D      |    |
Kr IV     |              142.429      |      9 |           |      |    22.40229       -     31.10722      | 4s2.4p2.(3P).4d       | 4D      | 4s2.4p2.(3P).5p        | 2P*     |    |
Kr V      |              142.497      |    12w |           |      |    27.254611      -     35.9552       | 4s2.4p.4d             | 3D*     | 4s2.4p.5p              | 3D      |    |
          |                           |        |           |      |                                       |                       |         |                        |         |    |
Kr III    |              142.575      |      6 |           |      |    17.168211      -     25.864285     | 4s2.4p3.(4S*).4d      | 5D*     | 4s2.4p3.(2D*).5p       | 3S      |    |
