
------------------------------------------------------------------------------------------------------------------------------------
          Observed  |  Rel. |    Aki    | Acc. |         Ei           Ek         |    Lower level     |      Upper level      |Type|
         Wavelength |  Int. |    s^-1   |      |        (eV)         (eV)        |--------------------|-----------------------|    |
          Air (nm)  |       |           |      |                                 | Conf.       | Term | Conf.         | Term  |    |
           369.972  |   240 |           |      |                                 |             |      |               |       |    |
           370.115  |   340 |           |      |                                 |             |      |               |       |    |
           370.540  |   120 |           |      |                                 |             |      |               |       |    |
           371.928  |   650 |           |      |                                 |             |      |               |       |    |
           373.788  |   160 |           |      |                                 |             |      |               |       |    |
                    |       |           |      |                                 |             |      |               |       |    |
           374.498  |   100 |           |      |                                 |             |      |               |       |    |
           376.692  |   170 |           |      |                                 |             |      |               |       |    |
           379.337  |   650 |           |      |                                 |             |      |               |       |    |
           380.607  |   140 |           |      |                                 |             |      |               |       |    |
           381.720  |   100 |           |      |                                 |             |      |               |       |    |
                    |       |           |      |                                 |             |      |               |       |    |
           384.952  |   140 |           |      |                                 |             |      |               |       |    |
           387.255  |   200 |           |      |                                 |             |      |               |       |    |
           387.710  |   160 |           |      |                                 |             |      |               |       |    |
           388.082  |   380 |           |      |                                 |             |      |               |       |    |
           388.377  |   150 |           |      |                                 |             |      |               |       |    |
                    |       |           |      |                                 |             |      |               |       |    |
           391.809  |   620 |           |      |                                 |             |      |               |       |    |
           392.390  |   200 |           |      |                                 |             |      |               |       |    |
           392.954  |   110 |           |      |                                 |             |      |               |       |    |
           393.565  |   120 |           |      |                                 |             |      |               |       |    |
           404.796  |   100 |           |      |                                 |             |      |               |       |    |
                    |       |           |      |                                 |             |      |               |       |    |
           409.316  |   540 |           |      |    0.451879    -     3.480086   | 5d2.(3F).6s | a 4F | 5d.6s.(3D).6p | z 4F* |    |
           411.353  |   110 |           |      |                                 |             |      |               |       |    |
           412.780  |   150 |           |      |                                 |             |      |               |       |    |
           416.236  |   150 |           |      |                                 |             |      |               |       |    |
           420.658  |   160 |           |      |                                 |             |      |               |       |    |
                    |       |           |      |                                 |             |      |               |       |    |
           423.244  |   170 |           |      |                                 |             |      |               |       |    |
           427.285  |   170 |           |      |                                 |             |      |               |       |    |
           433.666  |   180 |           |      |                                 |             |      |               |       |    |
           435.051  |   150 |           |      |                                 |             |      |               |       |    |
           436.790  |   110 |           |      |                                 |             |      |               |       |    |
                    |       |           |      |                                 |             |      |               |       |    |
           437.097  |   180 |           |      |                                 |             |      |               |       |    |
           441.735  |   120 |           |      |                                 |             |      |               |       |    |
           504.082  |    55 |           |      |                                 |             |      |               |       |    |
           507.965  |    30 |           |      |                                 |             |      |               |       |    |
           512.853  |    19 |           |      |                                 |             |      |               |       |    |
                    |       |           |      |                                 |             |      |               |       |    |
           518.775  |    30 |           |      |                                 |             |      |               |       |    |
           524.710  |    55 |           |      |                                 |             |      |               |       |    |
           526.044  |    25 |           |      |                                 |             |      |               |       |    |
           526.495  |    30 |           |      |                                 |             |      |               |       |    |
           529.806  |    45 |           |      |                                 |             |      |               |       |    |
                    |       |           |      |                                 |             |      |               |       |    |
           531.160  |    55 |           |      |                                 |             |      |               |       |    |
           532.426  |    12 |           |      |                                 |             |      |               |       |    |
           534.630  |     9 |           |      |                                 |             |      |               |       |    |
           539.136  |    19 |           |      |                                 |             |      |               |       |    |
           544.407  |    14 |           |      |                                 |             |      |               |       |    |
                    |       |           |      |                                 |             |      |               |       |    |
           546.338  |    30 |           |      |                                 |             |      |               |       |    |
           552.435  |    19 |           |      |                                 |             |      |               |       |    |
           576.718  |    14 |           |      |                                 |             |      |               |       |    |
           580.950  |    12 |           |      |                                 |             |      |               |       |    |
           584.223  |    25 |           |      |                                 |             |      |               |       |    |
                    |       |           |      |                                 |             |      |               |       |    |
           624.895  |    60 |           |      |                                 |             |      |               |       |    |
           664.460  |    45 |           |      |                                 |             |      |               |       |    |
           664.706  |    19 |           |      |                                 |             |      |               |       |    |
           675.461  |    17 |           |      |                                 |             |      |               |       |    |
           698.091  |    21 |           |      |                                 |             |      |               |       |    |
                    |       |           |      |                                 |             |      |               |       |    |
           703.033  |     7 |           |      |                                 |             |      |               |       |    |
           775.789  |     5 |           |      |                                 |             |      |               |       |    |
           830.591  |    13 |           |      |                                 |             |      |               |       |    |
