
---------------------------------------------------------------------------------------------------------------------------------------------------------
            Observed  |     Rel. |    Aki    | Acc. |          Ei           Ek          |        Lower level         |         Upper level         |Type|
           Wavelength |     Int. |    s^-1   |      |         (eV)         (eV)         |----------------------------|-----------------------------|    |
            Air (nm)  |          |           |      |                                   | Conf.               | Term | Conf.                | Term |    |
            289.4322  |      200 |           |      |    0.458808     -     4.741246    | 4d6.(5D).5s         | 6D   | 4d5.(6S).5s.(5S).5p  | 6P*  |    |
            289.6340  |    1000* |           |      |    0.458808     -     4.738273    | 4d6.(5D).5s         | 6D   | 4d6.(5D).5p          | 6P*  |    |
            289.6340  |    1000* |           |      |    0.00000      -     4.279424    | 4d5.5s2             | 6S   | 4d5.(6S).5s.(5S).5p  | 4P*  |    |
            290.3813  |       40 |           |      |    2.558954     -     6.827393    | 4d6.(3G).5s         | 4G   | 4d5.(2G2).5s.(3G).5p | 4H*  |    |
                      |          |           |      |                                   |                     |      |                      |      |    |
            291.3147  |     1000 |           |      |    0.496255     -     4.751025    | 4d6.(5D).5s         | 6D   | 4d5.(4P).5s.(5P).5p  | 6D*  |    |
            292.1912  |      500 |           |      |    0.496255     -     4.738273    | 4d6.(5D).5s         | 6D   | 4d6.(5D).5p          | 6P*  |    |
            292.8198  |     1000 |           |      |    0.518099     -     4.751025    | 4d6.(5D).5s         | 6D   | 4d5.(4P).5s.(5P).5p  | 6D*  |    |
            293.3888  |       80 |           |      |    2.125932     -     6.350624    | 4d6.(3H).5s         | 4H   | 4d5.(2I).5s.(3I).5p  | 4H*  |    |
            295.5928  |      200 |           |      |                                   |                     |      |                      |      |    |
                      |          |           |      |                                   |                     |      |                      |      |    |
            297.3650  |      200 |           |      |                                   |                     |      |                      |      |    |
            297.9338  |      100 |           |      |    1.826676     -     5.986923    | 4d7                 | 4F   | 4d5.(4D).5s.(5D).5p  | 4F*  |    |
            298.5364  |      150 |           |      |                                   |                     |      |                      |      |    |
            301.0831  |      100 |           |      |    1.371646     -     5.488395    | 4d6.(5D).5s         | 4D   | 4d5.(4G).5s.(3G).5p  | 2F*  |    |
            301.7232  |      300 |           |      |    1.303883     -     5.411877    | 4d6.(5D).5s         | 4D   | 4d6.(3F2).5p         | 4F*  |    |
                      |          |           |      |                                   |                     |      |                      |      |    |
            302.1555  |      150 |           |      |    0.00000      -     4.102103    | 4d5.5s2             | 6S   | 4d6.(5D).5p          | 4D*  |    |
            302.2665  |      100 |           |      |    1.986865     -     6.087458    | 4d5.5s2             | 4G   | 4d5.(4F).5s.(5F).5p  | 6D*  |    |
            302.3680  |      200 |           |      |    1.756825     -     5.856069    | 4d6.(3P2).5s        | 4P   | 4d6.(3F2).5p         | 2D*  |    |
            302.5263  |       80 |           |      |                                   |                     |      |                      |      |    |
            302.6887  |     300w |           |      |    1.371646     -     5.466531    | 4d6.(5D).5s         | 4D   | 4d6.(3F2).5p         | 4F*  |    |
                      |          |           |      |                                   |                     |      |                      |      |    |
            303.3158  |       50 |           |      |    1.435563     -     5.521982    | 4d6.(5D).5s         | 4D   | 4d6.(3P2).5p         | 4D*  |    |
            303.4568  |       80 |           |      |    1.371646     -     5.456172    | 4d6.(5D).5s         | 4D   | 4d6.(3D).5p          | 2D*  |    |
            303.6878  |       40 |           |      |    1.896767     -     5.978189    | 4d6.(3F2).5s        | 4F   | 4d5.(4D).5s.(5D).5p  | 4F*  |    |
            303.8226  |      100 |           |      |                                   |                     |      |                      |      |    |
            304.2643  |       40 |           |      |    1.986865     -     6.060564    | 4d5.5s2             | 4G   | 4d6.(3G).5p          | 2G*  |    |
                      |          |           |      |                                   |                     |      |                      |      |    |
            305.1550  |     100h |           |      |                                   |                     |      |                      |      |    |
            305.2474  |       40 |           |      |    1.303883     -     5.364444    | 4d6.(5D).5s         | 4D   | 4d5.(4D).5s.(5D).5p  | 6D*  |    |
            306.2112  |       80 |           |      |                                   |                     |      |                      |      |    |
            306.2361  |      200 |           |      |                                   |                     |      |                      |      |    |
            306.4667  |      300 |           |      |    0.00000      -     4.044411    | 4d5.5s2             | 6S   | 4d6.(5D).5p          | 4D*  |    |
                      |          |           |      |                                   |                     |      |                      |      |    |
            306.6602  |     100c |           |      |                                   |                     |      |                      |      |    |
            306.8337  |     120c |           |      |    1.303883     -     5.343442    | 4d6.(5D).5s         | 4D   | 4d6.(3D).5p          | 4F*  |    |
            307.6238  |       80 |           |      |                                   |                     |      |                      |      |    |
            308.9340  |      150 |           |      |                                   |                     |      |                      |      |    |
            309.9098  |     1000 |           |      |    0.00000      -     3.999490    | 4d5.5s2             | 6S   | 4d6.(5D).5p          | 4P*  |    |
                      |          |           |      |                                   |                     |      |                      |      |    |
            309.9517  |      200 |           |      |    0.00000      -     3.998943    | 4d5.5s2             | 6S   | 4d6.(5D).5p          | 4F*  |    |
            310.8254  |       60 |           |      |                                   |                     |      |                      |      |    |
            310.9151  |      40* |           |      |    2.000358     -     5.986923    | 4d5.5s2             | 4G   | 4d5.(4D).5s.(5D).5p  | 4F*  |    |
            310.9151  |      40* |           |      |    1.896767     -     5.883331    | 4d6.(3F2).5s        | 4F   | 4d5.(4G).5s.(3G).5p  | 4G*  |    |
            311.5977  |       60 |           |      |    2.000358     -     5.978189    | 4d5.5s2             | 4G   | 4d5.(4D).5s.(5D).5p  | 4F*  |    |
                      |          |           |      |                                   |                     |      |                      |      |    |
            311.9171  |       80 |           |      |    2.172565     -     6.146312?   | 4d5.(6S).5s.(7S).5p | 8P*  |                      | 4    |    |
            311.9662  |       40 |           |      |    1.896767     -     5.869896    | 4d6.(3F2).5s        | 4F   | 4d5.(4G).5s.(3G).5p  | 4G*  |    |
            312.2642  |      700 |           |      |    0.00000      -     3.969330    | 4d5.5s2             | 6S   | 4d6.(5D).5p          | 4F*  |    |
            313.1233  |     1500 |           |      |    0.00000      -     3.958445    | 4d5.5s2             | 6S   | 4d6.(5D).5p          | 4P*  |    |
            315.0265  |      40c |           |      |    1.303883     -     5.238414    | 4d6.(5D).5s         | 4D   | 4d5.(4D).5s.(5D).5p  | 6F*  |    |
                      |          |           |      |                                   |                     |      |                      |      |    |
            316.1674  |      300 |           |      |    1.643130     -     5.563465    | 4d6.(3P2).5s        | 4P   | 4d5.(4D).5s.(5D).5p  | 6P*  |    |
            317.3295  |     3000 | 8.6e+07   |      |    0.00000      -     3.905989    | 4d5.5s2             | 6S   | 4d5.(6S).5s.(5S).5p  | 6P*  |    |
            318.0305  |      200 |           |      |    1.643130     -     5.540506    | 4d6.(3P2).5s        | 4P   | 4d5.(4P).5s.(5P).5p  | 6P*  |    |
            318.2367  |     2000 | 3.9e+07   |      |    0.00000      -     3.894846    | 4d5.5s2             | 6S   | 4d6.(5D).5p          | 6P*  |    |
            318.3108  |     2000 | 5.6e+07   |      |    0.00000      -     3.893939    | 4d5.5s2             | 6S   | 4d5.(6S).5s.(5S).5p  | 6P*  |    |
                      |          |           |      |                                   |                     |      |                      |      |    |
            319.7530  |      40w |           |      |    0.403061     -     4.279424    | 4d6.(5D).5s         | 6D   | 4d5.(6S).5s.(5S).5p  | 4P*  |    |
            320.2831  |     300c |           |      |    1.303883     -     5.173844    | 4d6.(5D).5s         | 4D   | 4d6.(3F2).5p         | 4G*  |    |
            322.0737  |       40 |           |      |    1.371646     -     5.220084    | 4d6.(5D).5s         | 4D   | 4d6.(3D).5p          | 4F*  |    |
            323.0022  |       60 |           |      |                                   |                     |      |                      |      |    |
            324.1837  |      100 |           |      |    1.643130     -     5.466531    | 4d6.(3P2).5s        | 4P   | 4d6.(3F2).5p         | 4F*  |    |
                      |          |           |      |                                   |                     |      |                      |      |    |
            324.4193  |     500* |           |      |    1.986865     -     5.807493    | 4d5.5s2             | 4G   | 4d6.(3G).5p          | 4H*  |    |
            324.4193  |     500* |           |      |    0.458808     -     4.279424    | 4d6.(5D).5s         | 6D   | 4d5.(6S).5s.(5S).5p  | 4P*  |    |
            325.2048  |      300 |           |      |    2.052359     -     5.863752    | 4d6.(3H).5s         | 4H   | 4d5.(4G).5s.(5G).5p  | 4G*  |    |
            325.6102  |       40 |           |      |    1.756825     -     5.563465    | 4d6.(3P2).5s        | 4P   | 4d5.(4D).5s.(5D).5p  | 6P*  |    |
            326.1937  |       40 |           |      |    2.000358     -     5.800204    | 4d5.5s2             | 4G   | 4d6.(3G).5p          | 4H*  |    |
                      |          |           |      |                                   |                     |      |                      |      |    |
            328.7143  |      100 |           |      |    2.019428     -     5.790129    | 4d5.5s2             | 4G   | 4d6.(3G).5p          | 4H*  |    |
            330.0770  |      100 |           |      |    2.052359     -     5.807493    | 4d6.(3H).5s         | 4H   | 4d6.(3G).5p          | 4H*  |    |
            330.5891  |       80 |           |      |    2.035280     -     5.784615    | 4d5.5s2             | 4G   | 4d6.(3G).5p          | 4H*  |    |
            331.0646  |      200 |           |      |    1.820076     -     5.564008    | 4d6.(3P2).5s        | 4P   | 4d6.(3F2).5p         | 4F*  |    |
            331.3652  |      150 |           |      |    2.142773     -     5.883331    | 4d6.(3H).5s         | 4H   | 4d5.(4G).5s.(3G).5p  | 4G*  |    |
                      |          |           |      |                                   |                     |      |                      |      |    |
