
---------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |           Observed  |   Rel. |    Aki    | Acc. |         Ei           Ek          |    Lower level    |    Upper level    |Type|
          |          Wavelength |   Int. |    s^-1   |      |        (eV)         (eV)         |-------------------|-------------------|    |
          |           Vac (nm)  |        |           |      |                                  | Conf.      | Term | Conf.      | Term |    |
Tl III    |            350.741  |      4 |           |      |                                  |            |      |            |      |    |
Tl I      |            351.924  |  20000 | 1.24e+08  |      |    0.96617     -      4.48822    | 6s2.6p     | 2P*  | 6s2.6d     | 2D   |    |
Tl I      |            352.943  |   5000 | 2.20e+07  |      |    0.96617     -      4.47805    | 6s2.6p     | 2P*  | 6s2.6d     | 2D   |    |
          |                     |        |           |      |                                  |            |      |            |      |    |
Tl II     |            354.008  |      8 |           |      |                                  |            |      |            |      |    |
Tl II     |            356.068  |      9 |           |      |                                  |            |      |            |      |    |
Tl II     |            356.767  |      5 |           |      |                                  |            |      |            |      |    |
Tl I      |            377.572  | 12000w | 6.25e+07  |      |    0.0000      -      3.28279    | 6s2.6p     | 2P*  | 6s2.7s     | 2S   |    |
Tl II     |            379.395  |      8 |           |      |                                  |            |      |            |      |    |
          |                     |        |           |      |                                  |            |      |            |      |    |
Tl II     |            383.230  |     10 |           |      |                                  |            |      |            |      |    |
Tl II     |            386.915  |      6 |           |      |                                  |            |      |            |      |    |
Tl II     |            388.715  |     10 |           |      |                                  |            |      |            |      |    |
Tl III    |            393.305  |      6 |           |      |                                  |            |      |            |      |    |
Tl III    |            394.602  |      2 |           |      |                                  |            |      |            |      |    |
          |                     |        |           |      |                                  |            |      |            |      |    |
Tl III    |            410.985  |      7 |           |      |                                  |            |      |            |      |    |
Tl III    |            415.575  |      4 |           |      |                                  |            |      |            |      |    |
Tl II     |            422.305  |      8 |           |      |                                  |            |      |            |      |    |
Tl III    |            426.981  |      6 |           |      |                                  |            |      |            |      |    |
Tl II     |            427.498  |     20 |           |      |                                  |            |      |            |      |    |
          |                     |        |           |      |                                  |            |      |            |      |    |
Tl II     |            430.680  |     40 |           |      |                                  |            |      |            |      |    |
Tl I      |            435.99   |      2 |           |      |                                  |            |      |            |      |    |
Tl III    |            438.057  |      2 |           |      |                                  |            |      |            |      |    |
Tl II     |            449.077  |      8 |           |      |                                  |            |      |            |      |    |
Tl II     |            473.705  |     20 |           |      |                                  |            |      |            |      |    |
