
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |               Observed  |  Rel. |    Aki    | Acc. |           Ei           Ek            |         Lower level          |         Upper level          |Type|
          |              Wavelength |  Int. |    s^-1   |      |          (eV)         (eV)           |------------------------------|------------------------------|    |
          |               Vac (nm)  |       |           |      |                                      | Conf.             | Term     | Conf.             | Term     |    |
          |                         |       |           |      |                                      |                   |          |                   |          |    |
Ba III    |              133.1333   |     8 |           |      |    18.976354     -     28.289124     | 5p5.(2P*<3/2>).5d | 2[3/2]*  | 5p5.(2P*<3/2>).5f | 2[3/2]   |    |
Ba III    |              133.4011   |    12 |           |      |    19.154840     -     28.448929     | 5p5.(2P*<3/2>).6s | 2[3/2]*  | 5p5.(2P*<3/2>).5f | 2[5/2]   |    |
Ba III    |              133.9331   |     8 |           |      |    23.806444     -     33.063631     | 5p5.(2P*<1/2>).4f | 2[7/2]   | 5p5.(2P*<1/2>).5g | 2[9/2]*  |    |
Ba III    |              134.1122   |     8 |           |      |    19.154840     -     28.399642     | 5p5.(2P*<3/2>).6s | 2[3/2]*  | 5p5.(2P*<3/2>).7p | 2[5/2]   |    |
Ba III    |              134.6439   |     7 |           |      |    21.250690     -     30.458949     | 5p5.(2P*<3/2>).4f | 2[9/2]   | 5p5.(2P*<3/2>).7d | 2[7/2]*  |    |
          |                         |       |           |      |                                      |                   |          |                   |          |    |
Ba III    |              135.4708   |    11 |           |      |    19.154840     -     28.306914     | 5p5.(2P*<3/2>).6s | 2[3/2]*  | 5p5.(2P*<3/2>).5f | 2[3/2]   |    |
Ba III    |              135.8929   |    10 |           |      |    21.793705     -     30.917368     | 5p5.(2P*<3/2>).4f | 2[7/2]   | 5p5.(2P*<3/2>).5g | 2[9/2]*  |    |
Ba III    |              136.0981   |     2 |           |      |    21.793705     -     30.903604     | 5p5.(2P*<3/2>).4f | 2[7/2]   | 5p5.(2P*<3/2>).5g | 2[7/2]*  |    |
Ba III    |              136.4787   |     3 |           |      |    19.432817     -     28.517303     | 5p5.(2P*<1/2>).5d | 2[5/2]*  | 5p5.(2P*<3/2>).7p | 2[5/2]   |    |
Ba III    |              136.6050   |     5 |           |      |    21.390111     -     30.466163     | 5p5.(2P*<3/2>).4f | 2[9/2]   | 5p5.(2P*<3/2>).7d | 2[7/2]*  |    |
          |                         |       |           |      |                                      |                   |          |                   |          |    |
Ba III    |              136.9534   |    11 |           |      |    19.432817     -     28.485808     | 5p5.(2P*<1/2>).5d | 2[5/2]*  | 5p5.(2P*<3/2>).5f | 2[7/2]   |    |
Ba III    |              137.5138   |     4 |           |      |    19.432817     -     28.448929     | 5p5.(2P*<1/2>).5d | 2[5/2]*  | 5p5.(2P*<3/2>).5f | 2[5/2]   |    |
Ba III    |              141.6611   |    11 |           |      |    22.165471     -     30.917622     | 5p5.(2P*<3/2>).4f | 2[7/2]   | 5p5.(2P*<3/2>).5g | 2[9/2]*  |    |
Ba III    |              141.8472   |    10 |           |      |    19.776619     -     28.517303     | 5p5.(2P*<1/2>).5d | 2[3/2]*  | 5p5.(2P*<3/2>).7p | 2[5/2]   |    |
Ba III    |              141.9050   |     2 |           |      |    22.165471     -     30.902590     | 5p5.(2P*<3/2>).4f | 2[7/2]   | 5p5.(2P*<3/2>).5g | 2[7/2]*  |    |
          |                         |       |           |      |                                      |                   |          |                   |          |    |
Ba III    |              142.1602   |     2 |           |      |    21.793705     -     30.515119     | 5p5.(2P*<3/2>).4f | 2[7/2]   | 5p5.(2P*<3/2>).7d | 2[5/2]*  |    |
