
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |               Observed  |          Rel. |    Aki    | Acc. |            Ei           Ek             |           Lower level           |            Upper level            |   Type|
          |              Wavelength |          Int. |    s^-1   |      |           (eV)         (eV)            |---------------------------------|-----------------------------------|       |
          |               Vac (nm)  |               |           |      |                                        | Conf.                | Term     | Conf.                | Term       |       |
          |                         |               |           |      |                                        |                      |          |                      |            |       |
Sr III    |             105.1804    |            12 |           |      |    22.950202      -     34.737961      | 4p5.(2P*<3/2>).4d    | 2[7/2]*  | 4p5.(2P*<3/2>).4f    | 2[3/2]     |       |
Sr III    |             105.3498    |            16 |           |      |    24.336872      -     36.105670      | 4p5.(2P*<1/2>).4d    | 2[5/2]*  | 4p5.(2P*<1/2>).4f    | 2[5/2]     |       |
Sr III    |             105.5295    |             8 |           |      |    23.255058      -     35.003804      | 4p5.(2P*<3/2>).4d    | 2[5/2]*  | 4p5.(2P*<3/2>).6p    | 2[3/2]     |       |
Sr IV     |             105.5616    |             2 |           |      |    31.906711      -     43.651812      | 4s2.4p4.(1D).4d      | 2S       | 4s2.4p4.(1D).4f      | 2P*        |       |
Sr V      |             105.6108    |            12 |           |      |    31.077450      -     42.817224      | 4s2.4p3.(2P*).4d     | 3F*      | 4s2.4p3.(2D*).5p     | 3P         |       |
          |                         |               |           |      |                                        |                      |          |                      |            |       |
Sr III    |             105.7737    |            40 |           |      |    24.336872      -     36.058495      | 4p5.(2P*<1/2>).4d    | 2[5/2]*  | 4p5.(2P*<1/2>).4f    | 2[7/2]     |       |
Sr III    |             105.8832    |            20 |           |      |    24.336872      -     36.046362      | 4p5.(2P*<1/2>).4d    | 2[5/2]*  | 4p5.(2P*<1/2>).4f    | 2[5/2]     |       |
Sr III    |             105.9831    |            10 |           |      |    23.255058      -     34.953500      | 4p5.(2P*<3/2>).4d    | 2[5/2]*  | 4p5.(2P*<3/2>).6p    | 2[3/2]     |       |
Sr IV     |             105.9971    |            18 |           |      |    23.209933      -     34.906988      | 4s2.4p4.(3P).4d      | 4D       | 4s2.4p4.(3P<0>).5p   | 2[1]*      |       |
Sr IV     |             106.0011    |            18 |           |      |    24.862457      -     36.558924      | 4s2.4p4.(1D).4d      | 2P       | 4s2.4p4.(1D<2>).5p   | 2[2]*      |       |
          |                         |               |           |      |                                        |                      |          |                      |            |       |
Sr III    |             106.0196    |            50 |           |      |    23.255058      -     34.949457      | 4p5.(2P*<3/2>).4d    | 2[5/2]*  | 4p5.(2P*<3/2>).4f    | 2[7/2]     |       |
Sr V      |             106.0409    |             2 |           |      |    39.828564      -     51.520680      | 4s2.4p3.(4S*).5p     | 3P       | 4s2.4p3.(2D*).5d     | 1D*        |       |
Sr III    |             106.0931    |            30 |           |      |    23.255058      -     34.941395      | 4p5.(2P*<3/2>).4d    | 2[5/2]*  | 4p5.(2P*<3/2>).4f    | 2[5/2]     |       |
Sr III    |             106.2112    |            16 |           |      |    24.452903      -     36.126236      | 4p5.(2P*<3/2>).4d    | 2[3/2]*  | 4p5.(2P*<1/2>).6p    | 2[3/2]     |       |
Sr III    |             106.3987    |            36 |           |      |    24.452903      -     36.105670      | 4p5.(2P*<3/2>).4d    | 2[3/2]*  | 4p5.(2P*<1/2>).4f    | 2[5/2]     |       |
          |                         |               |           |      |                                        |                      |          |                      |            |       |
Sr III    |             106.5018    |            10 |           |      |    23.255058      -     34.896543      | 4p5.(2P*<3/2>).4d    | 2[5/2]*  | 4p5.(2P*<3/2>).6p    | 2[5/2]     |       |
Sr V      |             106.5209    |            16 |           |      |    30.199636      -     41.838999      | 4s2.4p3.(2P*).4d     | 3D*      | 4s2.4p3.(2D*).5p     | 1P         |       |
Sr V      |             106.6652    |             8 |           |      |    27.570159      -     39.193871      | 4s2.4p3.(2D*).4d     | 3F*      | 4s2.4p3.(4S*).5p     | 5P         |       |
Sr V      |             106.8251    |             4 |           |      |    39.654452      -     51.260801      | 4s2.4p3.(4S*).5p     | 3P       | 4s2.4p3.(2D*).5d     | 3P*        |       |
Sr V      |             106.9103    |             6 |           |      |    39.828564      -     51.425555      | 4s2.4p3.(4S*).5p     | 3P       | 4s2.4p3.(2D*).5d     | 3S*        |       |
          |                         |               |           |      |                                        |                      |          |                      |            |       |
Sr V      |             107.0577    |            14 |           |      |    33.009480      -     44.590537      | 4s2.4p3.(2P*).4d     | 1F*      | 4s2.4p3.(2P*).5p     | 3D         |       |
Sr V      |             107.0817    |            10 |           |      |    33.661732      -     45.240164      | 4s2.4p3.(4S*).4d     | 3D*      | 4s2.4p3.(2P*).5p     | 3P         |       |
Sr V      |             107.3897    |             8 |           |      |    30.199636      -     41.744857      | 4s2.4p3.(2P*).4d     | 3D*      | 4s2.4p3.(2D*).5p     | 3D         |       |
Sr XXV    |             107.43      |             j | 1.21e+04  |      |     0.00          -    [11.540]        | 3s2.3p2              | 3P       | 3s2.3p2              | 3P         | M1    |
Sr V      |             107.6756    |             6 |           |      |    33.427976      -     44.942630      | 4s2.4p3.(2D*).4d     | 3P*      | 4s2.4p3.(2P*).5p     | 1D         |       |
          |                         |               |           |      |                                        |                      |          |                      |            |       |
Sr IV     |             107.6997    |            18 |           |      |    31.291871      -     42.803848      | 4s2.4p4.(3P).4d      | 2P       | 4s2.4p4.(3P).4f      | 2D*        |       |
Sr III    |             107.9449    |             4 |           |      |    24.640388      -     36.126236      | 4p5.(2P*<1/2>).4d    | 2[3/2]*  | 4p5.(2P*<1/2>).6p    | 2[3/2]     |       |
Sr III    |             107.9720    |            10 |           |      |    23.255058      -     34.737961      | 4p5.(2P*<3/2>).4d    | 2[5/2]*  | 4p5.(2P*<3/2>).4f    | 2[3/2]     |       |
Sr III    |             108.0829    |            10 |           |      |    24.640388      -     36.111549      | 4p5.(2P*<1/2>).4d    | 2[3/2]*  | 4p5.(2P*<1/2>).6p    | 2[1/2]     |       |
Sr III    |             108.1386    |            16 |           |      |    24.640388      -     36.105670      | 4p5.(2P*<1/2>).4d    | 2[3/2]*  | 4p5.(2P*<1/2>).4f    | 2[5/2]     |       |
          |                         |               |           |      |                                        |                      |          |                      |            |       |
Sr III    |             108.5855    |            16 |           |      |    24.640388      -     36.058495      | 4p5.(2P*<1/2>).4d    | 2[3/2]*  | 4p5.(2P*<1/2>).4f    | 2[7/2]     |       |
Sr V      |             108.6146    |             1 |           |      |    32.877982      -     44.293093      | 4s2.4p3.(2D*).4d     | 3S*      | 4s2.4p3.(2P*).5p     | 3S         |       |
Sr IV     |             108.6907    |           18p |           |      |    23.204922      -     34.612137      | 4s2.4p4.(3P).4d      | 4D       | 4s2.4p4.(3P<1>).5p   | 2[2]*      |       |
Sr III    |             108.7009    |            30 |           |      |    24.640388      -     36.046362      | 4p5.(2P*<1/2>).4d    | 2[3/2]*  | 4p5.(2P*<1/2>).4f    | 2[5/2]     |       |
Sr IV     |             108.7371    |             8 |           |      |    23.209933      -     34.612137      | 4s2.4p4.(3P).4d      | 4D       | 4s2.4p4.(3P<1>).5p   | 2[2]*      |       |
          |                         |               |           |      |                                        |                      |          |                      |            |       |
Sr V      |             108.7524    |             1 |           |      |    41.455959      -     52.856604      | 4s2.4p3.(2D*).5p     | 3F       | 4s2.4p3.(2D*).6s     | 3D*        |       |
Sr V      |             108.8030    |             6 |           |      |    41.063347      -     52.458646      | 4s2.4p3.(2D*).5p     | 3D       | 4s2.4p3.(2D*).6s     | 3D*        |       |
Sr V      |             108.9684    |            1p |           |      |    42.145969      -     53.524037      | 4s2.4p3.(2D*).5p     | 3D       | 4s2.4p3.(2P*).5d     | 3P*        |       |
Sr III    |             109.3355    |             2 |           |      |    24.786424      -     36.126236      | 4p5.(2P*<1/2>).4d    | 2[5/2]*  | 4p5.(2P*<1/2>).6p    | 2[3/2]     |       |
