
------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |              Observed  |  Rel. |    Aki    | Acc. |           Ei           Ek           |        Lower level        |        Upper level        |Type|
          |             Wavelength |  Int. |    s^-1   |      |          (eV)         (eV)          |---------------------------|---------------------------|    |
          |              Vac (nm)  |       |           |      |                                     | Conf.          | Term     | Conf.          | Term     |    |
Sb I      |            185.889     |    60 |           |      |     1.22174247   -      7.8915272   | 5p3            | 2D*      | 5p2.(3P).7s    | 2P       |    |
Sb I      |            186.817     |   50r |           |      |     0.000000     -      6.6366204   | 5p3            | 4S*      | 5p2.(3P).5d    | 4F       |    |
Sb I      |            187.115     |  300r |           |      |     0.000000     -      6.6260831   | 5p3            | 4S*      | 5p2.(3P).5d    | 4P       |    |
Sb I      |            188.256     |  150r |           |      |     1.05536895   -      7.6412779   | 5p3            | 2D*      | 5p2.(3P).5d    | 2D       |    |
Sb I      |            189.128     |    70 |           |      |     1.05536895   -      7.6109568   | 5p3            | 2D*      | 5p2.(3P).7s    | 2P       |    |
          |                        |       |           |      |                                     |                |          |                |          |    |
Sb I      |            189.939     |    70 |           |      |     1.22174247   -      7.7492263   | 5p3            | 2D*      | 5p2.(3P).6d    | 4F       |    |
Sb I      |            192.708     |   100 |           |      |     1.05536895   -      7.4892001   | 5p3            | 2D*      | 5p2.(3P).5d    |          |    |
Sb III    |            194.613     |    10 |           |      |                                     |                |          |                |          |    |
Sb I      |            195.039     |  200r |           |      |     1.22174247   -      7.5786257   | 5p3            | 2D*      | 5p2.(3P).5d    | 2F       |    |
Sb I      |            196.43      |   80w |           |      |                                     |                |          |                |          |    |
          |                        |       |           |      |                                     |                |          |                |          |    |
Sb I      |            198.605     |    60 |           |      |     1.05536895   -      7.2980678   | 5p3            | 2D*      | 5p2.(3P).5d    | 4D       |    |
Sb II     |            199.017     |     1 |           |      |     9.56407      -     15.79375     | 5s.5p3         | 3P*      | 5s.5p2.(4P).6s | 3P       |    |
Sb II     |            199.034     |     6 |           |      |     9.56407      -     15.79334     | 5s.5p3         | 3P*      | 5s.5p2.(4P).6s | 3P       |    |
------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |              Observed  |  Rel. |    Aki    | Acc. |           Ei           Ek           |        Lower level        |        Upper level        |Type|
          |             Wavelength |  Int. |    s^-1   |      |          (eV)         (eV)          |---------------------------|---------------------------|    |
          |              Air (nm)  |       |           |      |                                     | Conf.          | Term     | Conf.          | Term     |    |
------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                        |       |           |      |                                     |                |          |                |          |    |
Sb I      |            202.400     |    50 |           |      |     0.000000     -      6.1237198   | 5p3            | 4S*      | 5p2.(3P).6s    | 2P       |    |
Sb I      |            202.949     |   60r |           |      |     2.0327654    -      8.140109    | 5p3            | 2P*      | 5p2.(1S).6s    | 2S       |    |
Sb I      |            203.977     |   70r |           |      |     1.22174247   -      7.2980678   | 5p3            | 2D*      | 5p2.(3P).5d    | 4D       |    |
Sb I      |            204.957     |  150r |           |      |     1.05536895   -      7.1026889   | 5p3            | 2D*      | 5p2.(3P).5d    | 2F       |    |
Sb III    |            205.410     |     3 |           |      |                                     |                |          |                |          |    |
          |                        |       |           |      |                                     |                |          |                |          |    |
Sb I      |            206.343     |    50 |           |      |     2.0327654    -      8.0395592   | 5p3            | 2P*      | 5p2.(1D).5d    | 2D       |    |
Sb I      |            206.833     | 1000r | 1.81e+08  |      |     0.000000     -      5.9924566   | 5p3            | 4S*      | 5p2.(3P).6s    | 4P       |    |
Sb I      |            207.956     |   100 |           |      |     2.2892692    -      8.249312    | 5p3            | 2P*      |                | 66535    |    |
Sb III    |            209.185     |     2 |           |      |                                     |                |          |                |          |    |
Sb I      |            209.841     |   50r |           |      |     1.05536895   -      6.9619359   | 5p3            | 2D*      | 5p2.(3P).5d    | 4P       |    |
          |                        |       |           |      |                                     |                |          |                |          |    |
Sb I      |            211.848     |   80r |           |      |     2.2892692    -      8.140109    | 5p3            | 2P*      | 5p2.(1S).6s    | 2S       |    |
Sb III    |            212.700     |     5 |           |      |                                     |                |          |                |          |    |
Sb I      |            212.739     |  100r |           |      |     0.000000     -      5.8261484   | 5p3            | 4S*      | 5p2.(3P).6s    | 2P       |    |
Sb I      |            213.705     |   50r |           |      |     2.2892692    -      8.0891317   | 5p3            | 2P*      | 5p2.(1D).5d    | 2D       |    |
Sb I      |            213.969     |  100r | 1.74e+08  |      |     1.05536895   -      6.8480143   | 5p3            | 2D*      | 5p2.(1D).6s    | 2D       |    |
          |                        |       |           |      |                                     |                |          |                |          |    |
Sb II     |            214.180     |    10 |           |      |     8.21911      -     14.00618     | 5s.5p3         | 3D*      | 5s2.5p.4f      | 3D       |    |
