
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |            Observed  |    Rel. |    Aki    | Acc. |          Ei           Ek          |           Lower level            |           Upper level            |Type|
          |           Wavelength |    Int. |    s^-1   |      |         (eV)         (eV)         |----------------------------------|----------------------------------|    |
          |            Vac (nm)  |         |           |      |                                   | Conf.                 | Term     | Conf.                 | Term     |    |
Sc V      |            126.5861  |       3 |           |      |    54.82560     -     64.62002    | 3s2.3p4.(3P).4p       | 2D*      | 3s2.3p4.(3P).4d       | 2F       |    |
Sc II     |            126.6246  |       0 |           |      |     1.506956    -     11.29843    | 3p6.3d2               | 3P       | 3p6.3d.6f             | 3D*      |    |
Sc IV     |            126.7628  |       5 |           |      |    47.80459     -     57.58535    | 3s2.3p5.4p            | 3P       | 3s2.3p5.(2P*<1/2>).5s | 2[1/2]*  |    |
Sc V      |            126.8382  |      6* |           |      |    53.95010     -     63.72512    | 3s2.3p4.(3P).4p       | 4P*      | 3s2.3p4.(3P).4d       | 4D       |    |
          |                      |         |           |      |                                   |                       |          |                       |          |    |
Sc V      |            126.8382  |      6* |           |      |    54.01674     -     63.79167    | 3s2.3p4.(3P).4p       | 4P*      | 3s2.3p4.(3P).4d       | 4D       |    |
Sc V      |            126.9801  |       6 |           |      |    54.97055     -     64.73454    | 3s2.3p4.(3P).4p       | 2P*      | 3s2.3p4.(3P).4d       | 2P       |    |
Sc IV     |            127.0408  |       4 |           |      |    47.32625     -     57.08566    | 3s2.3p5.4p            | 3P       | 3s2.3p5.(2P*<3/2>).5s | 2[3/2]*  |    |
Sc V      |            127.1921  |       3 |           |      |    55.35153     -     65.09931    | 3s2.3p4.(3P).4p       | 2D*      | 3s2.3p4.(3P).4d       | 2P       |    |
Sc V      |            127.2155  |       4 |           |      |    55.15361     -     64.89963    | 3s2.3p4.(3P).4p       | 4D*      | 3s2.3p4.(3P).4d       | 2D       |    |
          |                      |         |           |      |                                   |                       |          |                       |          |    |
Sc V      |            127.3181  |       6 |           |      |    54.97055     -     64.70873    | 3s2.3p4.(3P).4p       | 2P*      | 3s2.3p4.(3P).4d       | 2D       |    |
Sc V      |            127.4124  |       0 |           |      |    55.16880     -     64.89963    | 3s2.3p4.(3P).4p       | 4D*      | 3s2.3p4.(3P).4d       | 2D       |    |
Sc V      |            127.6440  |       7 |           |      |    53.95010     -     63.66340    | 3s2.3p4.(3P).4p       | 4P*      | 3s2.3p4.(3P).4d       | 4D       |    |
Sc V      |            127.7075  |       7 |           |      |    54.01674     -     63.72512    | 3s2.3p4.(3P).4p       | 4P*      | 3s2.3p4.(3P).4d       | 4D       |    |
Sc V      |            127.7258  |       6 |           |      |    55.04213     -     64.74913    | 3s2.3p4.(3P).4p       | 2P*      | 3s2.3p4.(3P).4d       | 4P       |    |
          |                      |         |           |      |                                   |                       |          |                       |          |    |
Sc IV     |            127.8784  |       4 |           |      |    47.80459     -     57.50001    | 3s2.3p5.4p            | 3P       | 3s2.3p5.(2P*<1/2>).5s | 2[1/2]*  |    |
Sc V      |            127.9360  |       7 |           |      |    54.82560     -     64.51674    | 3s2.3p4.(3P).4p       | 2D*      | 3s2.3p4.(3P).4d       | 2F       |    |
Sc V      |            128.0982  |       9 |           |      |    53.95010     -     63.62894    | 3s2.3p4.(3P).4p       | 4P*      | 3s2.3p4.(3P).4d       | 4D       |    |
