
--------------------------------------------------------------------------------------
Spectrum  |          Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
          |         Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
          |          Vac (nm)  |       |           |      |                     |    |
--------------------------------------------------------------------------------------
Zn I      |           210.442  |   150 |           |      |                     |    |
Zn II     |           212.274  |    75 |           |      |                     |    |
Zn I      |           213.856  |  800r | 7.09e+08  |      |                     |    |
Zn II     |           214.742  |    75 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Zn II     |           221.018  |    60 |           |      |                     |    |
Zn II     |           227.315  |    50 |           |      |                     |    |
Zn II     |           250.199  |  1000 |           |      |                     |    |
Zn I      |           251.581  |   150 |           |      |                     |    |
Zn II     |           252.796  |    50 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Zn II     |           255.795  |  1000 |           |      |                     |    |
Zn II     |           256.780  |    50 |           |      |                     |    |
Zn II     |           256.798  |    50 |           |      |                     |    |
Zn I      |           256.987  |  100w |           |      |                     |    |
Zn I      |           258.244  |   100 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Zn I      |           258.249  |   300 |           |      |                     |    |
Zn I      |           260.856  |   200 |           |      |                     |    |
Zn I      |           260.864  |   300 |           |      |                     |    |
Zn I      |           267.053  |   200 |           |      |                     |    |
Zn I      |           268.416  |   300 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Zn I      |           271.249  |   300 |           |      |                     |    |
Zn I      |           275.645  |   200 |           |      |                     |    |
Zn I      |           277.086  |   300 |           |      |                     |    |
Zn I      |           277.098  |   300 |           |      |                     |    |
Zn I      |           280.087  |   400 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Zn I      |           280.106  |   100 |           |      |                     |    |
Zn I      |           280.117  |     5 |           |      |                     |    |
Zn II     |           280.196  |   100 |           |      |                     |    |
Zn II     |           290.230  |   100 |           |      |                     |    |
Zn I      |           301.836  |   125 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Zn I      |           303.578  |   200 |           |      |                     |    |
Zn I      |           307.206  |   200 |           |      |                     |    |
Zn I      |           307.590  |   150 | 3.29e+04  |      |                     |    |
Zn II     |           317.145  |   100 |           |      |                     |    |
Zn II     |           317.223  |   100 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Zn II     |           319.631  |   300 |           |      |                     |    |
Zn II     |           319.710  |   100 |           |      |                     |    |
Zn I      |           328.233  |  500r | 9.0e+07   |      |                     |    |
Zn II     |           329.942  |    50 |           |      |                     |    |
Zn I      |           330.258  |   800 | 1.2e+08   |      |                     |    |
          |                    |       |           |      |                     |    |
Zn I      |           330.294  |  700r | 6.7e+07   |      |                     |    |
Zn II     |           330.601  |    75 |           |      |                     |    |
Zn I      |           334.502  |   800 | 1.7e+08   |      |                     |    |
Zn I      |           334.557  |   500 | 4.0e+07   |      |                     |    |
Zn I      |           334.594  |   150 | 4.5e+06   |      |                     |    |
          |                    |       |           |      |                     |    |
Zn I      |           379.900  |     5 |           |      |                     |    |
Zn II     |           380.634  |    50 |           |      |                     |    |
Zn II     |           384.029  |   100 |           |      |                     |    |
Zn I      |           388.334  |    50 |           |      |                     |    |
Zn I      |           396.543  |    15 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Zn I      |           411.321  |    10 |           |      |                     |    |
Zn I      |           429.288  |    25 |           |      |                     |    |
Zn I      |           429.833  |    25 |           |      |                     |    |
Zn I      |           462.981  |    35 |           |      |                     |    |
Zn I      |           468.014  |   300 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Zn I      |           472.215  |   400 |           |      |                     |    |
Zn I      |           481.053  |   400 |           |      |                     |    |
Zn II     |           491.162  |   800 | 1.6e+08   |      |                     |    |
Zn II     |           492.403  |   500 |           |      |                     |    |
Zn I      |           506.866  |     7 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Zn I      |           506.958  |    15 |           |      |                     |    |
Zn I      |           518.198  |   200 |           |      |                     |    |
Zn I      |           530.865  |     8 |           |      |                     |    |
Zn I      |           531.024  |     7 |           |      |                     |    |
Zn I      |           531.102  |     7 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Zn I      |           577.210  |     4 |           |      |                     |    |
Zn I      |           577.550  |     4 |           |      |                     |    |
Zn I      |           577.711  |    10 |           |      |                     |    |
Zn II     |           589.433  |   500 |           |      |                     |    |
Zn II     |           602.118  |   500 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Zn II     |           610.249  |   500 |           |      |                     |    |
Zn II     |           611.153  |   100 |           |      |                     |    |
Zn II     |           621.461  |   500 |           |      |                     |    |
Zn I      |           623.790  |     8 |           |      |                     |    |
Zn I      |           623.917  |     8 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Zn I      |           636.234  | 1000w | 4.74e+07  |      |                     |    |
Zn I      |           647.918  |    10 |           |      |                     |    |
Zn I      |           692.832  |    15 |           |      |                     |    |
Zn I      |           693.847  |     8 |           |      |                     |    |
Zn I      |           694.320  |     3 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Zn II     |           747.88   |   200 |           |      |                     |    |
Zn II     |           758.85   |   300 |           |      |                     |    |
Zn II     |           761.29   |   100 |           |      |                     |    |
Zn II     |           773.25   |   300 |           |      |                     |    |
Zn II     |           775.79   |   200 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Zn I      |           779.936  |    10 |           |      |                     |    |
Zn I      |          1105.425  |   100 | 2.43e+07  |      |                     |    |
