
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                          Observed  |       Rel. |    Aki    | Acc. |                   Ei           Ek                  |          Lower level          |          Upper level          |Type|
          |                         Wavelength |       Int. |    s^-1   |      |                  (eV)         (eV)                 |-------------------------------|-------------------------------|    |
          |                          Vac (nm)  |            |           |      |                                                    | Conf.              | Term     | Conf.              | Term     |    |
Cs II     |                     162.78015      |         12 |           |      |    14.34193759           -     21.9586023          | 5p5.(2P*<3/2>).5d  | 2[5/2]*  | 5p5.(2P*<3/2>).7f  | 2[5/2]   |    |
Cs III    |                     163.0933       |        600 | 7.68e+05  |      |    16.9478333            -     24.5498628          | 5s2.5p4.(3P<1>).5d | 2[1]     | 5s2.5p4.(3P<1>).4f | 2[3]*    |    |
          |                                    |            |           |      |                                                    |                    |          |                    |          |    |
Cs III    |                     163.1424       |       1200 | 1.82e+07  |      |    17.4563065            -     25.0560514          | 5s2.5p4.(3P<1>).5d | 2[2]     | 5s2.5p4.(1D<2>).4f | 2[2]*    |    |
Cs II     |                     163.27777      |          3 |           |      |    13.98595023           -     21.57940104         | 5p5.(2P*<3/2>).5d  | 2[3/2]*  | 5p5.(2P*<3/2>).9p  | 2[3/2]   |    |
Cs II     |                     163.48077      |          7 |           |      |    13.75658687           -     21.34060652         | 5p5.(2P*<3/2>).6s  | 2[3/2]*  | 5p5.(2P*<3/2>).6f  | 2[3/2]   |    |
Cs II     |                     163.61058      |         76 |           |      |    13.91667299           -     21.49467409         | 5p5.(2P*<3/2>).5d  | 2[7/2]*  | 5p5.(2P*<3/2>).6f  | 2[7/2]   |    |
Cs II     |                     163.64261      |         47 |           |      |    14.34193759           -     21.91845686         | 5p5.(2P*<3/2>).5d  | 2[5/2]*  | 5p5.(2P*<3/2>).7f  | 2[7/2]   |    |
          |                                    |            |           |      |                                                    |                    |          |                    |          |    |
Cs II     |                     163.69681      |         10 |           |      |    13.98595023           -     21.5599623          | 5p5.(2P*<3/2>).5d  | 2[3/2]*  | 5p5.(2P*<3/2>).9p  | 2[5/2]   |    |
Cs II     |                     163.91235      |          4 |           |      |    13.91667299           -     21.48072545         | 5p5.(2P*<3/2>).5d  | 2[7/2]*  | 5p5.(2P*<3/2>).6f  | 2[7/2]   |    |
Cs II     |                     163.91680      |          2 |           |      |    13.98595023           -     21.5497913          | 5p5.(2P*<3/2>).5d  | 2[3/2]*  | 5p5.(2P*<3/2>).9p  | 2[5/2]   |    |
Cs II     |                     164.04506      |         13 |           |      |    14.66417831           -     22.22211339         | 5p5.(2P*<3/2>).5d  | 2[5/2]*  | 5p5.(2P*<3/2>).8f  | 2[7/2]   |    |
Cs II     |                     164.19687      |          6 |           |      |    13.98595023           -     21.5368958          | 5p5.(2P*<3/2>).5d  | 2[3/2]*  | 5p5.(2P*<3/2>).9p  | 2[1/2]   |    |
          |                                    |            |           |      |                                                    |                    |          |                    |          |    |
Cs III    |                     164.24926      |       3000 | 2.07e+08  |      |    16.4178872            -     23.9664198          | 5s2.5p4.(3P<2>).5d | 2[0]     | 5s2.5p4.(1D<2>).4f | 2[1]*    |    |
Cs II     |                     164.38632      |          5 |           |      |    13.31609577           -     20.85833894         | 5p5.(2P*<3/2>).6s  | 2[3/2]*  | 5p5.(2P*<3/2>).8p  | 2[3/2]   |    |
Cs II     |                     164.65623      |          4 |           |      |    13.91667299           -     21.44655511         | 5p5.(2P*<3/2>).5d  | 2[7/2]*  | 5p5.(2P*<3/2>).6f  | 2[5/2]   |    |
Cs II     |                     164.86343      |          4 |           |      |    13.31609577           -     20.83651828         | 5p5.(2P*<3/2>).6s  | 2[3/2]*  | 5p5.(2P*<3/2>).8p  | 2[3/2]   |    |
