
----------------------------------------------------------------------------------------------------------------------------------
          Observed  |  Rel. |    Aki    | Acc. |         Ei           Ek         |    Lower level     |     Upper level     |Type|
         Wavelength |  Int. |    s^-1   |      |        (eV)         (eV)        |--------------------|---------------------|    |
          Air (nm)  |       |           |      |                                 | Conf.       | Term | Conf.       | Term  |    |
          352.002   |   150 | 7.3e+06   | B    |    1.071249    -     4.592513   | 3d3.(4F).4s | a 3F | 3d3.(4F).4p | z 3D* |    |
          352.472   |   110 | 6.7e+06   | B    |    1.096265    -     4.612829   | 3d3.(4F).4s | a 3F | 3d3.(4F).4p | z 3D* |    |
          353.077   |   230 | 4.5e+07   | C+   |    1.071249    -     4.581790   | 3d3.(4F).4s | a 3F | 3d3.(4F).4p | z 5F* |    |
          354.520   |   560 | 4.3e+07   | B    |    1.096265    -     4.592513   | 3d3.(4F).4s | a 3F | 3d3.(4F).4p | z 3D* |    |
          355.680   |   560 | 5.1e+07   | B    |    1.127985    -     4.612829   | 3d3.(4F).4s | a 3F | 3d3.(4F).4p | z 3D* |    |
                    |       |           |      |                                 |             |      |             |       |    |
          358.976   |   560 |           |      |                                 |             |      |             |       |    |
          359.202   |   490 | 4.4e+07   | B    |    1.096265    -     4.546932   | 3d3.(4F).4s | a 3F | 3d3.(4F).4p | z 5F* |    |
          359.333   |   270 | 1.7e+07   | B    |    1.127985    -     4.577398   | 3d3.(4F).4s | a 3F | 3d3.(4F).4p | z 5F* |    |
          366.941   |   110 | 1.3e+07   | D    |    2.524719    -     5.902613   | 3d3.(2H).4s | b 3H | 3d3.(2G).4p | z 3H* |    |
          371.547   |   320 | 1.8e+07   | D    |    1.575374    -     4.911381   | 3d4         | a 3H | 3d3.(4F).4p | z 3G* |    |
                    |       |           |      |                                 |             |      |             |       |    |
          372.734   |   250 | 2.1e+07   | D    |    1.687296    -     5.012686   | 3d4         | b 3F | 3d3.(4F).4p | z 3F* |    |
          373.276   |   280 | 1.9e+07   | D    |    1.564873    -     4.885441   | 3d4         | a 3H | 3d3.(4F).4p | z 3G* |    |
          374.580   |   230 |           |      |                                 |             |      |             |       |    |
          375.087   |   210 |           |      |                                 |             |      |             |       |    |
          377.097   |   210 |           |      |                                 |             |      |             |       |    |
                    |       |           |      |                                 |             |      |             |       |    |
          387.871   |   130 |           |      |                                 |             |      |             |       |    |
          389.913   |   140 |           |      |                                 |             |      |             |       |    |
          391.433   |   140 |           |      |                                 |             |      |             |       |    |
          391.641   |   100 | 7.6e+06   | B    |    1.427648    -     4.592513   | 3d4         | a 3P | 3d3.(4F).4p | z 3D* |    |
          395.197   |   140 | 1.1e+07   | B    |    1.476437    -     4.612829   | 3d4         | a 3P | 3d3.(4F).4p | z 3D* |    |
                    |       |           |      |                                 |             |      |             |       |    |
          397.364   |   100 | 7.5e+06   | B    |    1.427648    -     4.546932   | 3d4         | a 3P | 3d3.(4F).4p | z 5F* |    |
          400.571   |   170 | 1.3e+07   | D    |    1.817066    -     4.911381   | 3d4         | a 3G | 3d3.(4F).4p | z 3G* |    |
          402.339   |   120 |           |      |                                 |             |      |             |       |    |
          403.563   |   150 |           |      |                                 |             |      |             |       |    |
