
------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |            Observed  |  Rel. |    Aki    | Acc. |          Ei           Ek          |      Lower level      |      Upper level      |Type|
          |           Wavelength |  Int. |    s^-1   |      |         (eV)         (eV)         |-----------------------|-----------------------|    |
          |            Vac (nm)  |       |           |      |                                   | Conf.          | Term | Conf.          | Term |    |
N II      |            404.131   |   550 |           |      |                                   |                |      |                |      |    |
N II      |            404.353   |   360 |           |      |                                   |                |      |                |      |    |
N III     |            409.733   |   250 | 8.70e+07  | B    |    27.43797     -     30.46308    | 2s2.3s         | 2S   | 2s2.3p         | 2P*  |    |
          |                      |       |           |      |                                   |                |      |                |      |    |
N III     |            410.343   |   200 | 8.67e+07  | B    |    27.43797     -     30.45863    | 2s2.3s         | 2S   | 2s2.3p         | 2P*  |    |
N II      |            417.616   |   285 |           |      |                                   |                |      |                |      |    |
N III     |            419.576   |   120 | 9.37e+07  | B    |    36.84205     -     39.79622    | 2s.2p.(3P*).3s | 2P*  | 2s.2p.(3P*).3p | 2D   |    |
N III     |            420.010   |   150 | 1.12e+08  | B    |    36.85609     -     39.80721    | 2s.2p.(3P*).3s | 2P*  | 2s.2p.(3P*).3p | 2D   |    |
N II      |            422.774   |   285 | 1.08e+08  | B    |    21.599538    -     24.531350   | 2s2.2p.3p      | 1D   | 2s2.2p.4s      | 1P*  |    |
          |                      |       |           |      |                                   |                |      |                |      |    |
N II      |            423.691   |   285 |           |      |                                   |                |      |                |      |    |
N II      |            423.705   |   220 |           |      |                                   |                |      |                |      |    |
N II      |            424.178   |   450 |           |      |                                   |                |      |                |      |    |
N III     |            433.291   |    90 | 1.23e+07  | B    |    38.40454     -     41.26516    | 2s.2p.(3P*).3p | 4D   | 2s.2p.(3P*).3d | 4D*  |    |
N III     |            434.568   |   120 | 1.82e+07  | B    |    38.41648     -     41.26863    | 2s.2p.(3P*).3p | 4D   | 2s.2p.(3P*).3d | 4D*  |    |
          |                      |       |           |      |                                   |                |      |                |      |    |
N III     |            437.911   |   300 |           |      |                                   |                |      |                |      |    |
N II      |            443.274   |   285 |           |      |                                   |                |      |                |      |    |
N II      |            444.703   |   650 | 1.12e+08  | B+   |    20.409132    -     23.196373   | 2s2.2p.3p      | 1P   | 2s2.2p.3d      | 1D*  |    |
N III     |            451.091   |    90 | 2.84e+07  | B    |    35.64910     -     38.39689    | 2s.2p.(3P*).3s | 4P*  | 2s.2p.(3P*).3p | 4D   |    |
N III     |            451.486   |   120 | 6.80e+07  | B    |    35.67111     -     38.41648    | 2s.2p.(3P*).3s | 4P*  | 2s.2p.(3P*).3p | 4D   |    |
          |                      |       |           |      |                                   |                |      |                |      |    |
N II      |            453.041   |   360 |           |      |                                   |                |      |                |      |    |
N II      |            460.148   |   550 | 2.22e+07  | B+   |    18.466227    -     21.159915   | 2s2.2p.3s      | 3P*  | 2s2.2p.3p      | 3P   |    |
N II      |            460.716   |   450 | 3.15e+07  | B+   |    18.462311    -     21.152682   | 2s2.2p.3s      | 3P*  | 2s2.2p.3p      | 3P   |    |
N II      |            461.387   |   360 | 2.12e+07  | B+   |    18.466227    -     21.152682   | 2s2.2p.3s      | 3P*  | 2s2.2p.3p      | 3P   |    |
N II      |            462.139   |   450 | 9.04e+07  | B+   |    18.466227    -     21.148307   | 2s2.2p.3s      | 3P*  | 2s2.2p.3p      | 3P   |    |
          |                      |       |           |      |                                   |                |      |                |      |    |
N II      |            463.054   |   870 | 7.48e+07  | B+   |    18.483132    -     21.159915   | 2s2.2p.3s      | 3P*  | 2s2.2p.3p      | 3P   |    |
N III     |            463.414   |    90 | 6.36e+07  | B    |    30.45863     -     33.13334    | 2s2.3p         | 2P*  | 2s2.3d         | 2D   |    |
N III     |            464.064   |   120 | 7.60e+07  | B    |    30.46308     -     33.13403    | 2s2.3p         | 2P*  | 2s2.3d         | 2D   |    |
N II      |            464.308   |   550 | 4.39e+07  | B+   |    18.483132    -     21.152682   | 2s2.2p.3s      | 3P*  | 2s2.2p.3p      | 3P   |    |
N II      |            478.813   |   285 | 2.50e+07  | B    |    20.653591    -     23.242270   | 2s2.2p.3p      | 3D   | 2s2.2p.3d      | 3D*  |    |
          |                      |       |           |      |                                   |                |      |                |      |    |
