
---------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |              Observed  |   Rel. |    Aki    | Acc. |           Ei           Ek           |     Lower level     |            Upper level            |Type|
          |             Wavelength |   Int. |    s^-1   |      |          (eV)         (eV)          |---------------------|-----------------------------------|    |
          |              Vac (nm)  |        |           |      |                                     | Conf.        | Term | Conf.                | Term       |    |
Ga V      |             106.266    |     80 |           |      |    29.2692       -     40.9364      | 3d8.(3P).4s  | 4P   | 3d8.(3P).4p          | 4D*        |    |
Ga V      |             106.381    |     10 |           |      |    28.7285       -     40.3833      | 3d8.(1D).4s  | 2D   | 3d8.(1D).4p          | 2D*        |    |
Ga I      |             106.435    |     a* |           |      |     0.000000     -     11.64882     | 3d10.4s2.4p  | 2P*  | 4s.4p.(3P*<2>).8p    | 2[1]       |    |
          |                        |        |           |      |                                     |              |      |                      |            |    |
Ga I      |             106.435    |     a* |           |      |     0.000000     -     11.64882     | 3d10.4s2.4p  | 2P*  | 4s.4p.(3P*<2>).8p    | 2[1]       |    |
Ga I      |             106.435    |     a* |           |      |     0.000000     -     11.64882     | 3d10.4s2.4p  | 2P*  | 4s.4p.(3P*<0>).10p   | 2[1]       |    |
Ga I      |             106.435    |     a* |           |      |     0.000000     -     11.64882     | 3d10.4s2.4p  | 2P*  | 4s.4p.(3P*<0>).10p   | 2[1]       |    |
Ga III    |             106.4811   |      5 |           |      |    16.166988     -     27.81077     | 3d9.4s2      | 2D   | 3d10.8p              | 2P*        |    |
Ga V      |             106.537    |      5 |           |      |    26.53         -     38.1703      | 3d8.(3F).4s  | 4F   | 3d8.(3F).4p          | 4F*        |    |
          |                        |        |           |      |                                     |              |      |                      |            |    |
Ga I      |             106.557    |     a* |           |      |     0.000000     -     11.63548     | 3d10.4s2.4p  | 2P*  | 4s.4p.(3P*<2>).8p    | 2[2]       |    |
Ga I      |             106.557    |     a* |           |      |     0.000000     -     11.63548     | 3d10.4s2.4p  | 2P*  | 4s.4p.(3P*<1>).9p    | 2[2]       |    |
Ga I      |             106.612    |      a |           |      |     0.000000     -     11.62948     | 3d10.4s2.4p  | 2P*  | 4s.4p.(3P*<1>).9p    | 2[1]       |    |
Ga V      |             106.669    |     80 |           |      |    26.53         -     38.1555      | 3d8.(3F).4s  | 4F   | 3d8.(3F).4p          | 4F*        |    |
Ga I      |             106.705    |      a |           |      |     0.000000     -     11.61934     | 3d10.4s2.4p  | 2P*  | 4s.4p.(3P*<1>).9p    | 2[1]       |    |
          |                        |        |           |      |                                     |              |      |                      |            |    |
Ga V      |             106.859    |     35 |           |      |    28.8843       -     40.4869      | 3d8.(1D).4s  | 2D   | 3d8.(1D).4p          | 2P*        |    |
Ga V      |             106.945    |     30 |           |      |    29.2118       -     40.8047      | 3d8.(3P).4s  | 4P   | 3d8.(3P).4p          | 4D*        |    |
Ga V      |             106.960    |     60 |           |      |    29.2118       -     40.8036      | 3d8.(3P).4s  | 4P   | 3d8.(3P).4p          | 4D*        |    |
Ga VI     |             106.9739   |     70 |           |      |    37.73032      -     49.32052     | 3d7.(4F).4s  | 3F   | 3d7.(4F).4p          | 5G*        |    |
Ga V      |             107.111    |     45 |           |      |    29.2295       -     40.8047      | 3d8.(3P).4s  | 4P   | 3d8.(3P).4p          | 4D*        |    |
          |                        |        |           |      |                                     |              |      |                      |            |    |
Ga V      |             107.119    |     55 |           |      |    29.2295       -     40.8042      | 3d8.(3P).4s  | 4P   | 3d8.(3P).4p          | 4D*        |    |
Ga VI     |             107.1536   |     80 |           |      |    41.74821      -     53.31882     | 3d7.(2H).4s  | 1H   | 3d7.(2H).4p          | 3G*        |    |
Ga I      |             107.157    |     a* |           |      |     0.000000     -     11.57033     | 3d10.4s2.4p  | 2P*  | 4s.4p.(3P*<0>).9p    | 2[1]       |    |
Ga I      |             107.157    |     a* |           |      |     0.000000     -     11.57033     | 3d10.4s2.4p  | 2P*  | 4s.4p.(3P*<0>).9p    | 2[1]       |    |
Ga V      |             107.377    |     80 |           |      |    26.2997       -     37.8461      | 3d8.(3F).4s  | 4F   | 3d8.(3F).4p          | 4F*        |    |
          |                        |        |           |      |                                     |              |      |                      |            |    |
