
---------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |              Observed  |   Rel. |    Aki    | Acc. |           Ei           Ek           |     Lower level     |            Upper level            |Type|
          |             Wavelength |   Int. |    s^-1   |      |          (eV)         (eV)          |---------------------|-----------------------------------|    |
          |              Vac (nm)  |        |           |      |                                     | Conf.        | Term | Conf.                | Term       |    |
Ga VI     |             102.7817   |    440 |           |      |    36.50986      -     48.57282     | 3d7.(4F).4s  | 5F   | 3d7.(4F).4p          | 5F*        |    |
Ga VI     |             102.8874   |     30 |           |      |    37.96441      -     50.01496     | 3d7.(4F).4s  | 3F   | 3d7.(4F).4p          | 3F*        |    |
Ga VI     |             102.9168   |    780 |           |      |    41.30484      -     53.35187     | 3d7.(2H).4s  | 3H   | 3d7.(2H).4p          | 3I*        |    |
Ga VI     |             103.0460   | 940bl* |           |      |    40.95884      -     52.99079     | 3d7.(2H).4s  | 3H   | 3d7.(2H).4p          | 3G*        |    |
Ga VI     |             103.0460   | 940bl* |           |      |    41.09682      -     53.12864     | 3d7.(2H).4s  | 3H   | 3d7.(2H).4p          | 3I*        |    |
          |                        |        |           |      |                                     |              |      |                      |            |    |
Ga VI     |             103.0880   |     20 |           |      |    40.59725      -     52.62425     | 3d7.(4P).4s  | 3P   | 3d7.(2P).4p          | 1D*        |    |
Ga V      |             103.238    |     10 |           |      |    29.2118       -     41.2214      | 3d8.(3P).4s  | 4P   | 3d8.(3P).4p          | 2D*        |    |
Ga V      |             103.355    |     20 |           |      |    26.6860       -     38.6820      | 3d8.(3F).4s  | 4F   | 3d8.(3F).4p          | 2D*        |    |
Ga VI     |             103.3575   |    680 |           |      |    40.95884      -     52.95444     | 3d7.(2H).4s  | 3H   | 3d7.(2G).4p          | 1H*        |    |
Ga II     |             103.3663   |      0 |           |      |     6.044211     -     18.0389816   | 4s.4p        | 3P*  | 4s.7s                | 3S         |    |
          |                        |        |           |      |                                     |              |      |                      |            |    |
Ga IV     |             103.6108   |    100 |           |      |    29.29894      -     41.26526     | 3d9.4p       | 1P*  | 3d9.4d               | 1P         |    |
Ga VI     |             103.7034   |    730 |           |      |    40.56261      -     52.51794     | 3d7.(2G).4s  | 1G   | 3d7.(2G).4p          | 3F*        |    |
Ga VI     |             103.7418   |    210 |           |      |    44.53071      -     56.48193     | 3d7.(2F).4s  | 1F   | 3d7.(2F).4p          | 3G*        |    |
Ga V      |             103.876    |     30 |           |      |    26.53         -     38.4682      | 3d8.(3F).4s  | 4F   | 3d8.(3F).4p          | 2F*        |    |
Ga VI     |             103.8800   |    170 |           |      |    40.59725      -     52.53257     | 3d7.(4P).4s  | 3P   | 3d7.(2P).4p          | 3P*        |    |
          |                        |        |           |      |                                     |              |      |                      |            |    |
Ga V      |             104.020    |      5 |           |      |    28.8843       -     40.8036      | 3d8.(1D).4s  | 2D   | 3d8.(3P).4p          | 4D*        |    |
Ga VI     |             104.2418   |    240 |           |      |    41.09682      -     52.99079     | 3d7.(2H).4s  | 3H   | 3d7.(2H).4p          | 3G*        |    |
Ga IV     |             104.2531   |     70 |           |      |    29.37266      -     41.26526     | 3d9.4p       | 3D*  | 3d9.4d               | 1P         |    |
Ga IV     |             104.3301   |      1 |           |      |    29.37266      -     41.25667     | 3d9.4p       | 3D*  | 3d9.4d               | 3P         |    |
Ga I      |             104.48     |      a |           |      |     0.000000     -     11.8668      | 3d10.4s2.4p  | 2P*  | 4s.4p.(3P*<2>).11p   | 2[2]       |    |
          |                        |        |           |      |                                     |              |      |                      |            |    |
Ga I      |             104.57     |     a* |           |      |     0.000000     -     11.8565      | 3d10.4s2.4p  | 2P*  | 4s.4p.(3P*<1>).16p   | 2[1]       |    |
Ga I      |             104.57     |     a* |           |      |     0.000000     -     11.8565      | 3d10.4s2.4p  | 2P*  | 4s.4p.(3P*<1>).16p   | 2[1]       |    |
Ga V      |             104.580    |     15 |           |      |    26.2997       -     38.1555      | 3d8.(3F).4s  | 4F   | 3d8.(3F).4p          | 4F*        |    |
Ga I      |             104.68     |     a* |           |      |     0.000000     -     11.8441      | 3d10.4s2.4p  | 2P*  | 4s.4p.(3P*<1>).15p   | 2[1]       |    |
Ga I      |             104.68     |     a* |           |      |     0.000000     -     11.8441      | 3d10.4s2.4p  | 2P*  | 4s.4p.(3P*<1>).15p   | 2[1]       |    |
          |                        |        |           |      |                                     |              |      |                      |            |    |
Ga V      |             104.750    |     30 |           |      |    30.0074       -     41.8435      | 3d8.(3P).4s  | 2P   | 3d8.(3P).4p          | 2S*        |    |
Ga VI     |             104.7701   |    170 |           |      |    40.59725      -     52.43123     | 3d7.(4P).4s  | 3P   | 3d7.(2P).4p          | 3P*        |    |
Ga I      |             104.797    |     a* |           |      |     0.000000     -     11.83089     | 3d10.4s2.4p  | 2P*  | 4s.4p.(3P*<1>).14p   | 2[1]       |    |
Ga I      |             104.797    |     a* |           |      |     0.000000     -     11.83089     | 3d10.4s2.4p  | 2P*  | 4s.4p.(3P*<1>).14p   | 2[1]       |    |
Ga IV     |             104.8565   |      3 |           |      |    29.44104      -     41.26526     | 3d9.4p       | 3D*  | 3d9.4d               | 1P         |    |
          |                        |        |           |      |                                     |              |      |                      |            |    |
Ga I      |             104.859    |      a |           |      |     0.000000     -     11.82390     | 3d10.4s2.4p  | 2P*  | 4s.4p.(3P*<2>).10p   | 2[2]       |    |
Ga IV     |             104.9316   |      7 |           |      |    29.44104      -     41.25667     | 3d9.4p       | 3D*  | 3d9.4d               | 3P         |    |
Ga I      |             104.99     |     a* |           |      |     0.000000     -     11.8091      | 3d10.4s2.4p  | 2P*  | 4s.4p.(3P*<0>).17p   | 2[1]       |    |
Ga I      |             104.99     |     a* |           |      |     0.000000     -     11.8091      | 3d10.4s2.4p  | 2P*  | 4s.4p.(3P*<0>).17p   | 2[1]       |    |
Ga I      |             104.993    |     a* |           |      |     0.000000     -     11.80880     | 3d10.4s2.4p  | 2P*  | 4s.4p.(3P*<1>).13p   | 2[1]       |    |
          |                        |        |           |      |                                     |              |      |                      |            |    |
Ga I      |             104.993    |     a* |           |      |     0.000000     -     11.80880     | 3d10.4s2.4p  | 2P*  | 4s.4p.(3P*<1>).13p   | 2[1]       |    |
Ga V      |             105.048    |    120 |           |      |    26.0431       -     37.8461      | 3d8.(3F).4s  | 4F   | 3d8.(3F).4p          | 4F*        |    |
Ga I      |             105.07     |     a* |           |      |     0.000000     -     11.8002      | 3d10.4s2.4p  | 2P*  | 4s.4p.(3P*<0>).16p   | 2[1]       |    |
Ga I      |             105.07     |     a* |           |      |     0.000000     -     11.8002      | 3d10.4s2.4p  | 2P*  | 4s.4p.(3P*<0>).16p   | 2[1]       |    |
Ga VI     |             105.1316   |     50 |           |      |    40.34546      -     52.13875     | 3d7.(2P).4s  | 3P   | 3d7.(4P).4p          | 5D*        |    |
          |                        |        |           |      |                                     |              |      |                      |            |    |
Ga I      |             105.169    |     a* |           |      |     0.000000     -     11.78905     | 3d10.4s2.4p  | 2P*  | 4s.4p.(3P*<1>).12p   | 2[1]       |    |
Ga I      |             105.169    |     a* |           |      |     0.000000     -     11.78905     | 3d10.4s2.4p  | 2P*  | 4s.4p.(3P*<0>).15p   | 2[1]       |    |
Ga I      |             105.169    |     a* |           |      |     0.000000     -     11.78905     | 3d10.4s2.4p  | 2P*  | 4s.4p.(3P*<0>).15p   | 2[1]       |    |
Ga I      |             105.169    |     a* |           |      |     0.000000     -     11.78905     | 3d10.4s2.4p  | 2P*  | 4s.4p.(3P*<1>).12p   | 2[1]       |    |
Ga IV     |             105.3307   |     15 |           |      |    28.99057      -     40.76150     | 3d9.4p       | 1D*  | 3d9.4d               | 3S         |    |
          |                        |        |           |      |                                     |              |      |                      |            |    |
Ga I      |             105.387    |     a* |           |      |     0.000000     -     11.76466     | 3d10.4s2.4p  | 2P*  | 4s.4p.(3P*<1>).11p   | 2[1]       |    |
