
--------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |             Observed  |   Rel. |    Aki    | Acc. |          Ei           Ek           |  Lower level   |         Upper level         |Type|
          |            Wavelength |   Int. |    s^-1   |      |         (eV)         (eV)          |----------------|-----------------------------|    |
          |             Vac (nm)  |        |           |      |                                    | Conf.   | Term | Conf.                | Term |    |
          |                       |        |           |      |                                    |         |      |                      |      |    |
Pb I      |             233.2418  |    150 |           |      |                                    |         |      |                      |      |    |
Pb IV     |             235.953   |     16 |           |      |                                    |         |      |                      |      |    |
Pb I      |             238.8797  |    180 |           |      |                                    |         |      |                      |      |    |
Pb I      |             239.3792  |   550r |           |      |    1.3204722    -      6.4982998   | 6s2.6p2 | 3P   | 6s2.6p.(2P*<1/2>).7d | 3F*  |    |
Pb I      |             239.9597  |    140 |           |      |                                    |         |      |                      |      |    |
          |                       |        |           |      |                                    |         |      |                      |      |    |
Pb I      |             240.1940  |   320r | 1.9e+07   |      |                                    |         |      |                      |      |    |
Pb I      |             241.1734  |   320r |           |      |                                    |         |      |                      |      |    |
Pb IV     |             241.761   |     16 |           |      |                                    |         |      |                      |      |    |
Pb V      |             242.481   |     15 |           |      |                                    |         |      |                      |      |    |
Pb I      |             244.3829  |   150r |           |      |                                    |         |      |                      |      |    |
          |                       |        |           |      |                                    |         |      |                      |      |    |
Pb I      |             244.6181  |   160r | 2.5e+07   |      |                                    |         |      |                      |      |    |
Pb I      |             247.6378  |   130r | 2.8e+07   |      |                                    |         |      |                      |      |    |
Pb II     |             252.669   |     8c |           |      |                                    |         |      |                      |      |    |
Pb II     |             257.660   |     8c |           |      |                                    |         |      |                      |      |    |
Pb I      |             257.7260  |    80r | 5.0e+07   |      |                                    |         |      |                      |      |    |
          |                       |        |           |      |                                    |         |      |                      |      |    |
Pb II     |             260.838   |     2c |           |      |                                    |         |      |                      |      |    |
Pb I      |             261.3655  |   500r | 2.7e+07   |      |                                    |         |      |                      |      |    |
Pb I      |             261.4175  |   900r | 1.9e+08   |      |    0.9694650    -      5.7108156   | 6s2.6p2 | 3P   | 6s2.6p.(2P*<1/2>).6d | 3D*  |    |
Pb I      |             262.8262  |    160 | 3.1e+06   |      |                                    |         |      |                      |      |    |
Pb II     |             263.4256  |      4 |           |      |                                    |         |      |                      |      |    |
          |                       |        |           |      |                                    |         |      |                      |      |    |
Pb I      |             265.7094  |     10 | 9.8e+04   |      |                                    |         |      |                      |      |    |
Pb I      |             266.3154  |    700 | 7.1e+07   |      |                                    |         |      |                      |      |    |
Pb I      |             269.7541  |     10 |           |      |                                    |         |      |                      |      |    |
Pb I      |             280.1995  | 25000r | 1.6e+08   |      |    1.3204722    -      5.7440224   | 6s2.6p2 | 3P   | 6s2.6p.(2P*<1/2>).6d | 3F*  |    |
Pb I      |             282.258   |    100 |           |      |                                    |         |      |                      |      |    |
          |                       |        |           |      |                                    |         |      |                      |      |    |
Pb I      |             282.3189  | 14000r | 2.6e+07   |      |                                    |         |      |                      |      |    |
Pb I      |             283.3053  | 35000r | 5.8e+07   |      |    0.000000     -      4.3750580   | 6s2.6p2 | 3P   | 6s2.6p.(2P*<1/2>).7s | 3P*  |    |
Pb II     |             284.0557  |      6 |           |      |                                    |         |      |                      |      |    |
Pb IV     |             286.424   |      4 |           |      |                                    |         |      |                      |      |    |
Pb IV     |             286.450   |      4 |           |      |                                    |         |      |                      |      |    |
          |                       |        |           |      |                                    |         |      |                      |      |    |
Pb I      |             287.3311  | 14000r | 3.7e+07   |      |                                    |         |      |                      |      |    |
Pb II     |             288.730   |     3c |           |      |                                    |         |      |                      |      |    |
Pb II     |             291.4442  |      3 |           |      |                                    |         |      |                      |      |    |
Pb II     |             294.743   |     2c |           |      |                                    |         |      |                      |      |    |
Pb II     |             294.853   |     3c |           |      |                                    |         |      |                      |      |    |
          |                       |        |           |      |                                    |         |      |                      |      |    |
Pb I      |             296.6460  |     15 |           |      |                                    |         |      |                      |      |    |
Pb I      |             297.2991  |     15 |           |      |                                    |         |      |                      |      |    |
Pb IV     |             297.814   |      4 |           |      |                                    |         |      |                      |      |    |
Pb I      |             298.0157  |     15 |           |      |                                    |         |      |                      |      |    |
Pb II     |             298.6876  |      4 |           |      |                                    |         |      |                      |      |    |
          |                       |        |           |      |                                    |         |      |                      |      |    |
Pb II     |             301.639   |    10c |           |      |                                    |         |      |                      |      |    |
Pb III    |             304.385   |     10 |           |      |                                    |         |      |                      |      |    |
Pb IV     |             305.256   |      4 |           |      |                                    |         |      |                      |      |    |
Pb III    |             308.908   |      4 |           |      |                                    |         |      |                      |      |    |
Pb III    |             310.274   |      4 |           |      |                                    |         |      |                      |      |    |
          |                       |        |           |      |                                    |         |      |                      |      |    |
