
----------------------------------------------------------------------------------------
Spectrum  |          Observed  |    Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
          |         Wavelength |    Int. |    s^-1   |      |  (eV)         (eV)  |    |
          |          Air (nm)  |         |           |      |                     |    |
----------------------------------------------------------------------------------------
Re I      |           305.878  |     200 |           |      |                     |    |
Re I      |           306.740  |    1600 |           |      |                     |    |
Re I      |           306.994  |     320 |           |      |                     |    |
Re I      |           307.116  |     260 |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re I      |           307.296  |     200 |           |      |                     |    |
Re I      |           308.243  |     550 |           |      |                     |    |
Re I      |           308.876  |     340 |           |      |                     |    |
Re I      |           309.364  |     200 |           |      |                     |    |
Re I      |           309.506  |     200 |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re I      |           310.067  |     700 |           |      |                     |    |
Re II     |           310.306  |     140 |           |      |                     |    |
Re I      |           310.881  |     700 |           |      |                     |    |
Re I      |           311.086  |     340 |           |      |                     |    |
Re I      |           311.819  |    340c |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re I      |           312.136  |     340 |           |      |                     |    |
Re I      |           312.894  |     420 |           |      |                     |    |
Re I      |           313.402  |     260 |           |      |                     |    |
Re I      |           314.138  |     250 |           |      |                     |    |
Re I      |           315.164  |     440 |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re I      |           315.379  |     330 |           |      |                     |    |
Re I      |           315.831  |    360c |           |      |                     |    |
Re I      |           316.452  |     220 |           |      |                     |    |
Re I      |           316.837  |     700 |           |      |                     |    |
Re I      |           317.461  |     220 |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re I      |           317.771  |     440 |           |      |                     |    |
Re I      |           317.861  |     260 |           |      |                     |    |
Re I      |           318.287  |     600 |           |      |                     |    |
Re I      |           318.476  |    1100 |           |      |                     |    |
Re I      |           318.557  |    1100 |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re I      |           319.078  |     260 |           |      |                     |    |
Re I      |           319.236  |     260 |           |      |                     |    |
Re I      |           319.450  |     200 |           |      |                     |    |
Re I      |           319.858  |     220 |           |      |                     |    |
Re I      |           320.425  |   1100c |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re I      |           323.594  |     380 |           |      |                     |    |
Re I      |           325.885  |     600 |           |      |                     |    |
Re I      |           325.955  |     600 |           |      |                     |    |
Re I      |           326.156  |     200 |           |      |                     |    |
Re I      |           326.889  |     300 |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re I      |           329.483  |     200 |           |      |                     |    |
Re I      |           329.670  |     280 |           |      |                     |    |
Re I      |           329.699  |     280 |           |      |                     |    |
Re I      |           330.160  |     280 |           |      |                     |    |
Re I      |           330.223  |     240 |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re II     |           330.321  |     320 |           |      |                     |    |
Re I      |           330.375  |     280 |           |      |                     |    |
Re I      |           331.395  |     240 |           |      |                     |    |
Re I      |           332.248  |     600 |           |      |                     |    |
Re I      |           333.152  |     200 |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re I      |           333.818  |    2000 |           |      |                     |    |
Re I      |           334.224  |    1600 |           |      |                     |    |
Re I      |           334.432  |     810 |           |      |                     |    |
Re I      |           334.620  |     320 |           |      |                     |    |
Re I      |           335.633  |   240bl |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re I      |           335.802  |     200 |           |      |                     |    |
Re I      |           336.274  |     200 |           |      |                     |    |
Re I      |           337.774  |     240 |           |      |                     |    |
Re II     |           337.906  |     320 |           |      |                     |    |
Re I      |           337.970  |     320 |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re I      |           338.576  |     200 |           |      |                     |    |
Re I      |           338.943  |     240 |           |      |                     |    |
Re I      |           339.025  |     200 |           |      |                     |    |
Re I      |           339.930  |    4000 |           |      |                     |    |
Re I      |           340.472  |     650 |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re I      |           340.589  |     650 |           |      |                     |    |
Re I      |           340.867  |     240 |           |      |                     |    |
Re I      |           340.983  |     320 |           |      |                     |    |
Re I      |           341.777  |     320 |           |      |                     |    |
Re I      |           341.941  |     810 |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re I      |           342.462  |    8000 |           |      |                     |    |
Re I      |           342.619  |     400 |           |      |                     |    |
Re I      |           342.761  |     300 |           |      |                     |    |
Re I      |           343.771  |     320 |           |      |                     |    |
Re I      |           344.937  |     400 |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re I      |           345.188  |  16000c |           |      |                     |    |
Re I      |           345.350  |     240 |           |      |                     |    |
Re I      |           346.046  |  55000c |           |      |                     |    |
Re I      |           346.473  |  40000c |           |      |                     |    |
Re I      |           346.796  |     400 |           |      |                     |    |
