
----------------------------------------------------------------------------------------
Spectrum  |            Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
          |           Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
          |            Vac (nm)  |       |           |      |                     |    |
----------------------------------------------------------------------------------------
          |                      |       |           |      |                     |    |
Y I       |           447.38756  |    25 |           |      |                     |    |
Y I       |           447.5721   |   125 |           |      |                     |    |
Y I       |           447.6951   |    70 | 2.8e+07   |      |                     |    |
Y I       |           447.74424  |    70 |           |      |                     |    |
          |                      |       |           |      |                     |    |
Y I       |           448.7279   |   100 |           |      |                     |    |
Y I       |           448.7460   |   100 |           |      |                     |    |
Y I       |           449.1740   |   175 | 2.3e+06   |      |                     |    |
Y I       |           449.24181  |   175 |           |      |                     |    |
Y I       |           450.5948   |   100 |           |      |                     |    |
          |                      |       |           |      |                     |    |
Y I       |           451.35745  |   125 |           |      |                     |    |
Y I       |           451.4007   |   150 | 3.34e+07  |      |                     |    |
Y I       |           452.2029   |   100 |           |      |                     |    |
Y I       |           452.7239   |    60 |           |      |                     |    |
Y I       |           452.7783   |    20 | 8.33e+07  |      |                     |    |
          |                      |       |           |      |                     |    |
Y I       |           453.40869  |    80 | 4.4e+06   |      |                     |    |
Y I       |           454.43060  |   150 | 4.10e+07  |      |                     |    |
Y I       |           455.9362   |   150 | 4.0e+07   |      |                     |    |
Y I       |           456.43913  |   125 |           |      |                     |    |
Y I       |           457.3537   |   250 |           |      |                     |    |
          |                      |       |           |      |                     |    |
Y I       |           458.1325   |  2000 | 1.5e+07   |      |                     |    |
Y I       |           458.1771   |  1000 |           |      |                     |    |
Y I       |           459.6528   |  1500 |           |      |                     |    |
Y I       |           460.4793   |   650 |           |      |                     |    |
Y I       |           461.2991   |   500 | 1.8e+07   |      |                     |    |
          |                      |       |           |      |                     |    |
Y I       |           464.3698   |    30 | 1.8e+07   |      |                     |    |
Y I       |           465.37843  |   400 | 1.6e+07   |      |                     |    |
Y I       |           465.8319   |   300 |           |      |                     |    |
Y I       |           465.8882   |   175 |           |      |                     |    |
Y I       |           466.74730  |   250 |           |      |                     |    |
          |                      |       |           |      |                     |    |
Y I       |           467.0852   |   200 |           |      |                     |    |
Y I       |           467.4848   |  5000 | 1.3e+07   |      |                     |    |
Y I       |           467.8357   |   175 |           |      |                     |    |
Y II      |           468.232    |   260 | 1.9e+06   |      |                     |    |
Y I       |           468.9767   |    35 |           |      |                     |    |
          |                      |       |           |      |                     |    |
Y I       |           469.6799   |   800 |           |      |                     |    |
Y I       |           470.8851   |   100 |           |      |                     |    |
Y I       |           472.58417  |   250 | 1.5e+07   |      |                     |    |
Y I       |           472.85140  |   400 |           |      |                     |    |
