
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |           Observed  |   Rel. |    Aki    | Acc. |         Ei           Ek         |           Lower level            |           Upper level            |Type|
          |          Wavelength |   Int. |    s^-1   |      |        (eV)         (eV)        |----------------------------------|----------------------------------|    |
          |           Vac (nm)  |        |           |      |                                 | Conf.                    | Term  | Conf.                    | Term  |    |
Co I      |           352.157   |   2700 | 1.8e+07   | C+   |    0.431815    -     3.951519   | 3p6.3d8.(3F).4s          | b 4F  | 3p6.3d7.(4F).4s.4p.(3P*) | z 2F* |    |
Co I      |           352.343   |   3800 | 9.8e+07   | D    |    0.629323    -     4.147170   | 3p6.3d8.(3F).4s          | b 4F  | 3p6.3d8.(3F).4p          | y 4D* |    |
Co III    |           352.624   |      2 |           |      |                                 |                          |       |                          |       |    |
Co I      |           352.685   |   6400 | 1.3e+07   | C    |    0.00000     -     3.514439   | 3p6.3d7.4s2              | a 4F  | 3p6.3d7.(4F).4s.4p.(3P*) | z 4F* |    |
          |                     |        |           |      |                                 |                          |       |                          |       |    |
Co I      |           352.903   |   2700 | 8.8e+06   | D    |    0.174426    -     3.686692   | 3p6.3d7.4s2              | a 4F  | 3p6.3d7.(4F).4s.4p.(3P*) | z 4G* |    |
Co I      |           352.981   |   7300 | 4.6e+07   | C+   |    0.513624    -     4.025113   | 3p6.3d8.(3F).4s          | b 4F  | 3p6.3d8.(3F).4p          | y 4G* |    |
Co I      |           353.336   |   1900 | 9.1e+06   | D    |    0.224328    -     3.732291   | 3p6.3d7.4s2              | a 4F  | 3p6.3d7.(4F).4s.4p.(3P*) | z 4G* |    |
Co I      |           356.089   |   1100 | 2.3e+07   | C    |    0.629323    -     4.110160   | 3p6.3d8.(3F).4s          | b 4F  | 3p6.3d8.(3F).4p          | y 4D* |    |
Co I      |           356.938   |   8800 | 1.5e+08   | C    |    0.922741    -     4.395309   | 3p6.3d8.(3F).4s          | a 2F  | 3p6.3d8.(3F).4p          | y 2F* |    |
          |                     |        |           |      |                                 |                          |       |                          |       |    |
Co I      |           357.496   |   1600 | 1.5e+07   | C+   |    0.581508    -     4.048642   | 3p6.3d8.(3F).4s          | b 4F  | 3p6.3d8.(3F).4p          | y 4D* |    |
Co I      |           357.536   |   2500 | 9.6e+06   | C    |    0.101171    -     3.567927   | 3p6.3d7.4s2              | a 4F  | 3p6.3d7.(4F).4s.4p.(3P*) | z 4F* |    |
Co I      |           358.516   |   1000 | 7.1e+06   | C+   |    0.513624    -     3.970904   | 3p6.3d8.(3F).4s          | b 4F  | 3p6.3d8.(3F).4p          | y 4D* |    |
