
------------------------------------------------------------------------------------------------------------------------------------------------------------------------
               Observed  |   Rel. |    Aki    | Acc. |            Ei           Ek            |           Lower level           |           Upper level            |Type|
              Wavelength |   Int. |    s^-1   |      |           (eV)         (eV)           |---------------------------------|----------------------------------|    |
               Air (nm)  |        |           |      |                                       | Conf.                 | Term    | Conf.                  | Term    |    |
              267.5275   |   2000 |           |      |    16.67082620    -     21.3038960    | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2s2.2p5.(2P*<1/2>).7p  | 2[3/2]  |    |
              267.564    |   2000 |           |      |    16.67082620    -     21.3032409    | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2s2.2p5.(2P*<1/2>).7p  | 2[3/2]  |    |
                         |        |           |      |                                       |                       |         |                        |         |    |
              267.7020   |     10 |           |      |    16.67082620    -     21.30088      | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2s2.2p5.(2P*<3/2>).8p  | 2[3/2]  |    |
              267.7389   |    150 |           |      |    16.67082620    -     21.3002381    | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2s2.2p5.(2P*<3/2>).8p  | 2[3/2]  |    |
              267.787    |     20 |           |      |    16.67082620    -     21.29944      | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2s2.2p5.(2P*<3/2>).8p  | 2[5/2]  |    |
              268.0685   |     10 |           |      |    16.67082620    -     21.294563     | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2s2.2p5.(2P*<3/2>).8p  | 2[1/2]  |    |
              268.6742   |    150 |           |      |    16.84805295    -     21.4613499    | 2s2.2p5.(2P*<1/2>).3s | 2[1/2]* | 2s2.2p5.(2P*<1/2>).9p  | 2[1/2]  |    |
                         |        |           |      |                                       |                       |         |                        |         |    |
              270.0555   |     80 |           |      |    16.61906936    -     21.208760     | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2s2.2p5.(2P*<3/2>).7p  | 2[3/2]  |    |
              270.0681   |     20 |           |      |    16.61906936    -     21.20849      | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2s2.2p5.(2P*<3/2>).7p  | 2[3/2]  |    |
              270.1639   |     20 |           |      |    16.71538035    -     21.3032409    | 2s2.2p5.(2P*<1/2>).3s | 2[1/2]* | 2s2.2p5.(2P*<1/2>).7p  | 2[3/2]  |    |
              270.1766   |     20 |           |      |    16.61906936    -     21.206714     | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2s2.2p5.(2P*<3/2>).7p  | 2[5/2]  |    |
              270.2560   |     30 |           |      |    16.61906936    -     21.2053663    | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2s2.2p5.(2P*<3/2>).7p  | 2[5/2]  |    |
                         |        |           |      |                                       |                       |         |                        |         |    |
              270.432    |     20 |           |      |    16.61906936    -     21.202439     | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2s2.2p5.(2P*<3/2>).7p  | 2[1/2]  |    |
              270.674    |     30 |           |      |    16.71538035    -     21.294563     | 2s2.2p5.(2P*<1/2>).3s | 2[1/2]* | 2s2.2p5.(2P*<3/2>).8p  | 2[1/2]  |    |
              272.4772   |     30 |           |      |    16.67082620    -     21.2197397    | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2s2.2p5.(2P*<3/2>).7p  | 2[1/2]  |    |
              273.1358   |     30 |           |      |    16.67082620    -     21.208760     | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2s2.2p5.(2P*<3/2>).7p  | 2[3/2]  |    |
              273.1528   |     30 |           |      |    16.67082620    -     21.20849      | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2s2.2p5.(2P*<3/2>).7p  | 2[3/2]  |    |
                         |        |           |      |                                       |                       |         |                        |         |    |
              273.261    |     10 |           |      |    16.67082620    -     21.206714     | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2s2.2p5.(2P*<3/2>).7p  | 2[5/2]  |    |
              273.4755   |     20 |           |      |    16.61906936    -     21.15135646   | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2s2.2p5.(2P*<1/2>).6p  | 2[3/2]  |    |
              273.5168   |     30 |           |      |    16.67082620    -     21.202439     | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2s2.2p5.(2P*<3/2>).7p  | 2[1/2]  |    |
              273.569    |     80 |           |      |    16.61906936    -     21.149856     | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2s2.2p5.(2P*<1/2>).6p  | 2[3/2]  |    |
              273.6174   |     50 |           |      |    16.61906936    -     21.14901911   | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2s2.2p5.(2P*<1/2>).6p  | 2[1/2]  |    |
                         |        |           |      |                                       |                       |         |                        |         |    |
              274.353    |    150 |           |      |    16.84805295    -     21.3658684    | 2s2.2p5.(2P*<1/2>).3s | 2[1/2]* | 2s2.2p5.(2P*<3/2>).9p  | 2[1/2]  |    |
              275.582    |   150* |           |      |    16.61906936    -     21.11670995   | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2s2.2p5.(2P*<1/2>).5f  | 2[5/2]  |    |
              275.582    |   150* |           |      |    16.61906936    -     21.11670836   | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2s2.2p5.(2P*<1/2>).5f  | 2[5/2]  |    |
              275.864    |     30 |           |      |    16.71538035    -     21.20849      | 2s2.2p5.(2P*<1/2>).3s | 2[1/2]* | 2s2.2p5.(2P*<3/2>).7p  | 2[3/2]  |    |
              275.9323   |     20 |           |      |    16.67082620    -     21.16278424   | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2s2.2p5.(2P*<1/2>).6p  | 2[1/2]  |    |
                         |        |           |      |                                       |                       |         |                        |         |    |
              276.2324   |     30 |           |      |    16.71538035    -     21.202439     | 2s2.2p5.(2P*<1/2>).3s | 2[1/2]* | 2s2.2p5.(2P*<3/2>).7p  | 2[1/2]  |    |
              276.6364   |     30 |           |      |    16.67082620    -     21.15135646   | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2s2.2p5.(2P*<1/2>).6p  | 2[3/2]  |    |
              276.728    |     30 |           |      |    16.67082620    -     21.149856     | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2s2.2p5.(2P*<1/2>).6p  | 2[3/2]  |    |
              276.777    |     20 |           |      |    16.67082620    -     21.14901911   | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2s2.2p5.(2P*<1/2>).6p  | 2[1/2]  |    |
              277.50515  |     50 |           |      |    16.84805295    -     21.314550     | 2s2.2p5.(2P*<1/2>).3s | 2[1/2]* | 2s2.2p5.(2P*<1/2>).7p  | 2[1/2]  |    |
                         |        |           |      |                                       |                       |         |                        |         |    |
              278.142    |    30* |           |      |    16.84805295    -     21.30427      | 2s2.2p5.(2P*<1/2>).3s | 2[1/2]* | 2s2.2p5.(2P*<1/2>).7p  | 2[1/2]  |    |
              278.142    |    30* |           |      |    16.84805295    -     21.30433      | 2s2.2p5.(2P*<1/2>).3s | 2[1/2]* | 2s2.2p5.(2P*<3/2>).8p  | 2[1/2]  |    |
              278.168    |     30 |           |      |    16.84805295    -     21.3038960    | 2s2.2p5.(2P*<1/2>).3s | 2[1/2]* | 2s2.2p5.(2P*<1/2>).7p  | 2[3/2]  |    |
              278.207    |     20 |           |      |    16.84805295    -     21.3032409    | 2s2.2p5.(2P*<1/2>).3s | 2[1/2]* | 2s2.2p5.(2P*<1/2>).7p  | 2[3/2]  |    |
              279.23208  |    200 |           |      |    16.61906936    -     21.05794615   | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2s2.2p5.(2P*<3/2>).6p  | 2[3/2]  |    |
                         |        |           |      |                                       |                       |         |                        |         |    |
              279.2660   |     30 |           |      |    16.61906936    -     21.05740815   | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2s2.2p5.(2P*<3/2>).6p  | 2[3/2]  |    |
              279.4597   |     50 |           |      |    16.61906936    -     21.0543314    | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2s2.2p5.(2P*<3/2>).6p  | 2[5/2]  |    |
              279.5092   |    350 |           |      |    16.71538035    -     21.149856     | 2s2.2p5.(2P*<1/2>).3s | 2[1/2]* | 2s2.2p5.(2P*<1/2>).6p  | 2[3/2]  |    |
              279.5613   |     10 |           |      |    16.71538035    -     21.14901911   | 2s2.2p5.(2P*<1/2>).3s | 2[1/2]* | 2s2.2p5.(2P*<1/2>).6p  | 2[1/2]  |    |
              279.59619  |     80 |           |      |    16.61906936    -     21.05216745   | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2s2.2p5.(2P*<3/2>).6p  | 2[5/2]  |    |
                         |        |           |      |                                       |                       |         |                        |         |    |
              279.980    |     20 |           |      |    16.61906936    -     21.04608644   | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2s2.2p5.(2P*<3/2>).6p  | 2[1/2]  |    |
              281.46921  |    200 |           |      |    16.67082620    -     21.07442522   | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2s2.2p5.(2P*<3/2>).6p  | 2[1/2]  |    |
              282.5259   |    100 |           |      |    16.67082620    -     21.05794615   | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2s2.2p5.(2P*<3/2>).6p  | 2[3/2]  |    |
              282.5613   |     80 |           |      |    16.67082620    -     21.05740815   | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2s2.2p5.(2P*<3/2>).6p  | 2[3/2]  |    |
              282.7589   |     30 |           |      |    16.67082620    -     21.0543314    | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2s2.2p5.(2P*<3/2>).6p  | 2[5/2]  |    |
                         |        |           |      |                                       |                       |         |                        |         |    |
              283.29226  |     80 |           |      |    16.67082620    -     21.04608644   | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2s2.2p5.(2P*<3/2>).6p  | 2[1/2]  |    |
              283.52395  |    150 |           |      |    16.84805295    -     21.2197397    | 2s2.2p5.(2P*<1/2>).3s | 2[1/2]* | 2s2.2p5.(2P*<3/2>).7p  | 2[1/2]  |    |
              284.257    |    150 |           |      |    16.84805295    -     21.20849      | 2s2.2p5.(2P*<1/2>).3s | 2[1/2]* | 2s2.2p5.(2P*<3/2>).7p  | 2[3/2]  |    |
              284.37     |     10 |           |      |    16.84805295    -     21.206714     | 2s2.2p5.(2P*<1/2>).3s | 2[1/2]* | 2s2.2p5.(2P*<3/2>).7p  | 2[5/2]  |    |
              284.6490   |     20 |           |      |    16.84805295    -     21.202439     | 2s2.2p5.(2P*<1/2>).3s | 2[1/2]* | 2s2.2p5.(2P*<3/2>).7p  | 2[1/2]  |    |
                         |        |           |      |                                       |                       |         |                        |         |    |
              285.4606   |     10 |           |      |    16.71538035    -     21.05740815   | 2s2.2p5.(2P*<1/2>).3s | 2[1/2]* | 2s2.2p5.(2P*<3/2>).6p  | 2[3/2]  |    |
              286.2070   |     80 |           |      |    16.71538035    -     21.04608644   | 2s2.2p5.(2P*<1/2>).3s | 2[1/2]* | 2s2.2p5.(2P*<3/2>).6p  | 2[1/2]  |    |
              287.26628  |    350 |           |      |    16.84805295    -     21.16278424   | 2s2.2p5.(2P*<1/2>).3s | 2[1/2]* | 2s2.2p5.(2P*<1/2>).6p  | 2[1/2]  |    |
              288.0290   |     30 |           |      |    16.84805295    -     21.15135646   | 2s2.2p5.(2P*<1/2>).3s | 2[1/2]* | 2s2.2p5.(2P*<1/2>).6p  | 2[3/2]  |    |
              288.1279   |     10 |           |      |    16.84805295    -     21.149856     | 2s2.2p5.(2P*<1/2>).3s | 2[1/2]* | 2s2.2p5.(2P*<1/2>).6p  | 2[3/2]  |    |
                         |        |           |      |                                       |                       |         |                        |         |    |
              288.1852   |     20 |           |      |    16.84805295    -     21.14901911   | 2s2.2p5.(2P*<1/2>).3s | 2[1/2]* | 2s2.2p5.(2P*<1/2>).6p  | 2[1/2]  |    |
              291.14705  |    250 |           |      |    16.61906936    -     20.87629864   | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2s2.2p5.(2P*<1/2>).5p  | 2[3/2]  |    |
              291.31735  |   2000 |           |      |    16.61906936    -     20.87380766   | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2s2.2p5.(2P*<1/2>).5p  | 2[1/2]  |    |
              291.3417   |     20 |           |      |    16.61906936    -     20.87341564   | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2s2.2p5.(2P*<1/2>).5p  | 2[3/2]  |    |
              292.93257  |    150 |           |      |    16.67082620    -     20.90210212   | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2s2.2p5.(2P*<1/2>).5p  | 2[1/2]  |    |
                         |        |           |      |                                       |                       |         |                        |         |    |
              293.27252  |   1000 |           |      |    16.84805295    -     21.07442522   | 2s2.2p5.(2P*<1/2>).3s | 2[1/2]* | 2s2.2p5.(2P*<3/2>).6p  | 2[1/2]  |    |
              294.4575   |     20 |           |      |    16.84805295    -     21.05740815   | 2s2.2p5.(2P*<1/2>).3s | 2[1/2]* | 2s2.2p5.(2P*<3/2>).6p  | 2[3/2]  |    |
              294.6732   |     20 |           |      |    16.84805295    -     21.0543314    | 2s2.2p5.(2P*<1/2>).3s | 2[1/2]* | 2s2.2p5.(2P*<3/2>).6p  | 2[5/2]  |    |
              294.73010  |   2000 |           |      |    16.67082620    -     20.87629864   | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2s2.2p5.(2P*<1/2>).5p  | 2[3/2]  |    |
              294.90497  |    100 |           |      |    16.67082620    -     20.87380766   | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2s2.2p5.(2P*<1/2>).5p  | 2[1/2]  |    |
                         |        |           |      |                                       |                       |         |                        |         |    |
              294.93218  |    150 |           |      |    16.67082620    -     20.87341564   | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2s2.2p5.(2P*<1/2>).5p  | 2[3/2]  |    |
              295.2527   |     50 |           |      |    16.84805295    -     21.04608644   | 2s2.2p5.(2P*<1/2>).3s | 2[1/2]* | 2s2.2p5.(2P*<3/2>).6p  | 2[1/2]  |    |
              295.7293   |    80* |           |      |    16.61906936    -     20.81033584   | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2s2.2p5.(2P*<1/2>).4f  | 2[5/2]  |    |
              295.7293   |    80* |           |      |    16.61906936    -     20.81033440   | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2s2.2p5.(2P*<1/2>).4f  | 2[5/2]  |    |
              297.47189  |   3000 |           |      |    16.61906936    -     20.78578112   | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2s2.2p5.(2P*<3/2>).5p  | 2[3/2]  |    |
                         |        |           |      |                                       |                       |         |                        |         |    |
              297.55233  |    350 |           |      |    16.61906936    -     20.78465677   | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2s2.2p5.(2P*<3/2>).5p  | 2[3/2]  |    |
              297.98086  |    500 |           |      |    16.61906936    -     20.77866384   | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2s2.2p5.(2P*<3/2>).5p  | 2[5/2]  |    |
              298.06453  |    400 |           |      |    16.71538035    -     20.87380766   | 2s2.2p5.(2P*<1/2>).3s | 2[1/2]* | 2s2.2p5.(2P*<1/2>).5p  | 2[1/2]  |    |
              298.09252  |    500 |           |      |    16.71538035    -     20.87341564   | 2s2.2p5.(2P*<1/2>).3s | 2[1/2]* | 2s2.2p5.(2P*<1/2>).5p  | 2[3/2]  |    |
              298.26696  |   3000 |           |      |    16.61906936    -     20.77467525   | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2s2.2p5.(2P*<3/2>).5p  | 2[5/2]  |    |
                         |        |           |      |                                       |                       |         |                        |         |    |
              299.24296  |   2000 |           |      |    16.67082620    -     20.81287859   | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2s2.2p5.(2P*<3/2>).5p  | 2[1/2]  |    |
              299.4250   |     30 |           |      |    16.67082620    -     20.81033584   | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2s2.2p5.(2P*<1/2>).4f  | 2[5/2]  |    |
              301.21354  |    500 |           |      |    16.67082620    -     20.78578112   | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2s2.2p5.(2P*<3/2>).5p  | 2[3/2]  |    |
              301.29576  |    500 |           |      |    16.67082620    -     20.78465677   | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2s2.2p5.(2P*<3/2>).5p  | 2[3/2]  |    |
              301.73547  |    500 |           |      |    16.67082620    -     20.77866384   | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2s2.2p5.(2P*<3/2>).5p  | 2[5/2]  |    |
                         |        |           |      |                                       |                       |         |                        |         |    |
              302.6913   |   150* |           |      |    16.61906936    -     20.71392495   | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2s2.2p5.(2P*<3/2>).4f  | 2[5/2]  |    |
              302.6913   |   150* |           |      |    16.61906936    -     20.71392319   | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2s2.2p5.(2P*<3/2>).4f  | 2[5/2]  |    |
              302.8424   |    30* |           |      |    16.61906936    -     20.71188991   | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2s2.2p5.(2P*<3/2>).4f  | 2[3/2]  |    |
              302.8424   |    30* |           |      |    16.61906936    -     20.71188695   | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2s2.2p5.(2P*<3/2>).4f  | 2[3/2]  |    |
              303.03235  |    500 |           |      |    16.67082620    -     20.76108738   | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2s2.2p5.(2P*<3/2>).5p  | 2[1/2]  |    |
                         |        |           |      |                                       |                       |         |                        |         |    |
              304.59471  |     70 |           |      |    16.71538035    -     20.78465677   | 2s2.2p5.(2P*<1/2>).3s | 2[1/2]* | 2s2.2p5.(2P*<3/2>).5p  | 2[3/2]  |    |
              305.73907  |   3000 |           |      |    16.84805295    -     20.90210212   | 2s2.2p5.(2P*<1/2>).3s | 2[1/2]* | 2s2.2p5.(2P*<1/2>).5p  | 2[1/2]  |    |
              306.36952  |   2000 |           |      |    16.71538035    -     20.76108738   | 2s2.2p5.(2P*<1/2>).3s | 2[1/2]* | 2s2.2p5.(2P*<3/2>).5p  | 2[1/2]  |    |
              306.5668   |     50 |           |      |    16.67082620    -     20.71392495   | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2s2.2p5.(2P*<3/2>).4f  | 2[5/2]  |    |
              306.7214   |   250* |           |      |    16.67082620    -     20.71188991   | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2s2.2p5.(2P*<3/2>).4f  | 2[3/2]  |    |
                         |        |           |      |                                       |                       |         |                        |         |    |
