
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |            Observed  |  Rel. |    Aki    | Acc. |          Ei           Ek           |     Lower level      |              Upper level              |Type|
          |           Wavelength |  Int. |    s^-1   |      |         (eV)         (eV)          |----------------------|---------------------------------------|    |
          |            Vac (nm)  |       |           |      |                                    | Conf.   | Term       | Conf.                    | Term       |    |
Au III    |             180.524  |   400 |           |      |                                    |         |            |                          |            |    |
Au III    |             180.981  |   100 |           |      |                                    |         |            |                          |            |    |
          |                      |       |           |      |                                    |         |            |                          |            |    |
Au III    |             182.117  |   400 |           |      |                                    |         |            |                          |            |    |
Au II     |             182.324  |    25 |           |      |                                    |         |            |                          |            |    |
Au III    |             184.489  |   400 |           |      |                                    |         |            |                          |            |    |
Au III    |             184.883  |   150 |           |      |                                    |         |            |                          |            |    |
Au III    |             185.015  |    80 |           |      |                                    |         |            |                          |            |    |
          |                      |       |           |      |                                    |         |            |                          |            |    |
Au III    |             186.180  |   500 |           |      |                                    |         |            |                          |            |    |
Au III    |             187.192  |   150 |           |      |                                    |         |            |                          |            |    |
Au I      |             187.983  |   100 |           |      |                                    |         |            |                          |            |    |
Au III    |             191.828  |   150 |           |      |                                    |         |            |                          |            |    |
Au I      |             191.964  |    20 |           |      |                                    |         |            |                          |            |    |
          |                      |       |           |      |                                    |         |            |                          |            |    |
Au II     |             192.164  |    20 |           |      |                                    |         |            |                          |            |    |
Au III    |             193.204  |   100 |           |      |                                    |         |            |                          |            |    |
Au III    |             193.542  |   100 |           |      |                                    |         |            |                          |            |    |
Au I      |             194.231  |    45 |           |      |                                    |         |            |                          |            |    |
Au III    |             194.879  |   200 |           |      |                                    |         |            |                          |            |    |
          |                      |       |           |      |                                    |         |            |                          |            |    |
Au I      |             195.193  |    25 |           |      |                                    |         |            |                          |            |    |
Au III    |             195.847  |   100 |           |      |                                    |         |            |                          |            |    |
Au I      |             197.819  |    30 |           |      |                                    |         |            |                          |            |    |
Au III    |             198.963  |   400 |           |      |                                    |         |            |                          |            |    |
Au III    |             199.685  |   150 |           |      |                                    |         |            |                          |            |    |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |            Observed  |  Rel. |    Aki    | Acc. |          Ei           Ek           |     Lower level      |              Upper level              |Type|
          |           Wavelength |  Int. |    s^-1   |      |         (eV)         (eV)          |----------------------|---------------------------------------|    |
          |            Air (nm)  |       |           |      |                                    | Conf.   | Term       | Conf.                    | Term       |    |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                      |       |           |      |                                    |         |            |                          |            |    |
Au II     |             200.081  |    25 |           |      |                                    |         |            |                          |            |    |
Au I      |             201.205  | 11000 |           |      |    1.1358411    -      7.2959012   | 5d9.6s2 | 2D         | 5d9<3/2>.6s<1/2>.6p<1/2> | 2P*        |    |
Au I      |             202.139  |  2600 |           |      |    1.1358411    -      7.2675522   | 5d9.6s2 | 2D         | 5d9<3/2>.6s<1/2>.6p<1/2> | 2F*        |    |
Au II     |             204.454  |    50 |           |      |                                    |         |            |                          |            |    |
Au II     |             208.209  |   150 |           |      |    1.8646692    -      7.8176147   | 5d9.6s  | 3D         | 5d9.6p                   | (5/2,1/2)* |    |
          |                      |       |           |      |                                    |         |            |                          |            |    |
Au III    |             208.309  |   300 |           |      |                                    |         |            |                          |            |    |
Au III    |             208.545  |    80 |           |      |                                    |         |            |                          |            |    |
Au II     |             209.513  |    35 |           |      |                                    |         |            |                          |            |    |
Au II     |             209.814  |    20 |           |      |                                    |         |            |                          |            |    |
Au II     |             211.068  |    60 |           |      |    2.1871575    -      8.0594181   | 5d9.6s  | 3D         | 5d9.6p                   | (5/2,1/2)* |    |
          |                      |       |           |      |                                    |         |            |                          |            |    |
Au II     |             212.529  |    30 |           |      |                                    |         |            |                          |            |    |
Au I      |             212.663  |    15 |           |      |                                    |         |            |                          |            |    |
Au III    |             215.908  |   100 |           |      |                                    |         |            |                          |            |    |
Au III    |             216.733  |    80 |           |      |                                    |         |            |                          |            |    |
Au I      |             217.075  |    20 |           |      |                                    |         |            |                          |            |    |
          |                      |       |           |      |                                    |         |            |                          |            |    |
Au III    |             217.220  |   200 |           |      |                                    |         |            |                          |            |    |
Au III    |             218.411  |   100 |           |      |                                    |         |            |                          |            |    |
Au II     |             218.881  |    35 |           |      |                                    |         |            |                          |            |    |
Au III    |             218.897  |   500 |           |      |                                    |         |            |                          |            |    |
Au II     |             220.132  |    25 |           |      |                                    |         |            |                          |            |    |
          |                      |       |           |      |                                    |         |            |                          |            |    |
Au II     |             221.563  |    35 |           |      |                                    |         |            |                          |            |    |
Au II     |             222.888  |    45 |           |      |                                    |         |            |                          |            |    |
Au II     |             223.118  |    30 |           |      |                                    |         |            |                          |            |    |
Au II     |             224.016  |    25 |           |      |                                    |         |            |                          |            |    |
Au II     |             224.856  |    70 |           |      |                                    |         |            |                          |            |    |
          |                      |       |           |      |                                    |         |            |                          |            |    |
Au II     |             226.362  |    80 |           |      |    9.5045910    -     14.9801331   | 5d9.6p  | (3/2,1/2)* | 5d9.7s                   | (3/2,1/2)  |    |
Au II     |             226.388  |    18 |           |      |                                    |         |            |                          |            |    |
Au II     |             227.752  |    25 |           |      |                                    |         |            |                          |            |    |
Au II     |             228.330  |    25 |           |      |                                    |         |            |                          |            |    |
Au II     |             229.140  |    25 |           |      |                                    |         |            |                          |            |    |
          |                      |       |           |      |                                    |         |            |                          |            |    |
Au II     |             230.469  |    45 |           |      |                                    |         |            |                          |            |    |
Au II     |             231.455  |    25 |           |      |                                    |         |            |                          |            |    |
Au II     |             231.575  |    20 |           |      |                                    |         |            |                          |            |    |
Au III    |             232.227  |   300 |           |      |                                    |         |            |                          |            |    |
Au II     |             234.006  |    25 |           |      |                                    |         |            |                          |            |    |
          |                      |       |           |      |                                    |         |            |                          |            |    |
Au I      |             235.258  |   180 |           |      |                                    |         |            |                          |            |    |
Au I      |             237.628  |    20 |           |      |                                    |         |            |                          |            |    |
Au III    |             238.240  |   100 |           |      |                                    |         |            |                          |            |    |
Au I      |             238.775  |   120 |           |      |                                    |         |            |                          |            |    |
Au III    |             240.271  |   150 |           |      |                                    |         |            |                          |            |    |
          |                      |       |           |      |                                    |         |            |                          |            |    |
Au III    |             240.512  |   150 |           |      |                                    |         |            |                          |            |    |
Au I      |             242.795  |  2600 | 1.99e+08  |      |    0.000000     -      5.1050012   | 5d10.6s | 2S         | 5d10.6p                  | 2P*        |    |
