
--------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                     Observed  |  Rel. |     Aki    | Acc. |                Ei           Ek                  |  Lower level  |  Upper level  |Type|
          |                    Wavelength |  Int. |     s^-1   |      |               (eV)         (eV)                 |---------------|---------------|    |
          |                     Air (nm)  |       |            |      |                                                 | Conf.  | Term | Conf.  | Term |    |
He I      |                358.7270       |    1* | 5.0298e+04 | AAA  |   [20.96408629014]    -    [24.419335035154]    | 1s.2p  | 3P*  | 1s.9d  | 3D   |    |
He I      |                358.7270       |    1* | 4.5265e+05 | AAA  |   [20.96408629014]    -    [24.419334834677]    | 1s.2p  | 3P*  | 1s.9d  | 3D   |    |
He I      |                358.7270       |    1* | 1.8107e+06 | AAA  |   [20.96408629014]    -    [24.419334820454]    | 1s.2p  | 3P*  | 1s.9d  | 3D   |    |
He I      |                358.7270       |    1* | 7.5448e+05 | AAA  |   [20.96409576568]    -    [24.419335035154]    | 1s.2p  | 3P*  | 1s.9d  | 3D   |    |
          |                               |       |            |      |                                                 |        |      |        |      |    |
He I      |                358.7270       |    1* | 1.3580e+06 | AAA  |   [20.96409576568]    -    [24.419334834677]    | 1s.2p  | 3P*  | 1s.9d  | 3D   |    |
He I      |                361.3643       |     3 | 3.8022e+06 | AAA  |   [20.6157742320]     -    [24.0457996783]      | 1s.2s  | 1S   | 1s.5p  | 1P*  |    |
He I      |                365.1990       |    1* | 5.4136e+05 | AAA  |   [20.96408629014]    -    [24.35810340216]     | 1s.2p  | 3P*  | 1s.8s  | 3S   |    |
He I      |                365.1990       |    1* | 3.2481e+05 | AAA  |   [20.96409576568]    -    [24.35810340216]     | 1s.2p  | 3P*  | 1s.8s  | 3S   |    |
He I      |                370.5005       |    3* | 1.0980e+05 | AAA  |   [20.96408629014]    -    [24.309540613738]    | 1s.2p  | 3P*  | 1s.7d  | 3D   |    |
          |                               |       |            |      |                                                 |        |      |        |      |    |
He I      |                370.5005       |    3* | 9.8814e+05 | AAA  |   [20.96408629014]    -    [24.309540187272]    | 1s.2p  | 3P*  | 1s.7d  | 3D   |    |
He I      |                370.5005       |    3* | 3.9529e+06 | AAA  |   [20.96408629014]    -    [24.309540157392]    | 1s.2p  | 3P*  | 1s.7d  | 3D   |    |
He I      |                370.5005       |    3* | 1.6470e+06 | AAA  |   [20.96409576568]    -    [24.309540613738]    | 1s.2p  | 3P*  | 1s.7d  | 3D   |    |
He I      |                370.5005       |    3* | 2.9644e+06 | AAA  |   [20.96409576568]    -    [24.309540187272]    | 1s.2p  | 3P*  | 1s.7d  | 3D   |    |
He I      |                381.96074      |   10* | 1.7876e+05 | AAA  |   [20.96408629014]    -    [24.209163099516]    | 1s.2p  | 3P*  | 1s.6d  | 3D   |    |
          |                               |       |            |      |                                                 |        |      |        |      |    |
He I      |                381.96074      |   10* | 1.6087e+06 | AAA  |   [20.96408629014]    -    [24.209162421758]    | 1s.2p  | 3P*  | 1s.6d  | 3D   |    |
He I      |                381.96074      |   10* | 6.4353e+06 | AAA  |   [20.96408629014]    -    [24.209162374835]    | 1s.2p  | 3P*  | 1s.6d  | 3D   |    |
He I      |                381.96074      |   10* | 2.6814e+06 | AAA  |   [20.96409576568]    -    [24.209163099516]    | 1s.2p  | 3P*  | 1s.6d  | 3D   |    |
He I      |                381.96074      |   10* | 4.8261e+06 | AAA  |   [20.96409576568]    -    [24.209162421758]    | 1s.2p  | 3P*  | 1s.6d  | 3D   |    |
He I      |                383.3554       |     0 | 9.6470e+05 | AAA  |   [21.2180220941]     -    [24.4512933584560]   | 1s.2p  | 1P*  | 1s.10d | 1D   |    |
          |                               |       |            |      |                                                 |        |      |        |      |    |
He I      |                387.1791       |     1 | 1.3386e+06 | AAA  |   [21.2180220941]     -    [24.419362372660]    | 1s.2p  | 1P*  | 1s.9d  | 1D   |    |
He I      |                388.8648       |  500* | 9.4746e+06 | AAA  |   [19.81961397545]    -    [23.0070751859]      | 1s.2s  | 3S   | 1s.3p  | 3P*  |    |
He I      |                388.8648       |  500* | 9.4746e+06 | AAA  |   [19.81961397545]    -    [23.0070724613]      | 1s.2s  | 3S   | 1s.3p  | 3P*  |    |
He I      |                393.5912       |     0 | 7.4475e+05 | AAA  |   [21.2180220941]     -    [24.36717933548]     | 1s.2p  | 1P*  | 1s.8s  | 1S   |    |
He I      |                396.47291      |    20 | 6.9507e+06 | AAA  |   [20.6157742320]     -    [23.7420693538]      | 1s.2s  | 1S   | 1s.4p  | 1P*  |    |
          |                               |       |            |      |                                                 |        |      |        |      |    |
He I      |                402.3973       |     1 | 1.1281e+06 | AAA  |   [21.2180220941]     -    [24.2982851667]      | 1s.2p  | 1P*  | 1s.7s  | 1S   |    |
He I      |                402.61914      |   50* | 3.2224e+05 | AAA  |   [20.96408629014]    -    [24.042662765801]    | 1s.2p  | 3P*  | 1s.5d  | 3D   |    |
He I      |                402.61914      |   50* | 2.8999e+06 | AAA  |   [20.96408629014]    -    [24.042661593090]    | 1s.2p  | 3P*  | 1s.5d  | 3D   |    |
He I      |                402.61914      |   50* | 1.1601e+07 | AAA  |   [20.96408629014]    -    [24.042661513599]    | 1s.2p  | 3P*  | 1s.5d  | 3D   |    |
He I      |                402.61914      |   50* | 4.8336e+06 | AAA  |   [20.96409576568]    -    [24.042662765801]    | 1s.2p  | 3P*  | 1s.5d  | 3D   |    |
          |                               |       |            |      |                                                 |        |      |        |      |    |
He I      |                402.61914      |   50* | 8.6997e+06 | AAA  |   [20.96409576568]    -    [24.042661593090]    | 1s.2p  | 3P*  | 1s.5d  | 3D   |    |
He I      |                412.08154      |   12* | 2.4738e+06 | AAA  |   [20.96408629014]    -    [23.9719706931]      | 1s.2p  | 3P*  | 1s.5s  | 3S   |    |
