
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                 Observed  |    Rel. |    Aki    | Acc. |              Ei           Ek              |           Lower level           |           Upper level           |Type|
          |                Wavelength |    Int. |    s^-1   |      |             (eV)         (eV)             |---------------------------------|---------------------------------|    |
          |                 Vac (nm)  |         |           |      |                                           | Conf.                 | Term    | Conf.                 | Term    |    |
Al IV     |                108.5331   |       5 |           |      |     88.53673        -      99.96038       | 2s2.2p5.(2P*).3p      | 1S      | 2s2.2p5.(2P*<1/2>).4s | 2[1/2]* |    |
Al V      |                108.592    |      70 | 1.42e+09  | B+   |    102.73158        -     114.1491        | 2s2.2p4.(3P).3p       | 4D*     | 2s2.2p4.(3P).3d       | 4F      |    |
Al VI     |                108.765    |      10 | 1.43e+09  | A    |    128.9039         -     140.3031        | 2s2.2p3.(2D*).3p      | 1F      | 2s2.2p3.(2D*).3d      | 1G*     |    |
Al V      |                108.852    |     100 | 1.52e+09  | A    |    102.66326        -     114.0532        | 2s2.2p4.(3P).3p       | 4D*     | 2s2.2p4.(3P).3d       | 4F      |    |
          |                           |         |           |      |                                           |                       |         |                       |         |    |
Al V      |                108.867    |     500 | 1.99e+09  | A    |    102.3808         -     113.7694        | 2s2.2p4.(3P).3p       | 4D*     | 2s2.2p4.(3P).3d       | 4F      |    |
Al V      |                109.014    |     300 | 1.73e+09  | A    |    102.53803        -     113.9113        | 2s2.2p4.(3P).3p       | 4D*     | 2s2.2p4.(3P).3d       | 4F      |    |
Al V      |                109.322    |       8 | 3.33e+08  | C+   |    103.76701        -     115.1079        | 2s2.2p4.(3P).3p       | 2P*     | 2s2.2p4.(3P).3d       | 2P      |    |
Al V      |                109.475    |      10 | 5.10e+08  | B+   |    103.41332        -     114.7389        | 2s2.2p4.(3P).3p       | 2D*     | 2s2.2p4.(3P).3d       | 2D      |    |
Al IV     |                109.8718   |     200 |           |      |     95.10030        -     106.38481       | 2s2.2p5.(2P*).3d      | 1D*     | 2s2.2p5.(2P*<3/2>).4f | 2[7/2]  |    |
          |                           |         |           |      |                                           |                       |         |                       |         |    |
Al V      |                110.060    |      10 | 1.46e+09  | B    |    103.53093        -     114.7962        | 2s2.2p4.(3P).3p       | 2P*     | 2s2.2p4.(3P).3d       | 2P      |    |
Al IV     |                110.134    |      20 |           |      |     95.10030        -     106.35799       | 2s2.2p5.(2P*).3d      | 1D*     | 2s2.2p5.(2P*<3/2>).4f | 2[5/2]  |    |
Al IV     |                110.2417   |     200 |           |      |     95.13871        -     106.38533       | 2s2.2p5.(2P*).3d      | 3D*     | 2s2.2p5.(2P*<3/2>).4f | 2[7/2]  |    |
Al V      |                110.385    |         | 2.55e+08  | B    |    103.15703        -     114.3891        | 2s2.2p4.(3P).3p       | 2D*     | 2s2.2p4.(3P).3d       | 2F      |    |
Al IV     |                110.4285   |      70 |           |      |     95.08110        -     106.30860       | 2s2.2p5.(2P*).3d      | 3D*     | 2s2.2p5.(2P*<3/2>).4f | 2[3/2]  |    |
          |                           |         |           |      |                                           |                       |         |                       |         |    |
Al IV     |                110.4617   |      20 |           |      |     95.08110        -     106.30524       | 2s2.2p5.(2P*).3d      | 3D*     | 2s2.2p5.(2P*<3/2>).4f | 2[3/2]  |    |
Al IV     |                110.5402   |      50 |           |      |     95.13871        -     106.35494       | 2s2.2p5.(2P*).3d      | 3D*     | 2s2.2p5.(2P*<3/2>).4f | 2[5/2]  |    |
Al IV     |                110.5738   |     400 |           |      |     95.57159        -     106.78446       | 2s2.2p5.(2P*).3d      | 1P*     | 2s2.2p5.(2P*<1/2>).4f | 2[5/2]  |    |
Al V      |                110.620    |      20 | 7.39e+08  | B    |    103.53093        -     114.7389        | 2s2.2p4.(3P).3p       | 2P*     | 2s2.2p4.(3P).3d       | 2D      |    |
Al V      |                110.641    |      70 | 1.80e+09  | B+   |    107.29206        -     118.4980        | 2s2.2p4.(1D).3p       | 2F*     | 2s2.2p4.(1D).3d       | 2G      |    |
          |                           |         |           |      |                                           |                       |         |                       |         |    |
Al V      |                110.755    |      20 | 1.42e+09  | B+   |    103.91336        -     115.1079        | 2s2.2p4.(3P).3p       | 2S*     | 2s2.2p4.(3P).3d       | 2P      |    |
Al V      |                111.148    |     100 | 1.84e+09  | B+   |    107.34364        -     118.4985        | 2s2.2p4.(1D).3p       | 2F*     | 2s2.2p4.(1D).3d       | 2G      |    |
Al V      |                111.251    |      20 | 1.56e+09  | B    |    113.7435         -     124.888         | 2s2.2p4.(1S).3p       | 2P*     | 2s2.2p4.(1S).3d       | 2D      |    |
Al V      |                111.504    |      10 | 1.87e+09  | B    |    113.7509         -     124.8702        | 2s2.2p4.(1S).3p       | 2P*     | 2s2.2p4.(1S).3d       | 2D      |    |
Al V      |                111.793    |      50 | 1.25e+09  | B+   |    103.76701        -     114.8575        | 2s2.2p4.(3P).3p       | 2P*     | 2s2.2p4.(3P).3d       | 2D      |    |
          |                           |         |           |      |                                           |                       |         |                       |         |    |
Al IV     |                111.8824   |     600 | 1.90e+09  | B+   |     77.45510        -      88.53673       | 2s2.2p5.(2P*).3s      | 1P*     | 2s2.2p5.(2P*).3p      | 1S      |    |
Al V      |                111.939    |      30 | 8.48e+08  | C+   |    108.36541        -     119.4413        | 2s2.2p4.(1D).3p       | 2D*     | 2s2.2p4.(1D).3d       | 2F      |    |
Al V      |                111.994    |      10 | 9.81e+08  | C+   |    108.36541        -     119.4363        | 2s2.2p4.(1D).3p       | 2D*     | 2s2.2p4.(1D).3d       | 2D      |    |
Al V      |                112.179    |      20 | 2.11e+08  | B+   |    103.41332        -     114.46558       | 2s2.2p4.(3P).3p       | 2D*     | 2s2.2p4.(3P).3d       | 4P      |    |
Al V      |                112.266    |      50 | 1.27e+09  | B    |    108.39691        -     119.4407        | 2s2.2p4.(1D).3p       | 2D*     | 2s2.2p4.(1D).3d       | 2F      |    |
          |                           |         |           |      |                                           |                       |         |                       |         |    |
Al V      |                112.288    |     200 | 1.78e+09  | A    |    103.15703        -     114.1987        | 2s2.2p4.(3P).3p       | 2D*     | 2s2.2p4.(3P).3d       | 2F      |    |
Al IV     |                112.5613   |     500 | 1.18e+09  | A    |     83.27181        -      94.28654       | 2s2.2p5.(2P*).3p      | 3S      | 2s2.2p5.(2P*).3d      | 3P*     |    |
Al IV     |                112.6001   |       5 | 1.19e+08  | C+   |     88.53673        -      99.54784       | 2s2.2p5.(2P*).3p      | 1S      | 2s2.2p5.(2P*<3/2>).4s | 2[3/2]* |    |
Al V      |                112.862    |       2 | 4.27e+08  | C+   |    108.36541        -     119.3510        | 2s2.2p4.(1D).3p       | 2D*     | 2s2.2p4.(1D).3d       | 2D      |    |
Al V      |                112.943    |      80 | 1.04e+09  | C+   |     98.77237        -     109.7501        | 2s2.2p4.(1D).3s       | 2D      | 2s2.2p4.(1D).3p       | 2P*     |    |
          |                           |         |           |      |                                           |                       |         |                       |         |    |
Al V      |                112.962    |      60 | 1.31e+09  | A    |    103.41332        -     114.3891        | 2s2.2p4.(3P).3p       | 2D*     | 2s2.2p4.(3P).3d       | 2F      |    |
