
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                     Observed  |   Rel. |     Aki    | Acc. |                 Ei           Ek                 |      Lower level       |      Upper level       |Type|
          |                    Wavelength |   Int. |     s^-1   |      |                (eV)         (eV)                |------------------------|------------------------|    |
          |                     Vac (nm)  |        |            |      |                                                 | Conf.          | Term  | Conf.          | Term  |    |
B I       |                 115.1207      |      a | 4.88e+07   | C    |      0.0000000         -      10.76987          | 2s2.2p         | 2P*   | 2s.2p.(3P*).3p | 2P    |    |
B I       |                 115.1281      |      a | 1.95e+08   | C    |      0.0000000         -      10.76922          | 2s2.2p         | 2P*   | 2s.2p.(3P*).3p | 2P    |    |
B I       |                 115.1422      |      a | 2.4e+08    | C    |      0.0018953         -      10.76987          | 2s2.2p         | 2P*   | 2s.2p.(3P*).3p | 2P    |    |
          |                               |        |            |      |                                                 |                |       |                |       |    |
B I       |                 115.1489      |      a | 9.75e+07   | C    |      0.0018953         -      10.76922          | 2s2.2p         | 2P*   | 2s.2p.(3P*).3p | 2P    |    |
B III     |                 115.45        |    10* |            |      |    220.67444           -     231.4130           | 1s.2s.(3S).3p  | 4P*   | 1s.2s.(3S).5d  | 4D    |    |
B III     |                 115.45        |    10* |            |      |    220.67459           -     231.4130           | 1s.2s.(3S).3p  | 4P*   | 1s.2s.(3S).5d  | 4D    |    |
B III     |                 115.45        |    10* |            |      |    220.67540           -     231.4130           | 1s.2s.(3S).3p  | 4P*   | 1s.2s.(3S).5d  | 4D    |    |
B IV      |                 116.380       |     14 | 7.8434e+07 | AAA  |    235.1767            -     245.83282          | 1s.3d          | 1D    | 1s.4p          | 1P*   |    |
          |                               |        |            |      |                                                 |                |       |                |       |    |
B IV      |                 116.890       |   350* | 2.9688e+09 | AAA  |    235.1586            -     245.76527          | 1s.3d          | 3D    | 1s.4f          | 3F*   |    |
B IV      |                 116.890       |   350* | 5.4906e+08 | AAA  |    235.1586            -     245.76527          | 1s.3d          | 3D    | 1s.4f          | 3F*   |    |
B IV      |                 116.890       |   350* | 1.5736e+07 | AAA  |    235.1586            -     245.76527          | 1s.3d          | 3D    | 1s.4f          | 3F*   |    |
B IV      |                 116.890       |   350* | 3.5389e+09 | AAA  |    235.1586            -     245.76527          | 1s.3d          | 3D    | 1s.4f          | 3F*   |    |
