
--------------------------------------------------------------------------------------
Spectrum  |          Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
          |         Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
          |          Air (nm)  |       |           |      |                     |    |
--------------------------------------------------------------------------------------
Os I      |           310.599  |   360 |           |      |                     |    |
Os I      |           310.898  |   310 |           |      |                     |    |
Os I      |           310.938  |   620 |           |      |                     |    |
Os I      |           311.109  |   250 |           |      |                     |    |
Os I      |           311.833  |   310 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os I      |           313.112  |   480 |           |      |                     |    |
Os I      |           315.267  |   250 |           |      |                     |    |
Os I      |           315.361  |   290 |           |      |                     |    |
Os I      |           315.625  |  3100 |           |      |                     |    |
Os I      |           315.678  |   250 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os I      |           316.651  |   310 |           |      |                     |    |
Os II     |           317.393  |   180 |           |      |                     |    |
Os I      |           317.806  |   420 |           |      |                     |    |
Os I      |           318.188  |   230 |           |      |                     |    |
Os I      |           318.533  |   230 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os I      |           318.698  |   310 |           |      |                     |    |
Os I      |           318.946  |   310 |           |      |                     |    |
Os I      |           319.423  |   310 |           |      |                     |    |
Os II     |           321.331  |   150 |           |      |                     |    |
Os I      |           323.206  |  1900 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os I      |           323.863  |   290 |           |      |                     |    |
Os I      |           324.104  |   190 |           |      |                     |    |
Os I      |           324.800  |   120 |           |      |                     |    |
Os I      |           325.491  |   190 |           |      |                     |    |
Os I      |           325.692  |   190 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os I      |           326.030  |   190 |           |      |                     |    |
Os I      |           326.229  |  3100 |           |      |                     |    |
Os I      |           326.275  |   380 |           |      |                     |    |
Os I      |           326.794  |  3100 |           |      |                     |    |
Os I      |           326.921  |   620 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os I      |           327.216  |   190 |           |      |                     |    |
Os I      |           327.520  |   530 |           |      |                     |    |
Os I      |           327.797  |   330 |           |      |                     |    |
Os I      |           328.884  |   190 |           |      |                     |    |
Os I      |           329.026  |  1200 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os I      |           330.156  |  7600 |           |      |                     |    |
Os I      |           330.623  |   250 |           |      |                     |    |
Os I      |           331.091  |   620 |           |      |                     |    |
Os I      |           331.542  |   120 |           |      |                     |    |
Os I      |           332.433  |   250 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os I      |           332.742  |   310 |           |      |                     |    |
Os I      |           333.615  |   960 |           |      |                     |    |
