
-------------------------------------------------------------------------------------------------------------------------------------
           Observed  |  Rel. |    Aki    | Acc. |        Ei           Ek         |    Lower level     |      Upper level       |Type|
          Wavelength |  Int. |    s^-1   |      |       (eV)         (eV)        |--------------------|------------------------|    |
           Air (nm)  |       |           |      |                                | Conf.       | Term | Conf.          | Term  |    |
           255.535   |   210 |           |      |                                |             |      |                |       |    |
           255.588   |   170 |           |      |                                |             |      |                |       |    |
           256.328   |   150 |           |      |                                |             |      |                |       |    |
           256.418   |   910 |           |      |                                |             |      |                |       |    |
           256.988   |   210 |           |      |                                |             |      |                |       |    |
                     |       |           |      |                                |             |      |                |       |    |
           257.062   |   100 |           |      |                                |             |      |                |       |    |
           257.270   |   230 |           |      |                                |             |      |                |       |    |
           257.726   |   740 |           |      |                                |             |      |                |       |    |
           257.871   |   100 |           |      |                                |             |      |                |       |    |
           259.206   |   740 |           |      |                                |             |      |                |       |    |
                     |       |           |      |                                |             |      |                |       |    |
           259.904   |   740 |           |      |                                |             |      |                |       |    |
           260.204   |   150 |           |      |                                |             |      |                |       |    |
           260.455   |   190 |           |      |                                |             |      |                |       |    |
           260.752   |   190 |           |      |                                |             |      |                |       |    |
           260.825   |   700 |           |      |                                |             |      |                |       |    |
                     |       |           |      |                                |             |      |                |       |    |
           261.130   |  1800 |           |      |                                |             |      |                |       |    |
           261.498   |   210 |           |      |                                |             |      |                |       |    |
           261.778   |   330 |           |      |                                |             |      |                |       |    |
           261.988   |   210 |           |      |                                |             |      |                |       |    |
           262.532   |   250 |           |      |                                |             |      |                |       |    |
                     |       |           |      |                                |             |      |                |       |    |
           262.676   |   100 |           |      |                                |             |      |                |       |    |
           263.417   |   700 |           |      |                                |             |      |                |       |    |
           263.527   |   170 |           |      |                                |             |      |                |       |    |
           263.942   |   250 |           |      |                                |             |      |                |       |    |
           263.971   |  3500 | 4.7e+07   |      |   0.00000     -     4.695491   | 5d7.6s2     | a 4F | 5d7.6s.(5F).6p | z 4F* |    |
                     |       |           |      |                                |             |      |                |       |    |
           264.419   |   210 |           |      |                                |             |      |                |       |    |
           265.376   |   170 |           |      |                                |             |      |                |       |    |
           265.681   |   100 |           |      |                                |             |      |                |       |    |
           266.198   |  1800 | 2.5e+07   |      |                                |             |      |                |       |    |
           266.263   |   350 |           |      |                                |             |      |                |       |    |
                     |       |           |      |                                |             |      |                |       |    |
           266.479   |  2700 | 4.0e+07   |      |   0.00000     -     4.651305   | 5d7.6s2     | a 4F | 5d7.6s.(5F).6p | z 4D* |    |
           266.899   |   140 |           |      |                                |             |      |                |       |    |
           266.991   |   520 |           |      |                                |             |      |                |       |    |
           267.184   |   520 |           |      |                                |             |      |                |       |    |
           267.361   |   330 |           |      |                                |             |      |                |       |    |
                     |       |           |      |                                |             |      |                |       |    |
           267.683   |   120 |           |      |                                |             |      |                |       |    |
           268.404   |   110 |           |      |                                |             |      |                |       |    |
           269.234   |   270 |           |      |                                |             |      |                |       |    |
           269.423   |  3000 | 4.8e+07   |      |   0.351493    -     4.951962   | 5d8.(3F).6s | b 4F |                | 3994* |    |
           270.403   |   110 |           |      |                                |             |      |                |       |    |
                     |       |           |      |                                |             |      |                |       |    |
           271.274   |   160 |           |      |                                |             |      |                |       |    |
           274.400   |   140 |           |      |                                |             |      |                |       |    |
           277.246   |   330 |           |      |                                |             |      |                |       |    |
           277.555   |   250 |           |      |                                |             |      |                |       |    |
           278.129   |   520 |           |      |                                |             |      |                |       |    |
                     |       |           |      |                                |             |      |                |       |    |
           278.522   |   330 |           |      |                                |             |      |                |       |    |
           279.735   |   540 |           |      |                                |             |      |                |       |    |
           279.770   |  1600 |           |      |                                |             |      |                |       |    |
           279.818   |   380 |           |      |                                |             |      |                |       |    |
           280.082   |   410 |           |      |                                |             |      |                |       |    |
                     |       |           |      |                                |             |      |                |       |    |
           282.318   |   680 |           |      |                                |             |      |                |       |    |
           282.445   |  1200 |           |      |                                |             |      |                |       |    |
           283.566   |   110 |           |      |                                |             |      |                |       |    |
           283.640   |   820 |           |      |                                |             |      |                |       |    |
           283.733   |   160 |           |      |                                |             |      |                |       |    |
                     |       |           |      |                                |             |      |                |       |    |
           283.916   |  1100 |           |      |                                |             |      |                |       |    |
           284.022   |   820 |           |      |                                |             |      |                |       |    |
           284.228   |   160 |           |      |                                |             |      |                |       |    |
           284.972   |  3800 | 2.2e+07   |      |   0.00000     -     4.349465   | 5d7.6s2     | a 4F | 5d7.6s.(5F).6p | z 6G* |    |
           285.3314  |   800 | 2.0e+05   |      |                                |             |      |                |       |    |
                     |       |           |      |                                |             |      |                |       |    |
           286.384   |   110 |           |      |                                |             |      |                |       |    |
           287.560   |   380 |           |      |                                |             |      |                |       |    |
           287.598   |   380 |           |      |                                |             |      |                |       |    |
           287.768   |   270 |           |      |                                |             |      |                |       |    |
           287.941   |   140 |           |      |                                |             |      |                |       |    |
                     |       |           |      |                                |             |      |                |       |    |
           288.264   |   820 | 7.2e+06   |      |                                |             |      |                |       |    |
