
-------------------------------------------------------------------------------------------------------------------------------------
           Observed  |  Rel. |    Aki    | Acc. |        Ei           Ek         |    Lower level     |      Upper level       |Type|
          Wavelength |  Int. |    s^-1   |      |       (eV)         (eV)        |--------------------|------------------------|    |
           Air (nm)  |       |           |      |                                | Conf.       | Term | Conf.          | Term  |    |
           355.899   |   320 | 1.5e+06   |      |                                |             |      |                |       |    |
           357.372   |  1200 | 5.4e+06   |      |                                |             |      |                |       |    |
                     |       |           |      |                                |             |      |                |       |    |
           359.439   |   320 |           |      |                                |             |      |                |       |    |
           360.977   |   220 |           |      |                                |             |      |                |       |    |
           361.721   |   190 | 2.0e+06   |      |                                |             |      |                |       |    |
           362.629   |   160 |           |      |                                |             |      |                |       |    |
           362.867   |   660 | 2.8e+06   |      |                                |             |      |                |       |    |
                     |       |           |      |                                |             |      |                |       |    |
           363.620   |   220 |           |      |                                |             |      |                |       |    |
           366.171   |   300 | 4.0e+06   |      |                                |             |      |                |       |    |
           366.462   |   300 |           |      |                                |             |      |                |       |    |
           367.498   |   320 |           |      |                                |             |      |                |       |    |
           368.708   |   200 |           |      |                                |             |      |                |       |    |
                     |       |           |      |                                |             |      |                |       |    |
           372.538   |   140 |           |      |                                |             |      |                |       |    |
           373.4770  |   280 | 2.7e+06   |      |                                |             |      |                |       |    |
           373.853   |   130 |           |      |                                |             |      |                |       |    |
           374.720   |   530 |           |      |                                |             |      |                |       |    |
           379.379   |   120 |           |      |                                |             |      |                |       |    |
                     |       |           |      |                                |             |      |                |       |    |
           380.012   |  3100 |           |      |                                |             |      |                |       |    |
           381.724   |   230 |           |      |                                |             |      |                |       |    |
           386.564   |   170 |           |      |                                |             |      |                |       |    |
           390.251   |   480 |           |      |                                |             |      |                |       |    |
           391.538   |   480 |           |      |                                |             |      |                |       |    |
                     |       |           |      |                                |             |      |                |       |    |
           393.484   |   400 |           |      |                                |             |      |                |       |    |
           394.627   |   120 |           |      |                                |             |      |                |       |    |
           397.631   |   590 |           |      |                                |             |      |                |       |    |
           399.212   |   460 |           |      |                                |             |      |                |       |    |
           402.003   |   180 |           |      |                                |             |      |                |       |    |
                     |       |           |      |                                |             |      |                |       |    |
           403.376   |   350 | 2.7e+06   |      |                                |             |      |                |       |    |
           404.008   |   130 |           |      |                                |             |      |                |       |    |
           406.992   |   370 | 3.6e+06   |      |                                |             |      |                |       |    |
           407.068   |   150 |           |      |                                |             |      |                |       |    |
           409.261   |   100 |           |      |                                |             |      |                |       |    |
                     |       |           |      |                                |             |      |                |       |    |
           411.578   |   140 |           |      |                                |             |      |                |       |    |
           412.792   |    23 |           |      |                                |             |      |                |       |    |
           415.570   |    27 |           |      |                                |             |      |                |       |    |
           416.604   |    15 |           |      |                                |             |      |                |       |    |
           417.256   |    90 |           |      |                                |             |      |                |       |    |
                     |       |           |      |                                |             |      |                |       |    |
           418.247   |    35 |           |      |                                |             |      |                |       |    |
           418.321   |   15w |           |      |                                |             |      |                |       |    |
           418.566   |    18 |           |      |                                |             |      |                |       |    |
           419.754   |    23 |           |      |                                |             |      |                |       |    |
           421.776   |    27 |           |      |                                |             |      |                |       |    |
                     |       |           |      |                                |             |      |                |       |    |
           422.080   |    13 |           |      |                                |             |      |                |       |    |
           425.911   |    75 |           |      |                                |             |      |                |       |    |
           426.530   |    27 |           |      |                                |             |      |                |       |    |
           426.810   |   260 |           |      |                                |             |      |                |       |    |
           428.662   |    23 |           |      |                                |             |      |                |       |    |
                     |       |           |      |                                |             |      |                |       |    |
           430.160   |    75 |           |      |                                |             |      |                |       |    |
           431.059   |    55 |           |      |                                |             |      |                |       |    |
           431.150   |   220 |           |      |                                |             |      |                |       |    |
           435.130   |    18 |           |      |                                |             |      |                |       |    |
           435.256   |    18 |           |      |                                |             |      |                |       |    |
                     |       |           |      |                                |             |      |                |       |    |
           439.259   |    18 |           |      |                                |             |      |                |       |    |
