
-------------------------------------------------------------------------------------------------------------------------------------
          Observed  |  Rel. |    Aki    | Acc. |        Ei           Ek         |  Lower level   |         Upper level         |Type|
         Wavelength |  Int. |    s^-1   |      |       (eV)         (eV)        |----------------|-----------------------------|    |
          Air (nm)  |       |           |      |                                | Conf.   | Term | Conf.               | Term  |    |
           367.227  |   200 |           |      |                                |         |      |                     |       |    |
                    |       |           |      |                                |         |      |                     |       |    |
           367.574  |   480 |           |      |                                |         |      |                     |       |    |
           368.224  |  2200 | 2.6e+07   |      |   0.00000     -     3.366126   | 5d2.6s2 | a 3F | 5d2.6s.(a 4F).6p    | y 3F* |    |
           369.651  |   280 |           |      |                                |         |      |                     |       |    |
           370.492  |   100 |           |      |                                |         |      |                     |       |    |
           371.780  |  1000 |           |      |                                |         |      |                     |       |    |
                    |       |           |      |                                |         |      |                     |       |    |
           372.649  |   140 |           |      |                                |         |      |                     |       |    |
           372.910  |   160 |           |      |                                |         |      |                     |       |    |
           373.379  |   460 |           |      |                                |         |      |                     |       |    |
           373.904  |   120 |           |      |                                |         |      |                     |       |    |
           374.680  |   400 |           |      |                                |         |      |                     |       |    |
                    |       |           |      |                                |         |      |                     |       |    |
           375.322  |   140 |           |      |                                |         |      |                     |       |    |
           376.505  |   100 |           |      |                                |         |      |                     |       |    |
           376.556  |   100 |           |      |                                |         |      |                     |       |    |
           376.825  |   200 |           |      |                                |         |      |                     |       |    |
           377.764  |  1400 |           |      |                                |         |      |                     |       |    |
                    |       |           |      |                                |         |      |                     |       |    |
           378.546  |  1400 |           |      |                                |         |      |                     |       |    |
           379.866  |   100 |           |      |                                |         |      |                     |       |    |
           380.038  | 850bl |           |      |                                |         |      |                     |       |    |
           381.178  |   320 |           |      |                                |         |      |                     |       |    |
           381.938  |   100 |           |      |                                |         |      |                     |       |    |
                    |       |           |      |                                |         |      |                     |       |    |
           382.073  |  1300 |           |      |                                |         |      |                     |       |    |
           382.967  |   140 |           |      |                                |         |      |                     |       |    |
           383.002  |   280 |           |      |                                |         |      |                     |       |    |
           384.918  |   800 |           |      |                                |         |      |                     |       |    |
           385.831  |   600 |           |      |                                |         |      |                     |       |    |
                    |       |           |      |                                |         |      |                     |       |    |
           386.091  |   230 |           |      |                                |         |      |                     |       |    |
           388.252  |   200 |           |      |                                |         |      |                     |       |    |
           388.923  |   200 |           |      |                                |         |      |                     |       |    |
           388.933  |   200 |           |      |                                |         |      |                     |       |    |
           389.994  |   620 |           |      |                                |         |      |                     |       |    |
                    |       |           |      |                                |         |      |                     |       |    |
           392.642  |   120 |           |      |                                |         |      |                     |       |    |
           392.757  |   150 |           |      |                                |         |      |                     |       |    |
           393.138  |   320 |           |      |                                |         |      |                     |       |    |
           393.904  |   120 |           |      |                                |         |      |                     |       |    |
           395.183  |   410 |           |      |                                |         |      |                     |       |    |
                    |       |           |      |                                |         |      |                     |       |    |
           396.801  |   160 |           |      |                                |         |      |                     |       |    |
           397.348  |   200 |           |      |                                |         |      |                     |       |    |
           403.227  |   180 |           |      |                                |         |      |                     |       |    |
           406.284  |   230 |           |      |                                |         |      |                     |       |    |
           406.621  |   140 |           |      |                                |         |      |                     |       |    |
                    |       |           |      |                                |         |      |                     |       |    |
           408.335  |   180 |           |      |                                |         |      |                     |       |    |
           410.423  |   110 |           |      |                                |         |      |                     |       |    |
           410.658  |   140 |           |      |                                |         |      |                     |       |    |
           411.860  |   110 |           |      |                                |         |      |                     |       |    |
           414.576  |   140 |           |      |                                |         |      |                     |       |    |
                    |       |           |      |                                |         |      |                     |       |    |
           416.269  |   110 |           |      |                                |         |      |                     |       |    |
           417.434  |  1100 | 4.6e+06   |      |   0.292191    -     3.261501   | 5d2.6s2 | a 3F | 5d2.6s.(a 4F).6p    | z 5D* |    |
           419.095  |   120 |           |      |                                |         |      |                     |       |    |
           420.970  |   190 |           |      |                                |         |      |                     |       |    |
           422.808  |   170 |           |      |                                |         |      |                     |       |    |
                    |       |           |      |                                |         |      |                     |       |    |
           426.098  |   170 |           |      |                                |         |      |                     |       |    |
           426.339  |   200 |           |      |                                |         |      |                     |       |    |
           429.479  |   320 |           |      |                                |         |      |                     |       |    |
           431.814  |   120 |           |      |                                |         |      |                     |       |    |
           433.027  |   160 |           |      |                                |         |      |                     |       |    |
                    |       |           |      |                                |         |      |                     |       |    |
           435.633  |   250 |           |      |                                |         |      |                     |       |    |
           441.791  |   160 |           |      |                                |         |      |                     |       |    |
           443.804  |   200 |           |      |                                |         |      |                     |       |    |
           445.734  |   140 |           |      |                                |         |      |                     |       |    |
           446.118  |   140 |           |      |                                |         |      |                     |       |    |
                    |       |           |      |                                |         |      |                     |       |    |
           454.093  |   140 |           |      |                                |         |      |                     |       |    |
           456.594  |   250 |           |      |                                |         |      |                     |       |    |
           459.880  | 500bl |           |      |                                |         |      |                     |       |    |
           462.086  |   230 |           |      |                                |         |      |                     |       |    |
           465.519  |   210 |           |      |                                |         |      |                     |       |    |
                    |       |           |      |                                |         |      |                     |       |    |
           469.901  |   120 |           |      |                                |         |      |                     |       |    |
           478.274  |   160 |           |      |                                |         |      |                     |       |    |
           480.050  |   310 |           |      |                                |         |      |                     |       |    |
           485.924  |   130 |           |      |                                |         |      |                     |       |    |
           497.525  |   120 |           |      |                                |         |      |                     |       |    |
                    |       |           |      |                                |         |      |                     |       |    |
           501.820  |    95 |           |      |                                |         |      |                     |       |    |
           502.175  |    15 |           |      |                                |         |      |                     |       |    |
           504.745  |    95 |           |      |                                |         |      |                     |       |    |
           511.213  |    15 |           |      |                                |         |      |                     |       |    |
           515.796  |    30 |           |      |                                |         |      |                     |       |    |
                    |       |           |      |                                |         |      |                     |       |    |
           516.742  |    55 |           |      |                                |         |      |                     |       |    |
           517.018  |    75 |           |      |                                |         |      |                     |       |    |
           518.186  |   230 |           |      |                                |         |      |                     |       |    |
           518.684  |    30 |           |      |                                |         |      |                     |       |    |
           524.399  |   110 |           |      |                                |         |      |                     |       |    |
                    |       |           |      |                                |         |      |                     |       |    |
           527.504  |    55 |           |      |                                |         |      |                     |       |    |
           528.609  |    22 |           |      |                                |         |      |                     |       |    |
           529.487  |   120 |           |      |                                |         |      |                     |       |    |
           530.782  |    30 |           |      |                                |         |      |                     |       |    |
           530.968  |    45 |           |      |                                |         |      |                     |       |    |
                    |       |           |      |                                |         |      |                     |       |    |
           535.473  |   110 |           |      |                                |         |      |                     |       |    |
           537.386  |   110 |           |      |                                |         |      |                     |       |    |
           538.934  |    40 |           |      |                                |         |      |                     |       |    |
           540.447  |    19 |           |      |                                |         |      |                     |       |    |
           542.402  |    28 |           |      |                                |         |      |                     |       |    |
                    |       |           |      |                                |         |      |                     |       |    |
           543.578  |    12 |           |      |                                |         |      |                     |       |    |
           543.874  |    40 |           |      |                                |         |      |                     |       |    |
           545.292  |    75 |           |      |                                |         |      |                     |       |    |
           549.730  |    15 |           |      |                                |         |      |                     |       |    |
           551.012  |    15 |           |      |                                |         |      |                     |       |    |
                    |       |           |      |                                |         |      |                     |       |    |
           551.045  |    15 |           |      |                                |         |      |                     |       |    |
           553.802  |    45 |           |      |                                |         |      |                     |       |    |
           553.826  |    28 |           |      |                                |         |      |                     |       |    |
           555.060  |   230 |           |      |                                |         |      |                     |       |    |
           555.212  |   230 |           |      |                                |         |      |                     |       |    |
                    |       |           |      |                                |         |      |                     |       |    |
           557.586  |    55 |           |      |                                |         |      |                     |       |    |
           560.077  |    14 |           |      |                                |         |      |                     |       |    |
           561.327  |    95 |           |      |                                |         |      |                     |       |    |
           561.401  |    25 |           |      |                                |         |      |                     |       |    |
           562.827  |     8 |           |      |                                |         |      |                     |       |    |
                    |       |           |      |                                |         |      |                     |       |    |
           565.083  |    19 |           |      |                                |         |      |                     |       |    |
           571.328  |    25 |           |      |                                |         |      |                     |       |    |
           571.918  |   160 |           |      |                                |         |      |                     |       |    |
           574.872  |    12 |           |      |                                |         |      |                     |       |    |
           581.747  |    19 |           |      |                                |         |      |                     |       |    |
                    |       |           |      |                                |         |      |                     |       |    |
           584.587  |    25 |           |      |                                |         |      |                     |       |    |
           584.777  |    19 |           |      |                                |         |      |                     |       |    |
           588.366  |    22 |           |      |                                |         |      |                     |       |    |
           592.647  |    15 |           |      |                                |         |      |                     |       |    |
           593.369  |    60 |           |      |                                |         |      |                     |       |    |
                    |       |           |      |                                |         |      |                     |       |    |
           597.428  |    75 |           |      |                                |         |      |                     |       |    |
           597.472  |    25 |           |      |                                |         |      |                     |       |    |
           597.866  |    60 |           |      |                                |         |      |                     |       |    |
           599.296  |    25 |           |      |                                |         |      |                     |       |    |
           601.679  |   45c |           |      |                                |         |      |                     |       |    |
                    |       |           |      |                                |         |      |                     |       |    |
           605.417  |    25 |           |      |                                |         |      |                     |       |    |
           609.867  |    95 |           |      |                                |         |      |                     |       |    |
           618.513  |    95 |           |      |                                |         |      |                     |       |    |
           621.070  |    55 |           |      |                                |         |      |                     |       |    |
           621.682  |    28 |           |      |                                |         |      |                     |       |    |
                    |       |           |      |                                |         |      |                     |       |    |
           623.858  |    45 |           |      |                                |         |      |                     |       |    |
           629.954  |   22w |           |      |                                |         |      |                     |       |    |
           631.185  |   25w |           |      |                                |         |      |                     |       |    |
           631.833  |    19 |           |      |                                |         |      |                     |       |    |
           633.810  |    30 |           |      |                                |         |      |                     |       |    |
                    |       |           |      |                                |         |      |                     |       |    |
           638.019  |   19w |           |      |                                |         |      |                     |       |    |
           638.623  |    60 |           |      |                                |         |      |                     |       |    |
           640.952  |   19w |           |      |                                |         |      |                     |       |    |
           655.650  |   15w |           |      |                                |         |      |                     |       |    |
           658.723  |    28 |           |      |                                |         |      |                     |       |    |
                    |       |           |      |                                |         |      |                     |       |    |
           665.940  |    11 |           |      |                                |         |      |                     |       |    |
           671.348  |    30 |           |      |                                |         |      |                     |       |    |
           676.995  |    11 |           |      |                                |         |      |                     |       |    |
           678.927  |    85 |           |      |                                |         |      |                     |       |    |
           681.894  |   160 |           |      |                                |         |      |                     |       |    |
                    |       |           |      |                                |         |      |                     |       |    |
           682.656  |    15 |           |      |                                |         |      |                     |       |    |
           685.007  |    13 |           |      |                                |         |      |                     |       |    |
           685.870  |    35 |           |      |                                |         |      |                     |       |    |
           691.140  |    45 |           |      |                                |         |      |                     |       |    |
           692.619  |    10 |           |      |                                |         |      |                     |       |    |
                    |       |           |      |                                |         |      |                     |       |    |
           697.959  |    19 |           |      |                                |         |      |                     |       |    |
           701.925  |     7 |           |      |                                |         |      |                     |       |    |
           703.513  |     7 |           |      |                                |         |      |                     |       |    |
           706.190  |    11 |           |      |                                |         |      |                     |       |    |
           706.287  |    15 |           |      |                                |         |      |                     |       |    |
                    |       |           |      |                                |         |      |                     |       |    |
           706.383  |   160 |           |      |                                |         |      |                     |       |    |
           709.440  |   11w |           |      |                                |         |      |                     |       |    |
           710.054  |    15 |           |      |                                |         |      |                     |       |    |
           711.952  |    55 |           |      |                                |         |      |                     |       |    |
           713.181  |   570 |           |      |                                |         |      |                     |       |    |
                    |       |           |      |                                |         |      |                     |       |    |
           723.710  |   650 |           |      |   0.566315    -     2.279014   | 5d2.6s2 | a 3F | 5d2.6s.(b 2D).6p    | z 3D* |    |
           724.087  |   410 |           |      |                                |         |      |                     |       |    |
           726.262  |     6 |           |      |                                |         |      |                     |       |    |
           732.005  |    75 |           |      |                                |         |      |                     |       |    |
           732.176  |    16 |           |      |                                |         |      |                     |       |    |
                    |       |           |      |                                |         |      |                     |       |    |
           735.610  |     6 |           |      |                                |         |      |                     |       |    |
           736.528  |     6 |           |      |                                |         |      |                     |       |    |
           739.070  |    20 |           |      |                                |         |      |                     |       |    |
           742.369  |     6 |           |      |                                |         |      |                     |       |    |
           743.756  |    25 |           |      |                                |         |      |                     |       |    |
                    |       |           |      |                                |         |      |                     |       |    |
           746.386  |    13 |           |      |                                |         |      |                     |       |    |
           748.456  |     7 |           |      |                                |         |      |                     |       |    |
           755.637  |    15 |           |      |                                |         |      |                     |       |    |
           756.293  |    75 |           |      |                                |         |      |                     |       |    |
           756.422  |    15 |           |      |                                |         |      |                     |       |    |
                    |       |           |      |                                |         |      |                     |       |    |
           757.695  |    11 |           |      |                                |         |      |                     |       |    |
           759.296  |    11 |           |      |                                |         |      |                     |       |    |
           760.859  |    13 |           |      |                                |         |      |                     |       |    |
           762.440  |   360 |           |      |                                |         |      |                     |       |    |
           764.564  |    20 |           |      |                                |         |      |                     |       |    |
                    |       |           |      |                                |         |      |                     |       |    |
           774.017  |   110 |           |      |                                |         |      |                     |       |    |
           774.357  |     8 |           |      |                                |         |      |                     |       |    |
           779.090  |    40 |           |      |                                |         |      |                     |       |    |
           779.681  |     7 |           |      |                                |         |      |                     |       |    |
           781.455  |    35 |           |      |                                |         |      |                     |       |    |
                    |       |           |      |                                |         |      |                     |       |    |
           784.535  |   310 |           |      |                                |         |      |                     |       |    |
           784.656  |     7 |           |      |                                |         |      |                     |       |    |
           792.071  |   130 |           |      |                                |         |      |                     |       |    |
           793.806  |    29 |           |      |                                |         |      |                     |       |    |
           799.473  |   250 |           |      |                                |         |      |                     |       |    |
                    |       |           |      |                                |         |      |                     |       |    |
           801.058  |     7 |           |      |                                |         |      |                     |       |    |
           805.652  |    25 |           |      |                                |         |      |                     |       |    |
           808.032  |    25 |           |      |                                |         |      |                     |       |    |
           817.389  |    16 |           |      |                                |         |      |                     |       |    |
           820.458  |   130 |           |      |                                |         |      |                     |       |    |
                    |       |           |      |                                |         |      |                     |       |    |
           824.881  |     7 |           |      |                                |         |      |                     |       |    |
           827.695  |    55 |           |      |                                |         |      |                     |       |    |
           834.425  |    25 |           |      |                                |         |      |                     |       |    |
           838.006  |     5 |           |      |                                |         |      |                     |       |    |
           838.298  |     5 |           |      |                                |         |      |                     |       |    |
                    |       |           |      |                                |         |      |                     |       |    |
           846.001  |    35 |           |      |                                |         |      |                     |       |    |
           854.648  |   150 |           |      |                                |         |      |                     |       |    |
           864.006  |   160 |           |      |                                |         |      |                     |       |    |
           871.124  |    40 |           |      |                                |         |      |                     |       |    |
           900.473  |    65 |           |      |                                |         |      |                     |       |    |
