
---------------------------------------------------------------------------------------
Spectrum  |          Observed  |   Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
          |         Wavelength |   Int. |    s^-1   |      |  (eV)         (eV)  |    |
          |          Vac (nm)  |        |           |      |                     |    |
---------------------------------------------------------------------------------------
          |                    |        |           |      |                     |    |
Nb III    |           242.191  |    100 |           |      |                     |    |
Nb II     |           243.380  |     75 |           |      |                     |    |
Nb II     |           243.595  |     40 |           |      |                     |    |
Nb I      |           243.633  |     35 |           |      |                     |    |
          |                    |        |           |      |                     |    |
Nb II     |           243.742  |     45 |           |      |                     |    |
Nb III    |           243.774  |     50 |           |      |                     |    |
Nb II     |           244.214  |     40 |           |      |                     |    |
Nb II     |           244.268  |     28 |           |      |                     |    |
Nb III    |           244.645  |     60 |           |      |                     |    |
          |                    |        |           |      |                     |    |
Nb II     |           245.187  |     65 |           |      |                     |    |
Nb II     |           245.395  |     65 |           |      |                     |    |
Nb III    |           245.699  |    100 |           |      |                     |    |
Nb II     |           245.809  |     55 |           |      |                     |    |
Nb III    |           246.034  |     50 |           |      |                     |    |
          |                    |        |           |      |                     |    |
Nb III    |           246.045  |     50 |           |      |                     |    |
Nb I      |           246.289  |     65 |           |      |                     |    |
Nb III    |           246.372  |     50 |           |      |                     |    |
Nb I      |           246.673  |     35 |           |      |                     |    |
Nb III    |           246.872  |     80 |           |      |                     |    |
          |                    |        |           |      |                     |    |
Nb I      |           246.908  |     55 |           |      |                     |    |
Nb III    |           246.939  |     60 |           |      |                     |    |
Nb III    |           247.587  |     80 |           |      |                     |    |
Nb II     |           247.738  |    110 |           |      |                     |    |
Nb II     |           247.829  |     65 |           |      |                     |    |
          |                    |        |           |      |                     |    |
Nb II     |           247.994  |     65 |           |      |                     |    |
Nb II     |           248.388  |     35 |           |      |                     |    |
Nb III    |           248.602  |     50 |           |      |                     |    |
Nb III    |           248.874  |     60 |           |      |                     |    |
Nb III    |           249.302  |     60 |           |      |                     |    |
          |                    |        |           |      |                     |    |
Nb III    |           249.973  |    100 |           |      |                     |    |
Nb I      |           250.465  |    110 |           |      |                     |    |
Nb III    |           250.853  |     60 |           |      |                     |    |
Nb II     |           251.100  |    110 |           |      |                     |    |
Nb III    |           251.195  |     50 |           |      |                     |    |
          |                    |        |           |      |                     |    |
Nb II     |           252.140  |    110 |           |      |                     |    |
Nb II     |           254.480  |    390 |           |      |                     |    |
Nb III    |           254.564  |    100 |           |      |                     |    |
Nb II     |           255.138  |    110 |           |      |                     |    |
Nb II     |           255.694  |    130 |           |      |                     |    |
          |                    |        |           |      |                     |    |
Nb III    |           255.794  |     80 |           |      |                     |    |
Nb II     |           256.241  |    130 |           |      |                     |    |
Nb I      |           256.541  |    130 |           |      |                     |    |
Nb III    |           256.744  |     50 |           |      |                     |    |
Nb I      |           256.903  |    100 |           |      |                     |    |
          |                    |        |           |      |                     |    |
Nb II     |           257.133  |    110 |           |      |                     |    |
Nb I      |           257.874  |    200 |           |      |                     |    |
Nb II     |           258.399  |    390 |           |      |                     |    |
Nb II     |           259.094  |    390 |           |      |                     |    |
Nb I      |           259.220  |    270 |           |      |                     |    |
          |                    |        |           |      |                     |    |
Nb III    |           259.375  |     60 |           |      |                     |    |
Nb III    |           259.886  |     80 |           |      |                     |    |
Nb I      |           261.648  |    130 |           |      |                     |    |
Nb I      |           262.351  |    130 |           |      |                     |    |
Nb I      |           262.744  |    130 |           |      |                     |    |
          |                    |        |           |      |                     |    |
Nb I      |           262.849  |    130 |           |      |                     |    |
Nb III    |           262.867  |     50 |           |      |                     |    |
Nb III    |           263.317  |     80 |           |      |                     |    |
Nb II     |           264.224  |    200 |           |      |                     |    |
Nb II     |           264.626  |    320 |           |      |                     |    |
          |                    |        |           |      |                     |    |
Nb I      |           264.750  |    330 |           |      |                     |    |
Nb I      |           264.952  |    240 |           |      |                     |    |
Nb I      |           265.445  |    330 |           |      |                     |    |
Nb II     |           265.608  |    310 |           |      |                     |    |
Nb I      |           265.762  |    160 |           |      |                     |    |
          |                    |        |           |      |                     |    |
Nb III    |           265.799  |     80 |           |      |                     |    |
Nb II     |           266.525  |    110 |           |      |                     |    |
Nb II     |           266.659  |    110 |           |      |                     |    |
Nb II     |           266.730  |    110 |           |      |                     |    |
Nb I      |           266.829  |    130 |           |      |                     |    |
          |                    |        |           |      |                     |    |
Nb II     |           267.193  |    400 |           |      |                     |    |
Nb II     |           267.357  |    200 |           |      |                     |    |
Nb II     |           267.594  |    200 |           |      |                     |    |
Nb I      |           268.715  |    130 |           |      |                     |    |
Nb II     |           269.177  |    160 |           |      |                     |    |
          |                    |        |           |      |                     |    |
Nb II     |           269.706  |   1000 |           |      |                     |    |
Nb II     |           269.886  |    320 |           |      |                     |    |
Nb II     |           270.220  |    320 |           |      |                     |    |
Nb II     |           270.252  |    150 |           |      |                     |    |
Nb II     |           271.662  |    470 |           |      |                     |    |
          |                    |        |           |      |                     |    |
Nb II     |           272.198  |    470 |           |      |                     |    |
Nb II     |           273.326  |    310 |           |      |                     |    |
Nb II     |           273.709  |    110 |           |      |                     |    |
Nb I      |           274.691  |    200 |           |      |                     |    |
