
-----------------------------------------------------------------------------------------------------------------------------------------
            Observed  |  Rel. |    Aki    | Acc. |         Ei           Ek         |      Lower level      |      Upper level      |Type|
           Wavelength |  Int. |    s^-1   |      |        (eV)         (eV)        |-----------------------|-----------------------|    |
            Air (nm)  |       |           |      |                                 | Conf.          | Term | Conf.          | Term |    |
           215.768    |    10 |           |      |    1.181329    -     6.925673   | 5d4.6s2        | 3P2  |                | *    |    |
           215.795    |     6 |           |      |    1.507891    -     7.251528   | 5d4.6s2        | 3H   |                | *    |    |
           215.953    |    12 |           |      |    0.00000     -     5.739430   | 5d4.6s2        | 5D   |                | *    |    |
           216.2816   |     6 |           |      |    1.708218    -     7.438940   | 5d4.6s2        | 3F2  |                | *    |    |
           216.3004   |    15 |           |      |    0.771099    -     6.501290   | 5d4.6s2        | 5D   |                | *    |    |
                      |       |           |      |                                 |                |      |                |      |    |
           216.3795   |     8 |           |      |    0.365913    -     6.094064   | 5d5.(6S).6s    | 7S   |                | *    |    |
           216.420    |    15 |           |      |    0.412313    -     6.139358   | 5d4.6s2        | 5D   |                | *    |    |
           216.4340   |   25r |           |      |    0.412313    -     6.138995   | 5d4.6s2        | 5D   |                | *    |    |
           216.4534   |    12 |           |      |                                 |                |      |                |      |    |
           216.4928   |   25r |           |      |    0.771099    -     6.496214   | 5d4.6s2        | 5D   |                | *    |    |
                      |       |           |      |                                 |                |      |                |      |    |
           216.5686   |     8 |           |      |                                 |                |      |                |      |    |
           216.5940   |    12 |           |      |    1.507891    -     7.230319   | 5d4.6s2        | 3H   |                | *    |    |
           216.6165   |     2 |           |      |    0.207090    -     5.928917   | 5d4.6s2        | 5D   |                | *    |    |
           216.7654   |    25 |           |      |    0.412313    -     6.130237   | 5d4.6s2        | 5D   |                | *    |    |
           216.7806   |     5 |           |      |    1.649870    -     7.367389   | 5d4.6s2        | 3P2  |                | *    |    |
                      |       |           |      |                                 |                |      |                |      |    |
           216.8290   |    25 |           |      |    0.00000     -     5.716244   | 5d4.6s2        | 5D   |                | *    |    |
           216.8856   |    10 |           |      |    0.412313    -     6.127038   | 5d4.6s2        | 5D   |                | *    |    |
           216.9474   |  100r |           |      |    0.598844    -     6.311970   | 5d4.6s2        | 5D   |                | *    |    |
           216.9660   |     4 |           |      |    1.916797    -     7.629429   | 5d4.6s2        | 3D   |                | *    |    |
           216.9760   |     2 |           |      |    1.655010    -     7.367389   | 5d4.6s2        | 3G   |                | *    |    |
                      |       |           |      |                                 |                |      |                |      |    |
           217.0196   |    40 |           |      |    0.598844    -     6.310066   | 5d4.6s2        | 5D   |                | *    |    |
           217.0632   |     3 |           |      |                                 |                |      |                |      |    |
           217.1086   |    4w |           |      |                                 |                |      |                |      |    |
           217.114    |     1 |           |      |    1.507891    -     7.216624   | 5d4.6s2        | 3H   |                | *    |    |
           217.151    |     3 |           |      |    0.771099    -     6.478893   | 5d4.6s2        | 5D   |                | *    |    |
                      |       |           |      |                                 |                |      |                |      |    |
           217.2984   |    12 |           |      |                                 |                |      |                |      |    |
           217.4620   |    60 |           |      |    0.598844    -     6.298452   | 5d4.6s2        | 5D   |                | *    |    |
           217.508    |     3 |           |      |                                 |                |      |                |      |    |
           217.5842   |   80r |           |      |    0.412313    -     6.108721   | 5d4.6s2        | 5D   |                | *    |    |
           217.6558   |     6 |           |      |    1.507891    -     7.202438   | 5d4.6s2        | 3H   |                | *    |    |
                      |       |           |      |                                 |                |      |                |      |    |
           217.6938   |    10 |           |      |                                 |                |      |                |      |    |
           217.7760   |    30 |           |      |    1.649870    -     7.341286   | 5d4.6s2        | 3P2  |                | *    |    |
           217.8474   |   80r |           |      |    0.598844    -     6.288342   | 5d4.6s2        | 5D   |                | *    |    |
           217.8886   |     3 |           |      |                                 |                |      |                |      |    |
           217.9764   |  100r |           |      |    0.771099    -     6.457232   | 5d4.6s2        | 5D   |                | *    |    |
                      |       |           |      |                                 |                |      |                |      |    |
           218.0026   |     4 |           |      |    1.181329    -     6.866788   | 5d4.6s2        | 3P2  |                | *    |    |
           218.0778   |    40 |           |      |    0.771099    -     6.454590   | 5d4.6s2        | 5D   |                | *    |    |
           218.149    |    15 |           |      |    0.412313    -     6.094064   | 5d4.6s2        | 5D   |                | *    |    |
           218.1603   |     2 |           |      |    1.655010    -     7.336357   | 5d4.6s2        | 3G   |                | *    |    |
           218.1946   |    10 |           |      |                                 |                |      |                |      |    |
                      |       |           |      |                                 |                |      |                |      |    |
           218.290    |  150r |           |      |    0.771099    -     6.449073   | 5d4.6s2        | 5D   |                | *    |    |
           218.347    |    12 |           |      |                                 |                |      |                |      |    |
           218.4204   |    35 |           |      |                                 |                |      |                |      |    |
           218.456    |     6 |           |      |    0.00000     -     5.673616   | 5d4.6s2        | 5D   |                | *    |    |
           218.5256   |    40 |           |      |    0.412313    -     6.084170   | 5d4.6s2        | 5D   |                | *    |    |
                      |       |           |      |                                 |                |      |                |      |    |
           218.6300   |     8 |           |      |    0.365913    -     6.035064   | 5d5.(6S).6s    | 7S   |                | *    |    |
           218.6374   |    25 |           |      |    2.037223    -     7.706176   | 5d4.6s2        | 3G   |                | *    |    |
           218.770    |     3 |           |      |                                 |                |      |                |      |    |
