
------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |              Observed  |    Rel. |    Aki    | Acc. |           Ei           Ek            |        Lower level         |         Upper level         |Type|
          |             Wavelength |    Int. |    s^-1   |      |          (eV)         (eV)           |----------------------------|-----------------------------|    |
          |              Vac (nm)  |         |           |      |                                      | Conf.              | Term  | Conf.               | Term  |    |
I I       |            170.2071    |  460000 | 2.05e+08  |      |     0.9426481    -      8.2269827    | 5s2.5p5            | 2P*   | 5s2.5p4.(3P<2>).5d  | 2[1]  |    |
          |                        |         |           |      |                                      |                    |       |                     |       |    |
I I       |            178.2757    | 1300000 | 2.71e+08  |      |     0.000000     -      6.9546306    | 5s2.5p5            | 2P*   | 5s2.5p4.(3P<2>).6s  | 2[2]  |    |
I I       |            179.9092    |  210000 |           |      |     0.9426481    -      7.8341592    | 5s2.5p5            | 2P*   | 5s2.5p4.(3P<1>).6s  | 2[1]  |    |
I I       |            183.0380    | 9300000 | 1.6e+07   |      |     0.000000     -      6.7736854    | 5s2.5p5            | 2P*   | 5s2.5p4.(3P<2>).6s  | 2[2]  |    |
I I       |            184.4453    |  700000 | 7.0e+06   |      |     0.9426481    -      7.6646754    | 5s2.5p5            | 2P*   | 5s2.5p4.(3P<1>).6s  | 2[1]  |    |
------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |              Observed  |    Rel. |    Aki    | Acc. |           Ei           Ek            |        Lower level         |         Upper level         |Type|
          |             Wavelength |    Int. |    s^-1   |      |          (eV)         (eV)           |----------------------------|-----------------------------|    |
          |              Air (nm)  |         |           |      |                                      | Conf.              | Term  | Conf.               | Term  |    |
------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                        |         |           |      |                                      |                    |       |                     |       |    |
I I       |            206.1633    |  150000 | 3.0e+06   |      |     0.9426481    -      6.9546306    | 5s2.5p5            | 2P*   | 5s2.5p4.(3P<2>).6s  | 2[2]  |    |
I III     |            222.443     |       1 |           |      |                                      |                    |       |                     |       |    |
I III     |            223.812     |       1 |           |      |                                      |                    |       |                     |       |    |
I IV      |            224.930     |       5 |           |      |                                      |                    |       |                     |       |    |
I III     |            224.931     |       3 |           |      |                                      |                    |       |                     |       |    |
          |                        |         |           |      |                                      |                    |       |                     |       |    |
I III     |            230.938     |       2 |           |      |                                      |                    |       |                     |       |    |
I IV      |            234.084     |       4 |           |      |                                      |                    |       |                     |       |    |
I III     |            234.085     |       3 |           |      |                                      |                    |       |                     |       |    |
I III     |            235.043     |       3 |           |      |                                      |                    |       |                     |       |    |
I III     |            235.346     |       2 |           |      |                                      |                    |       |                     |       |    |
          |                        |         |           |      |                                      |                    |       |                     |       |    |
I IV      |            236.113     |       7 |           |      |                                      |                    |       |                     |       |    |
I III     |            236.774     |       4 |           |      |                                      |                    |       |                     |       |    |
I IV      |            236.775     |       5 |           |      |                                      |                    |       |                     |       |    |
I III     |            237.145     |       2 |           |      |                                      |                    |       |                     |       |    |
I III     |            237.245     |       3 |           |      |                                      |                    |       |                     |       |    |
          |                        |         |           |      |                                      |                    |       |                     |       |    |
I IV      |            237.245     |       6 |           |      |                                      |                    |       |                     |       |    |
I IV      |            237.646     |       7 |           |      |                                      |                    |       |                     |       |    |
I III     |            237.647     |       4 |           |      |                                      |                    |       |                     |       |    |
I IV      |            238.528     |       4 |           |      |                                      |                    |       |                     |       |    |
I IV      |            238.711     |       8 |           |      |                                      |                    |       |                     |       |    |
          |                        |         |           |      |                                      |                    |       |                     |       |    |
I III     |            238.712     |       4 |           |      |                                      |                    |       |                     |       |    |
I IV      |            239.200     |       6 |           |      |                                      |                    |       |                     |       |    |
I III     |            239.201     |       3 |           |      |                                      |                    |       |                     |       |    |
I IV      |            240.305     |       4 |           |      |                                      |                    |       |                     |       |    |
I III     |            240.306     |       2 |           |      |                                      |                    |       |                     |       |    |
          |                        |         |           |      |                                      |                    |       |                     |       |    |
I III     |            240.363     |       2 |           |      |                                      |                    |       |                     |       |    |
I II      |            240.8008    |     100 |           |      |    12.172241     -     17.319507     | 5s2.5p3.(2D*).5d   | 3D*   | 5s2.5p3.(2D*).4f    | 3G    |    |
I III     |            241.485     |       2 |           |      |                                      |                    |       |                     |       |    |
I IV      |            241.845     |       2 |           |      |                                      |                    |       |                     |       |    |
I III     |            241.849     |       2 |           |      |                                      |                    |       |                     |       |    |
          |                        |         |           |      |                                      |                    |       |                     |       |    |
I III     |            241.885     |       2 |           |      |                                      |                    |       |                     |       |    |
I II      |            241.9176    |     100 |           |      |    12.172241     -     17.295742     | 5s2.5p3.(2D*).5d   | 3D*   | 5s2.5p3.(2D*).4f    | 3F    |    |
I IV      |            242.389     |       3 |           |      |                                      |                    |       |                     |       |    |
I III     |            242.391     |       2 |           |      |                                      |                    |       |                     |       |    |
I IV      |            242.610     |       9 |           |      |                                      |                    |       |                     |       |    |
          |                        |         |           |      |                                      |                    |       |                     |       |    |
I III     |            242.612     |       5 |           |      |                                      |                    |       |                     |       |    |
I IV      |            243.485     |       6 |           |      |                                      |                    |       |                     |       |    |
I III     |            243.488     |       3 |           |      |                                      |                    |       |                     |       |    |
I III     |            246.250     |       2 |           |      |                                      |                    |       |                     |       |    |
I IV      |            246.668     |       3 |           |      |                                      |                    |       |                     |       |    |
          |                        |         |           |      |                                      |                    |       |                     |       |    |
I III     |            246.669     |       3 |           |      |                                      |                    |       |                     |       |    |
I IV      |            246.696     |       3 |           |      |                                      |                    |       |                     |       |    |
I III     |            246.699     |       3 |           |      |                                      |                    |       |                     |       |    |
I IV      |            247.535     |       8 |           |      |                                      |                    |       |                     |       |    |
I III     |            247.536     |       6 |           |      |                                      |                    |       |                     |       |    |
          |                        |         |           |      |                                      |                    |       |                     |       |    |
I IV      |            248.551     |       4 |           |      |                                      |                    |       |                     |       |    |
I IV      |            248.924     |       5 |           |      |                                      |                    |       |                     |       |    |
I III     |            248.927     |       4 |           |      |                                      |                    |       |                     |       |    |
I IV      |            249.320     |       4 |           |      |                                      |                    |       |                     |       |    |
I III     |            249.321     |       2 |           |      |                                      |                    |       |                     |       |    |
          |                        |         |           |      |                                      |                    |       |                     |       |    |
I III     |            249.427     |       2 |           |      |                                      |                    |       |                     |       |    |
I II      |            249.4738    |     100 |           |      |    12.321235     -     17.289560     | 5s2.5p3.(2D*).5d   | 3F*   | 5s2.5p3.(2D*).4f    | 3G    |    |
I III     |            249.516     |       3 |           |      |                                      |                    |       |                     |       |    |
I III     |            249.607     |       2 |           |      |                                      |                    |       |                     |       |    |
I IV      |            250.138     |       2 |           |      |                                      |                    |       |                     |       |    |
          |                        |         |           |      |                                      |                    |       |                     |       |    |
I III     |            250.141     |       3 |           |      |                                      |                    |       |                     |       |    |
I IV      |            251.374     |       3 |           |      |                                      |                    |       |                     |       |    |
I III     |            251.682     |       2 |           |      |                                      |                    |       |                     |       |    |
I IV      |            251.974     |       8 |           |      |                                      |                    |       |                     |       |    |
I III     |            251.975     |       6 |           |      |                                      |                    |       |                     |       |    |
          |                        |         |           |      |                                      |                    |       |                     |       |    |
I III     |            252.172     |       4 |           |      |                                      |                    |       |                     |       |    |
I IV      |            252.172     |       6 |           |      |                                      |                    |       |                     |       |    |
I IV      |            253.198     |       4 |           |      |                                      |                    |       |                     |       |    |
I III     |            253.199     |       3 |           |      |                                      |                    |       |                     |       |    |
I II      |            253.3605    |     100 |           |      |    10.586285     -     15.478406     | 5s2.5p3.(4S*).5d   | 5D*   | 5s2.5p3.(4S*).4f    | 5F    |    |
          |                        |         |           |      |                                      |                    |       |                     |       |    |
I II      |            253.4272    |     200 |           |      |    10.667144     -     15.557972     | 5s2.5p3.(4S*).5d   | 5D*   | 5s2.5p3.(4S*).7p    | 5P    |    |
I IV      |            253.754     |       5 |           |      |                                      |                    |       |                     |       |    |
I III     |            253.756     |       2 |           |      |                                      |                    |       |                     |       |    |
I IV      |            254.567     |       8 |           |      |                                      |                    |       |                     |       |    |
I III     |            254.571     |       7 |           |      |                                      |                    |       |                     |       |    |
          |                        |         |           |      |                                      |                    |       |                     |       |    |
I II      |            256.6242    |    1000 |           |      |    10.628914     -     15.458819     | 5s2.5p3.(4S*).5d   | 5D*   | 5s2.5p3.(4S*).4f    | 5F    |    |
I II      |            258.2794    |    2000 |           |      |    10.667144     -     15.466098     | 5s2.5p3.(4S*).5d   | 5D*   | 5s2.5p3.(4S*).4f    | 5F    |    |
I II      |            259.3458    |     300 |           |      |    10.683081     -     15.462308     | 5s2.5p3.(4S*).5d   | 5D*   | 5s2.5p3.(4S*).4f    | 5F    |    |
I IV      |            264.077     |       4 |           |      |                                      |                    |       |                     |       |    |
