
-------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |           Observed  |  Rel. |    Aki    | Acc. |        Ei           Ek         |    Lower level     |          Upper level          |Type|
          |          Wavelength |  Int. |    s^-1   |      |       (eV)         (eV)        |--------------------|-------------------------------|    |
          |           Air (nm)  |       |           |      |                                | Conf.       | Term | Conf.            | Term       |    |
Ir I      |           263.527   |   170 |           |      |                                |             |      |                  |            |    |
Ir I      |           263.942   |   250 |           |      |                                |             |      |                  |            |    |
          |                     |       |           |      |                                |             |      |                  |            |    |
Ir I      |           263.971   |  3500 | 4.7e+07   |      |   0.00000     -     4.695491   | 5d7.6s2     | a 4F | 5d7.6s.(5F).6p   | z 4F*      |    |
Ir I      |           264.419   |   210 |           |      |                                |             |      |                  |            |    |
Ir I      |           265.376   |   170 |           |      |                                |             |      |                  |            |    |
Ir I      |           265.681   |   100 |           |      |                                |             |      |                  |            |    |
Ir I      |           266.198   |  1800 | 2.5e+07   |      |                                |             |      |                  |            |    |
          |                     |       |           |      |                                |             |      |                  |            |    |
Ir I      |           266.263   |   350 |           |      |                                |             |      |                  |            |    |
Ir I      |           266.479   |  2700 | 4.0e+07   |      |   0.00000     -     4.651305   | 5d7.6s2     | a 4F | 5d7.6s.(5F).6p   | z 4D*      |    |
Ir I      |           266.899   |   140 |           |      |                                |             |      |                  |            |    |
Ir I      |           266.991   |   520 |           |      |                                |             |      |                  |            |    |
Ir I      |           267.184   |   520 |           |      |                                |             |      |                  |            |    |
          |                     |       |           |      |                                |             |      |                  |            |    |
Ir I      |           267.361   |   330 |           |      |                                |             |      |                  |            |    |
Ir I      |           267.683   |   120 |           |      |                                |             |      |                  |            |    |
Ir I      |           268.404   |   110 |           |      |                                |             |      |                  |            |    |
Ir I      |           269.234   |   270 |           |      |                                |             |      |                  |            |    |
Ir I      |           269.423   |  3000 | 4.8e+07   |      |   0.351493    -     4.951962   | 5d8.(3F).6s | b 4F |                  | 3994*      |    |
          |                     |       |           |      |                                |             |      |                  |            |    |
Ir I      |           270.403   |   110 |           |      |                                |             |      |                  |            |    |
Ir I      |           271.274   |   160 |           |      |                                |             |      |                  |            |    |
Ir I      |           274.400   |   140 |           |      |                                |             |      |                  |            |    |
Ir I      |           277.246   |   330 |           |      |                                |             |      |                  |            |    |
Ir I      |           277.555   |   250 |           |      |                                |             |      |                  |            |    |
          |                     |       |           |      |                                |             |      |                  |            |    |
Ir I      |           278.129   |   520 |           |      |                                |             |      |                  |            |    |
Ir I      |           278.522   |   330 |           |      |                                |             |      |                  |            |    |
Ir I      |           279.735   |   540 |           |      |                                |             |      |                  |            |    |
Ir I      |           279.770   |  1600 |           |      |                                |             |      |                  |            |    |
Ir I      |           279.818   |   380 |           |      |                                |             |      |                  |            |    |
          |                     |       |           |      |                                |             |      |                  |            |    |
Ir I      |           280.082   |   410 |           |      |                                |             |      |                  |            |    |
Ir I      |           282.318   |   680 |           |      |                                |             |      |                  |            |    |
Ir I      |           282.445   |  1200 |           |      |                                |             |      |                  |            |    |
Ir II     |           283.324   |   110 |           |      |                                |             |      |                  |            |    |
Ir I      |           283.566   |   110 |           |      |                                |             |      |                  |            |    |
          |                     |       |           |      |                                |             |      |                  |            |    |
Ir I      |           283.640   |   820 |           |      |                                |             |      |                  |            |    |
Ir I      |           283.733   |   160 |           |      |                                |             |      |                  |            |    |
Ir I      |           283.916   |  1100 |           |      |                                |             |      |                  |            |    |
Ir I      |           284.022   |   820 |           |      |                                |             |      |                  |            |    |
Ir I      |           284.228   |   160 |           |      |                                |             |      |                  |            |    |
          |                     |       |           |      |                                |             |      |                  |            |    |
Ir I      |           284.972   |  3800 | 2.2e+07   |      |   0.00000     -     4.349465   | 5d7.6s2     | a 4F | 5d7.6s.(5F).6p   | z 6G*      |    |
Ir I      |           285.3314  |   800 | 2.0e+05   |      |                                |             |      |                  |            |    |
Ir I      |           286.384   |   110 |           |      |                                |             |      |                  |            |    |
Ir I      |           287.560   |   380 |           |      |                                |             |      |                  |            |    |
Ir I      |           287.598   |   380 |           |      |                                |             |      |                  |            |    |
          |                     |       |           |      |                                |             |      |                  |            |    |
Ir I      |           287.768   |   270 |           |      |                                |             |      |                  |            |    |
Ir I      |           287.941   |   140 |           |      |                                |             |      |                  |            |    |
Ir I      |           288.264   |   820 | 7.2e+06   |      |                                |             |      |                  |            |    |
Ir I      |           289.715   |   650 |           |      |                                |             |      |                  |            |    |
Ir I      |           290.195   |   260 |           |      |                                |             |      |                  |            |    |
          |                     |       |           |      |                                |             |      |                  |            |    |
Ir I      |           290.480   |   260 |           |      |                                |             |      |                  |            |    |
Ir I      |           290.724   |   200 |           |      |                                |             |      |                  |            |    |
Ir I      |           291.636   |   440 |           |      |                                |             |      |                  |            |    |
Ir I      |           291.857   |   230 |           |      |                                |             |      |                  |            |    |
Ir I      |           292.479   |  4400 | 1.42e+07  |      |   0.00000     -     4.237839   | 5d7.6s2     | a 4F | 5d7.6s.(5F).6p   | z 6G*      |    |
          |                     |       |           |      |                                |             |      |                  |            |    |
Ir I      |           293.464   |  1200 | 2.0e+07   |      |                                |             |      |                  |            |    |
Ir I      |           293.668   |   880 |           |      |                                |             |      |                  |            |    |
Ir I      |           293.847   |   250 |           |      |                                |             |      |                  |            |    |
Ir I      |           293.927   |   190 |           |      |                                |             |      |                  |            |    |
Ir I      |           294.054   |   140 |           |      |                                |             |      |                  |            |    |
          |                     |       |           |      |                                |             |      |                  |            |    |
Ir I      |           294.315   |  2700 |           |      |                                |             |      |                  |            |    |
Ir I      |           294.697   |   230 |           |      |                                |             |      |                  |            |    |
Ir I      |           294.976   |   200 |           |      |                                |             |      |                  |            |    |
Ir I      |           295.122   |  1200 | 2.8e+06   |      |                                |             |      |                  |            |    |
Ir I      |           296.299   |   150 |           |      |                                |             |      |                  |            |    |
          |                     |       |           |      |                                |             |      |                  |            |    |
Ir I      |           297.495   |   200 |           |      |                                |             |      |                  |            |    |
Ir I      |           298.065   |   440 |           |      |                                |             |      |                  |            |    |
Ir I      |           298.580   |   150 |           |      |                                |             |      |                  |            |    |
Ir I      |           299.062   |   190 |           |      |                                |             |      |                  |            |    |
Ir I      |           299.608   |   300 |           |      |                                |             |      |                  |            |    |
          |                     |       |           |      |                                |             |      |                  |            |    |
Ir I      |           299.741   |   180 |           |      |                                |             |      |                  |            |    |
Ir I      |           300.225   |   220 |           |      |                                |             |      |                  |            |    |
Ir I      |           300.363   |   600 | 5.9e+06   |      |                                |             |      |                  |            |    |
Ir I      |           301.169   |   160 |           |      |                                |             |      |                  |            |    |
Ir I      |           301.643   |   120 |           |      |                                |             |      |                  |            |    |
          |                     |       |           |      |                                |             |      |                  |            |    |
Ir I      |           301.731   |   270 |           |      |                                |             |      |                  |            |    |
Ir I      |           301.923   |   140 |           |      |                                |             |      |                  |            |    |
Ir I      |           302.582   |   110 |           |      |                                |             |      |                  |            |    |
Ir I      |           302.936   |   380 |           |      |                                |             |      |                  |            |    |
Ir I      |           303.926   |   330 |           |      |                                |             |      |                  |            |    |
          |                     |       |           |      |                                |             |      |                  |            |    |
